# trial, latency (cycles)
0, 246910
1, 121073
2, 130976
3, 111131
4, 116368
5, 106285
6, 105164
7, 109673
8, 108433
9, 108665
10, 108075
11, 105988
12, 105970
13, 108123
14, 106488
15, 108681
16, 106420
17, 105865
18, 109393
19, 111932
20, 106648
21, 108853
22, 108061
23, 136048
24, 160544
25, 125348
26, 102827
27, 105797
28, 122141
29, 103827
30, 101476
31, 102981
32, 184777
33, 137124
34, 108606
35, 102980
36, 102697
37, 105131
38, 122509
39, 104018
40, 104771
41, 103490
42, 105467
43, 122036
44, 106131
45, 103558
46, 105928
47, 113089
48, 168778
49, 111799
50, 114782
51, 98086
52, 103622
53, 122759
54, 104611
55, 100073
56, 108372
57, 108094
58, 124264
59, 102658
60, 103468
61, 101369
62, 107778
63, 122480
64, 105209
65, 102534
66, 109404
67, 98514
68, 185821
69, 99983
70, 101096
71, 100190
72, 101518
73, 120292
74, 105545
75, 97400
76, 101634
77, 106646
78, 129235
79, 114493
80, 146368
81, 126523
82, 105916
83, 122597
84, 105577
85, 102259
86, 103314
87, 99680
88, 127403
89, 106469
90, 105210
91, 104127
92, 103872
93, 124241
94, 107023
95, 101365
96, 105357
97, 113068
98, 120159
99, 99382
100, 102074
101, 100009
102, 103170
103, 123914
104, 112398
105, 132671
106, 110988
107, 99255
108, 120923
109, 105512
110, 103042
111, 102171
112, 105147
113, 132684
114, 108310
115, 102158
116, 103066
117, 102976
118, 122320
119, 101568
120, 106760
121, 101064
122, 102338
123, 121013
124, 104787
125, 101547
126, 103347
127, 104122
128, 125475
129, 112532
130, 99598
131, 101865
132, 100388
133, 144805
134, 98779
135, 111865
136, 102297
137, 148473
138, 134112
139, 102414
140, 104061
141, 103970
142, 102590
143, 125515
144, 113358
145, 101000
146, 151195
147, 176239
148, 133742
149, 108682
150, 126776
151, 110135
152, 107752
153, 120168
154, 106019
155, 103481
156, 105561
157, 104145
158, 134089
159, 107626
160, 110459
161, 101360
162, 98432
163, 171190
164, 111398
165, 104246
166, 103452
167, 108153
168, 123100
169, 100177
170, 98599
171, 103213
172, 101782
173, 117974
174, 98971
175, 105251
176, 111369
177, 103014
178, 111606
179, 102447
180, 104167
181, 104709
182, 102273
183, 125635
184, 100739
185, 100129
186, 96627
187, 102182
188, 121115
189, 103732
190, 103312
191, 104634
192, 118283
193, 164552
194, 108144
195, 101400
196, 101325
197, 99142
198, 117486
199, 100425
200, 100892
201, 100388
202, 106088
203, 126095
204, 100831
205, 104801
206, 98891
207, 118035
208, 122977
209, 101516
210, 96294
211, 103193
212, 98743
213, 121129
214, 98324
215, 100389
216, 99470
217, 109775
218, 152843
219, 111468
220, 103064
221, 106231
222, 99410
223, 126927
224, 162404
225, 128953
226, 109996
227, 102103
228, 118229
229, 99655
230, 101181
231, 97590
