# trial, latency (cycles)
0, 1435640
1, 1145965
2, 1104796
3, 1051623
4, 1025723
5, 1032611
6, 1026950
7, 1028263
8, 1020008
9, 1025649
10, 1035255
11, 1047710
12, 1349577
13, 1038882
14, 1023227
15, 1041272
16, 1016217
17, 1057388
18, 1019294
19, 1039535
20, 1035959
21, 1026202
22, 1056529
23, 1031354
24, 1024289
25, 1039758
26, 1020552
27, 1217007
28, 1158233
29, 1009908
30, 1025616
31, 1085406
32, 1174116
33, 1137316
34, 1013931
35, 1031740
36, 1144124
37, 1055465
38, 1019132
39, 1029255
40, 1036639
41, 1468990
42, 1042553
43, 1023857
44, 1009960
45, 1034410
46, 1242758
47, 1065567
48, 1037692
49, 1022486
50, 1027320
51, 1050273
52, 1024978
53, 1024645
54, 1016325
55, 1028155
56, 1059655
57, 1040449
58, 1036149
59, 1020489
60, 1053226
61, 1350157
62, 1029632
63, 1061068
64, 1092353
65, 1066545
66, 1066621
67, 1060709
68, 1068267
69, 1007473
70, 1041573
71, 1024067
72, 1029314
73, 1027330
74, 1015577
75, 1057850
76, 1137070
77, 998844
78, 1008544
79, 1003311
80, 1054472
81, 1014632
82, 1160676
83, 1106978
84, 1018055
85, 1030614
86, 1013292
87, 1039286
88, 1025638
89, 1016544
90, 1089476
91, 1029417
92, 1015200
93, 1019401
94, 1033193
95, 1036035
96, 1030529
97, 1021719
98, 1039603
99, 1031899
