# trial, latency (cycles)
# trial, latency (cycles)
0, 2287039
1, 46013
2, 32786
3, 32886
4, 31920
5, 33218
6, 31912
7, 31889
8, 31752
9, 31710
10, 31637
11, 32505
12, 31646
13, 32146
14, 31900
15, 31748
16, 31642
17, 32169
18, 31823
19, 31770
20, 32482
21, 32407
22, 31674
23, 31869
24, 30551
25, 32263
26, 31740
27, 32418
28, 31615
29, 31771
30, 31888
31, 31756
32, 31903
33, 31697
34, 31744
35, 31858
36, 32097
37, 31745
38, 31735
39, 31846
40, 31702
41, 31769
42, 31650
43, 31676
44, 31697
45, 31681
46, 31680
47, 31731
48, 31864
49, 31711
50, 31753
51, 31671
52, 31687
53, 31638
54, 31679
55, 32648
56, 31700
57, 31616
58, 31714
59, 31647
60, 31686
61, 31631
62, 32047
63, 48201
64, 41972
65, 31810
66, 32162
67, 31755
68, 32043
69, 31735
70, 32081
71, 31876
72, 31665
73, 31819
74, 31708
75, 31697
76, 31709
77, 31826
78, 31733
79, 31677
80, 31728
81, 31775
82, 31702
83, 31772
84, 31694
85, 31742
86, 31642
87, 32222
88, 31879
89, 31697
90, 31654
91, 31758
92, 31676
93, 31720
94, 31694
95, 32207
96, 31676
97, 32179
98, 31723
99, 32235
100, 31717
101, 31751
102, 31837
103, 31697
104, 31738
105, 31011
106, 32019
107, 31720
108, 32378
109, 32164
110, 31651
111, 32186
112, 31618
113, 31733
114, 31648
115, 31717
116, 31701
117, 31744
118, 31657
119, 31697
120, 31669
121, 31771
122, 31665
123, 31770
124, 31672
125, 31698
126, 31625
127, 32555
128, 32625
129, 31813
130, 32150
131, 31709
132, 31684
133, 31708
134, 31771
135, 31742
136, 31639
137, 32282
138, 31623
139, 31674
140, 31677
141, 31690
142, 31682
143, 31682
144, 32445
145, 31699
146, 31637
147, 31675
148, 31667
149, 31661
150, 31652
151, 32370
152, 31656
153, 32078
154, 31619
155, 32022
156, 31681
157, 31664
158, 32012
159, 31940
160, 31631
161, 31734
162, 31679
163, 31690
164, 31720
165, 32062
166, 31708
167, 31781
168, 31673
169, 31680
170, 31695
171, 31722
172, 32115
173, 32369
174, 31653
175, 31711
176, 31722
177, 31744
178, 31683
179, 31699
180, 32190
181, 32009
182, 32159
183, 31721
184, 31753
185, 32240
186, 31729
187, 31785
188, 31671
189, 31955
190, 31672
191, 32808
192, 32492
193, 32406
194, 32181
195, 31723
196, 30263
197, 31915
198, 31696
199, 31760
200, 31677
201, 32435
202, 31706
203, 31706
204, 31728
205, 31685
206, 31683
207, 76019
208, 33029
209, 32632
210, 32375
211, 32230
212, 32171
213, 32348
214, 32394
215, 32024
216, 32350
217, 31801
218, 31676
219, 31648
220, 31789
221, 31802
222, 31739
223, 31730
224, 31741
225, 31744
226, 31933
227, 31694
228, 31709
229, 31680
230, 31758
231, 31726
232, 31826
233, 31790
234, 31806
235, 31605
236, 31689
237, 31755
238, 31843
239, 32039
240, 31877
241, 32115
242, 31707
243, 31788
244, 33110
245, 31810
246, 31848
247, 31756
248, 31707
249, 31761
250, 32480
251, 31697
252, 31848
253, 31721
254, 31666
255, 32552
256, 32492
257, 31982
258, 32518
259, 31655
260, 32274
261, 31769
262, 31742
263, 31738
264, 31825
265, 31759
266, 31736
267, 31793
268, 32224
269, 31695
270, 32166
271, 31712
272, 32380
273, 31773
274, 31769
275, 31736
276, 31299
277, 32085
278, 31675
279, 32195
280, 32921
281, 31662
282, 32186
283, 31711
284, 31722
285, 31725
286, 32107
287, 31703
288, 31755
289, 31793
290, 31790
291, 31827
292, 31809
293, 31691
294, 31768
295, 31754
296, 31736
297, 31758
298, 31763
299, 31710
300, 31767
301, 31813
302, 31799
303, 31695
304, 31726
305, 31660
306, 31726
307, 31685
308, 32200
309, 31769
310, 31792
311, 31736
312, 31883
313, 31683
314, 31838
315, 31832
316, 31824
317, 31685
318, 31733
319, 46604
320, 33023
321, 31967
322, 32014
323, 31701
324, 32577
325, 32969
326, 32433
327, 31939
328, 31925
329, 32009
330, 32165
331, 31967
332, 31947
333, 31945
334, 31961
335, 31926
336, 31959
337, 31946
338, 31918
339, 31953
340, 31976
341, 32125
342, 31964
343, 32404
344, 31929
345, 31916
346, 31955
347, 31851
348, 32041
349, 31937
350, 32384
351, 31920
352, 32446
353, 31943
354, 31999
355, 32326
356, 31974
357, 31895
358, 31908
359, 31982
360, 31946
361, 32415
362, 32155
363, 31903
364, 32453
365, 32368
366, 31961
367, 32377
368, 31957
369, 31893
370, 32002
371, 31924
372, 31960
373, 31913
374, 31965
375, 31870
376, 31970
377, 32461
378, 31980
379, 31884
380, 31909
381, 31890
382, 31951
383, 32618
384, 32644
385, 33797
386, 32394
387, 31908
388, 31902
389, 31827
390, 31844
391, 31891
392, 31897
393, 31833
394, 31897
395, 31910
396, 31912
397, 31848
398, 31896
399, 31857
400, 31911
401, 31835
402, 31903
403, 31862
404, 31918
405, 31833
406, 31920
407, 31858
408, 32430
409, 32182
410, 31897
411, 32207
412, 31877
413, 31876
414, 31862
415, 31863
416, 31877
417, 31898
418, 32019
419, 31944
420, 31937
421, 31960
422, 31946
423, 31881
424, 32253
425, 31939
426, 31913
427, 31870
428, 32506
429, 32214
430, 32148
431, 32076
432, 31953
433, 32014
434, 33096
435, 32596
436, 32176
437, 32576
438, 32012
439, 31844
440, 32560
441, 31959
442, 31895
443, 31903
444, 31929
445, 31845
446, 31148
447, 32774
448, 33235
449, 32401
450, 32371
451, 31943
452, 32348
453, 31956
454, 32009
455, 32012
456, 31951
457, 31903
458, 31912
459, 31924
460, 31969
461, 31878
462, 32202
463, 32000
464, 32705
465, 31881
466, 31932
467, 31986
468, 31988
469, 31945
470, 32998
471, 31954
472, 32205
473, 31926
474, 31883
475, 31866
476, 31898
477, 31936
478, 31927
479, 31850
480, 72469
481, 33878
482, 32384
483, 32443
484, 32097
485, 32164
486, 32627
487, 32379
488, 32411
489, 32177
490, 32452
491, 32234
492, 32301
493, 32189
494, 32656
495, 32163
496, 32485
497, 32499
498, 32083
499, 32447
500, 32371
501, 32373
502, 33179
503, 32507
504, 32221
505, 33378
506, 32253
507, 32488
508, 32639
509, 32018
510, 31995
511, 34449
512, 32900
513, 32487
514, 31933
515, 32159
516, 32122
517, 31953
518, 32143
519, 31915
520, 32365
521, 32055
522, 32508
523, 31878
524, 32400
525, 38241
526, 32423
527, 32232
528, 32374
529, 31855
530, 30613
531, 32271
532, 32442
533, 31864
534, 31904
535, 32602
536, 32393
537, 32422
538, 32408
539, 31921
540, 32444
541, 32376
542, 32316
543, 31958
544, 32029
545, 31987
546, 32154
547, 32425
548, 32022
549, 32001
550, 31880
551, 32045
552, 31985
553, 31940
554, 31050
555, 32209
556, 31920
557, 32085
558, 31921
559, 31950
560, 31888
561, 33096
562, 32080
563, 31956
564, 32379
565, 31977
566, 31876
567, 31964
568, 32067
569, 32756
570, 32006
571, 31984
572, 31931
573, 31973
574, 32013
575, 33534
576, 32670
577, 32043
578, 30662
579, 32487
580, 31918
581, 32263
582, 31927
583, 31996
584, 32036
585, 31904
586, 31919
587, 32012
588, 31890
589, 31937
590, 31886
591, 32146
592, 32129
593, 32239
594, 31892
595, 32022
596, 31873
597, 32017
598, 31931
599, 31875
600, 31866
601, 31918
602, 31882
603, 32254
604, 32038
605, 31934
606, 31899
607, 32023
608, 32369
609, 31960
610, 31947
611, 31928
612, 32011
613, 31935
614, 31963
615, 31913
616, 31938
617, 32262
618, 32261
619, 32478
620, 32434
621, 31839
622, 32522
623, 32580
624, 32447
625, 31802
626, 32341
627, 32691
628, 31138
629, 32600
630, 32440
631, 31970
632, 31911
633, 32039
634, 31892
635, 32076
636, 32001
637, 31974
638, 31878
639, 32493
640, 32983
641, 32274
642, 31885
643, 32430
644, 32310
645, 32295
646, 31964
647, 32648
648, 32049
649, 31922
650, 32165
651, 32013
652, 32014
653, 32160
654, 31882
655, 32358
656, 32377
657, 32235
658, 31762
659, 32455
660, 31913
661, 31970
662, 32426
663, 31919
664, 31943
665, 32516
666, 31962
667, 31989
668, 31926
669, 31920
670, 31815
671, 31987
672, 32242
673, 32275
674, 31964
675, 32007
676, 31796
677, 32505
678, 32655
679, 32319
680, 31957
681, 31925
682, 31887
683, 32112
684, 31973
685, 31945
686, 31862
687, 31886
688, 31895
689, 32306
690, 31887
691, 32015
692, 31894
693, 31901
694, 31887
695, 31894
696, 31814
697, 31950
698, 31920
699, 31972
700, 31877
701, 31931
702, 31870
703, 31634
704, 32835
705, 32014
706, 32241
707, 32233
708, 31300
709, 32333
710, 32521
711, 32491
712, 38425
713, 32558
714, 31960
715, 32442
716, 32526
717, 30976
718, 32361
719, 32567
720, 32066
721, 32442
722, 32475
723, 33044
724, 32587
725, 32424
726, 32451
727, 32361
728, 32124
729, 32405
730, 31870
731, 32068
732, 31916
733, 32149
734, 32222
735, 32486
736, 32240
737, 31976
738, 32021
739, 31899
740, 31924
741, 32376
742, 31991
743, 32020
744, 32240
745, 32289
746, 32373
747, 32405
748, 31889
749, 31941
750, 32030
751, 51243
752, 33625
753, 32424
754, 32008
755, 31948
756, 32061
757, 31963
758, 31936
759, 32385
760, 31943
761, 31935
762, 31985
763, 32038
764, 31960
765, 31847
766, 32230
767, 33374
768, 33820
769, 31892
770, 31991
771, 32009
772, 32041
773, 31953
774, 31963
775, 31883
776, 32688
777, 31887
778, 31958
779, 31915
780, 31921
781, 31980
782, 32066
783, 31999
784, 32103
785, 31932
786, 31881
787, 31857
788, 31891
789, 32211
790, 31884
791, 31878
792, 32202
793, 31820
794, 31929
795, 32000
796, 31914
797, 31940
798, 31969
799, 31898
800, 31951
801, 31898
802, 31997
803, 31983
804, 31943
805, 31880
806, 31997
807, 31881
808, 31935
809, 31901
810, 31267
811, 32123
812, 31949
813, 31875
814, 31981
815, 31854
816, 31975
817, 31992
818, 32059
819, 32142
820, 32516
821, 31956
822, 32083
823, 31878
824, 32299
825, 31865
826, 31933
827, 30269
828, 32226
829, 31875
830, 32301
831, 33759
832, 32633
833, 32452
834, 32096
835, 31979
836, 31964
837, 31867
838, 31955
839, 31871
840, 31985
841, 31916
842, 31945
843, 32283
844, 32272
845, 32418
846, 31999
847, 31929
848, 31925
849, 31964
850, 32219
851, 31993
852, 31979
853, 32656
854, 37624
855, 40738
856, 32552
857, 32371
858, 31397
859, 32551
860, 32476
861, 31904
862, 31988
863, 31933
864, 31980
865, 31914
866, 31998
867, 31853
868, 31932
869, 32014
870, 31905
871, 31972
872, 31992
