# trial, latency (cycles)
# trial, latency (cycles)
0, 1972488
1, 29212
2, 18774
3, 18497
4, 18487
5, 18486
6, 18465
7, 18413
8, 18415
9, 18300
10, 18353
11, 18360
12, 18333
13, 18406
14, 18349
15, 18363
16, 18331
17, 18381
18, 18379
19, 18341
20, 18627
21, 18373
22, 18348
23, 18406
24, 18404
25, 18353
26, 18404
27, 18327
28, 18332
29, 18440
30, 18449
31, 18342
32, 18383
33, 18393
34, 18323
35, 18489
36, 18349
37, 18653
38, 18331
39, 18634
40, 18303
41, 18350
42, 18341
43, 18692
44, 18445
45, 18346
46, 18537
47, 18319
48, 18353
49, 18380
50, 17055
51, 18707
52, 22925
53, 18871
54, 23339
55, 18764
56, 18856
57, 19078
58, 18267
59, 18664
60, 18355
61, 18308
62, 18279
63, 18312
64, 27033
65, 18543
66, 18540
67, 18350
68, 18331
69, 18314
70, 18718
71, 18888
72, 18391
73, 18402
74, 17463
75, 18486
76, 18382
77, 18276
78, 18758
79, 18362
80, 18807
81, 18343
82, 18353
83, 18305
84, 18354
85, 18305
86, 18447
87, 18345
88, 18403
89, 18362
90, 18376
91, 18377
92, 18356
93, 18366
94, 18329
95, 18346
96, 18386
97, 18485
98, 18356
99, 18299
100, 18299
101, 18312
102, 18360
103, 18349
104, 18337
105, 18306
106, 18396
107, 18359
108, 18399
109, 18403
110, 18380
111, 18327
112, 18344
113, 18338
114, 18348
115, 18353
116, 18356
117, 18371
118, 18381
119, 18361
120, 18352
121, 18796
122, 18413
123, 18611
124, 18425
125, 18314
126, 18408
127, 18345
128, 19139
129, 18414
130, 18322
131, 19061
132, 18298
133, 18269
134, 18333
135, 18348
136, 18295
137, 18304
138, 18318
139, 18489
140, 18424
141, 18521
142, 18303
143, 18299
144, 18301
145, 18305
146, 18316
147, 18342
148, 18616
149, 18318
150, 18773
151, 18338
152, 18367
153, 18421
154, 18581
155, 18290
156, 18959
157, 18273
158, 18323
159, 18633
160, 18292
161, 18754
162, 18759
163, 18308
164, 18721
165, 18308
166, 18381
167, 18315
168, 18309
169, 18374
170, 18394
171, 18377
172, 18384
173, 19049
174, 18378
175, 18366
176, 18398
177, 18284
178, 18318
179, 18338
180, 18341
181, 18331
182, 18344
183, 18417
184, 18319
185, 17014
186, 18758
187, 18777
188, 17145
189, 17965
190, 18796
191, 18914
192, 19083
193, 19013
194, 18399
195, 18326
196, 18396
197, 18364
198, 18504
199, 18373
200, 18403
201, 18355
202, 18349
203, 18334
204, 18366
205, 16821
206, 18647
207, 18392
208, 18660
209, 18603
210, 18334
211, 18343
212, 18383
213, 18355
214, 18418
215, 18346
216, 18394
217, 18360
218, 18350
219, 18382
220, 18372
221, 19834
222, 19208
223, 18477
224, 18329
225, 18570
226, 18850
227, 18382
228, 18354
229, 18433
230, 18327
231, 18340
232, 18392
233, 18620
234, 18352
235, 18751
236, 18334
237, 18339
238, 18319
239, 18980
240, 18375
241, 18350
242, 18332
243, 18673
244, 18649
245, 18330
246, 18788
247, 18808
248, 18935
249, 18820
250, 18383
251, 18348
252, 18336
253, 18339
254, 18301
255, 18287
256, 18945
257, 18603
258, 18365
259, 18315
260, 18337
261, 18300
262, 18330
263, 18348
264, 18364
265, 18318
266, 18346
267, 18319
268, 18312
269, 18329
270, 18334
271, 18339
272, 18315
273, 18483
274, 18351
275, 18316
276, 18335
277, 18384
278, 18548
279, 18320
280, 18313
281, 18297
282, 18345
283, 18363
284, 18365
285, 18362
286, 18338
287, 18350
288, 18315
289, 18354
290, 18356
291, 18570
292, 18299
293, 18598
294, 18315
295, 18341
296, 18312
297, 18407
298, 18405
299, 18425
300, 18435
301, 18387
302, 18407
303, 18412
304, 18400
305, 18330
306, 18332
307, 18330
308, 18321
309, 18361
310, 18806
311, 18365
312, 18364
313, 18335
314, 18437
315, 18378
316, 18363
317, 18658
318, 18615
319, 23011
320, 19598
321, 17693
322, 18714
323, 18830
324, 18832
325, 18743
326, 18330
327, 18256
328, 18596
329, 19010
330, 16906
331, 18801
332, 18357
333, 18424
334, 18510
335, 18294
336, 18337
337, 18997
338, 18295
