# trial, latency (cycles)
0, 225686
1, 21140
2, 18646
3, 18353
4, 18192
5, 18170
6, 18456
7, 18160
8, 18100
9, 18236
10, 18162
11, 18215
12, 18115
13, 18152
14, 18261
15, 18146
16, 18147
17, 18768
18, 18353
19, 18277
20, 18621
21, 18145
22, 18281
23, 18233
24, 18242
25, 18134
26, 18272
27, 18637
28, 18143
29, 18251
30, 18240
31, 18137
32, 18143
33, 18780
34, 18535
35, 18263
36, 18276
37, 18506
38, 18437
39, 18222
40, 18596
41, 18136
42, 18109
43, 18178
44, 18494
45, 18160
46, 18200
47, 18173
48, 18143
49, 18128
50, 18294
51, 18125
52, 18158
53, 18147
54, 18165
55, 18169
56, 18143
57, 18112
58, 18583
59, 18176
60, 18118
61, 18162
62, 18251
63, 18140
64, 18188
65, 18152
66, 18568
67, 18118
68, 18152
69, 18190
70, 18175
71, 18126
72, 18119
73, 18152
74, 18581
75, 18128
76, 18119
77, 18179
78, 18169
79, 18156
80, 18141
81, 18513
82, 18535
83, 18528
84, 18145
85, 18175
86, 18197
87, 18139
88, 24261
89, 18192
90, 38283
91, 18669
92, 18654
93, 19358
94, 18710
95, 18202
96, 18220
97, 18428
98, 18216
99, 18350
100, 18376
101, 18141
102, 18212
103, 18216
104, 18219
105, 18159
106, 18264
107, 18640
108, 18180
109, 18642
110, 18168
111, 18143
112, 18190
113, 18469
114, 18191
115, 18138
116, 18156
117, 18200
118, 18589
119, 18607
120, 18201
121, 18564
122, 18896
123, 18186
124, 18654
125, 18157
126, 18231
127, 18210
128, 18191
129, 18143
130, 18180
131, 18179
132, 18214
133, 18145
134, 18178
135, 18151
136, 18179
137, 18177
138, 18168
139, 18149
140, 18179
141, 18184
142, 18219
143, 18138
144, 18256
145, 18166
146, 18170
147, 18192
148, 18237
149, 18148
150, 18340
151, 18143
152, 18609
153, 18543
154, 18184
155, 18133
156, 18214
157, 18193
158, 18178
159, 18159
160, 18300
161, 18174
162, 18164
163, 18147
164, 18166
165, 18495
166, 18215
167, 18496
168, 18147
169, 18173
170, 18170
171, 18141
172, 18188
173, 18198
174, 18220
175, 18133
176, 18573
177, 18199
178, 18205
179, 18173
180, 18150
181, 18120
182, 18209
183, 18174
184, 18137
185, 18631
186, 18203
187, 18192
188, 18130
189, 18158
190, 18199
191, 18198
192, 17062
193, 18314
194, 18625
195, 18887
196, 18780
197, 18718
198, 18494
199, 18188
200, 18142
201, 18191
202, 18206
203, 18480
204, 18246
205, 18306
206, 18668
207, 18153
208, 18610
209, 18106
210, 18248
211, 18181
212, 18211
213, 18188
214, 18170
215, 18156
216, 18148
217, 18199
218, 18183
219, 18361
220, 18158
221, 18151
222, 18176
223, 18202
224, 18608
225, 18601
226, 23730
227, 18975
228, 18799
229, 18002
230, 18623
231, 18345
232, 18118
233, 18143
234, 18203
235, 18215
236, 18224
237, 18220
238, 18140
239, 18160
240, 18186
241, 18190
242, 18127
243, 18168
244, 18206
245, 18228
246, 18158
247, 18178
248, 18165
249, 18312
250, 18490
251, 18066
252, 18456
253, 18184
254, 18174
255, 18224
256, 18133
257, 18206
258, 18170
259, 18436
260, 20179
261, 18481
262, 18168
263, 18160
264, 18207
265, 18159
266, 18657
267, 18157
268, 18348
269, 18729
270, 18264
271, 18163
272, 18137
273, 18171
274, 18326
275, 18485
276, 18618
277, 18688
278, 18382
279, 18167
280, 18152
281, 18470
282, 18205
283, 18204
284, 18646
285, 18266
286, 18371
287, 18496
288, 18263
289, 18361
290, 19029
291, 18167
292, 18295
293, 18395
294, 18174
295, 18238
296, 18185
297, 19599
298, 18553
299, 18168
300, 18213
301, 18192
302, 18222
303, 18183
304, 18190
305, 18263
306, 18165
307, 18165
308, 18199
309, 18545
310, 18129
311, 18216
312, 18148
313, 18180
314, 18195
315, 18229
316, 18151
317, 18179
318, 18178
319, 18236
320, 18147
321, 18190
322, 18283
323, 18233
324, 18199
325, 18137
326, 18547
327, 18177
328, 18140
329, 18183
330, 18192
331, 18139
332, 18123
333, 18230
334, 17536
335, 18505
336, 18141
337, 18484
338, 18295
339, 18612
340, 18366
341, 18178
342, 18140
343, 18224
344, 18138
345, 18177
346, 18151
347, 18228
348, 18143
349, 18274
350, 18141
351, 18223
352, 18202
353, 18628
354, 18149
355, 18194
356, 18132
357, 24540
358, 18067
359, 38215
360, 18842
361, 18677
362, 17822
363, 18587
364, 18556
365, 18153
366, 18146
367, 18111
368, 18489
369, 18085
370, 18150
371, 18683
372, 18473
373, 18093
374, 18730
375, 18642
376, 18181
377, 18600
378, 18139
379, 18184
380, 20670
381, 18398
382, 18238
383, 18143
384, 18186
385, 18142
386, 18440
387, 18220
388, 18181
389, 18194
390, 18225
391, 18211
392, 18273
393, 18213
394, 18273
395, 18277
396, 18232
397, 18239
398, 18224
399, 18260
400, 18268
401, 18234
402, 18216
403, 18255
404, 18233
405, 18242
406, 18268
407, 18238
408, 18250
409, 18233
410, 18476
411, 18204
412, 18318
413, 18157
414, 18179
415, 18208
416, 18535
417, 18388
418, 17016
419, 18400
420, 18177
421, 18231
422, 18202
423, 18217
424, 18201
425, 18250
426, 18287
427, 18242
428, 18586
429, 18203
430, 18182
431, 18174
432, 18216
433, 18256
434, 18186
435, 18629
436, 18704
437, 18190
438, 18214
439, 18225
440, 18241
441, 18215
442, 18343
443, 18553
444, 18230
445, 18655
446, 18167
447, 18221
448, 18495
449, 18200
450, 18209
451, 18359
452, 18195
453, 18193
454, 18558
455, 18169
456, 18208
457, 18794
458, 18626
459, 18249
460, 19087
461, 18213
462, 18194
463, 18241
464, 18231
465, 18234
466, 18237
467, 18237
468, 18476
469, 18218
470, 18188
471, 18183
472, 18236
473, 18246
474, 18253
475, 18259
476, 18336
477, 18234
478, 18225
479, 18248
480, 18253
481, 18240
482, 18182
483, 18215
484, 18196
485, 18221
486, 18210
487, 18228
488, 18578
489, 18235
490, 18236
491, 21210
492, 17768
493, 25545
494, 18703
495, 17472
496, 18737
497, 18678
498, 18230
499, 18548
500, 18209
501, 18785
502, 18230
503, 18535
504, 18200
505, 18238
506, 18446
507, 18221
508, 18205
509, 18193
510, 18203
511, 18221
512, 18214
513, 18221
514, 18171
515, 18239
516, 18223
517, 18233
518, 18226
519, 17910
520, 18473
521, 18241
522, 18229
523, 18261
524, 18236
525, 18253
526, 70410
527, 19159
528, 18847
529, 18670
530, 18181
531, 18234
532, 18204
533, 18568
534, 18415
535, 18230
536, 18259
537, 18216
538, 17362
539, 18515
540, 18157
541, 18755
542, 18702
543, 18259
544, 18706
545, 18207
546, 18201
547, 18212
548, 18218
549, 18364
550, 18188
551, 18202
552, 18214
553, 18242
554, 18240
555, 18229
556, 18237
557, 18386
558, 18278
559, 18248
560, 18224
561, 18242
562, 18276
563, 18230
564, 18815
565, 18231
566, 18242
567, 18323
568, 18248
569, 18387
570, 18212
571, 18212
572, 18250
573, 18242
574, 18245
575, 18239
576, 18189
577, 18215
578, 18259
579, 18204
580, 18219
581, 18201
