# trial, bytes, microseconds
0, 32, 380.079987
1, 32, 299.679993
2, 32, 483.480011
3, 32, 475.250000
4, 32, 439.049011
5, 32, 475.510010
6, 32, 431.200012
7, 32, 445.339996
8, 32, 421.760010
9, 32, 1147.619019
0, 64, 447.220001
1, 64, 468.760010
2, 64, 456.049988
3, 64, 457.970001
4, 64, 484.941010
5, 64, 335.519989
6, 64, 473.709991
7, 64, 440.309998
8, 64, 504.929993
9, 64, 471.970001
0, 128, 471.820007
1, 128, 483.260010
2, 128, 483.739990
3, 128, 439.959991
4, 128, 477.100006
5, 128, 445.890015
6, 128, 443.739990
7, 128, 445.260010
8, 128, 537.320007
9, 128, 452.959991
0, 256, 454.200012
1, 256, 449.750000
2, 256, 511.170013
3, 256, 473.820007
4, 256, 449.829987
5, 256, 474.190002
6, 256, 434.079010
7, 256, 431.910004
8, 256, 450.140015
9, 256, 436.000000
0, 512, 426.149994
1, 512, 313.920013
2, 512, 466.600006
3, 512, 499.109985
4, 512, 518.020020
5, 512, 483.919006
6, 512, 505.160004
7, 512, 472.230011
8, 512, 466.450012
9, 512, 492.899994
0, 1024, 468.079987
1, 1024, 476.790009
2, 1024, 621.479980
3, 1024, 487.730011
4, 1024, 487.989990
5, 1024, 397.829987
6, 1024, 498.000000
7, 1024, 433.479004
8, 1024, 533.219971
9, 1024, 470.380005
0, 2048, 511.779999
1, 2048, 480.600006
2, 2048, 513.559021
3, 2048, 507.920013
4, 2048, 459.859985
5, 2048, 345.269989
6, 2048, 311.540009
7, 2048, 348.630005
8, 2048, 360.940002
9, 2048, 361.579987
0, 4096, 339.880005
1, 4096, 504.790009
2, 4096, 319.059998
3, 4096, 546.020020
4, 4096, 455.779999
5, 4096, 435.429993
6, 4096, 459.410004
7, 4096, 459.739990
8, 4096, 440.959991
9, 4096, 472.940002
0, 8192, 482.589996
1, 8192, 496.079987
2, 8192, 464.369995
3, 8192, 473.480011
4, 8192, 494.979004
5, 8192, 464.709991
6, 8192, 480.649994
7, 8192, 480.290009
8, 8192, 641.380005
9, 8192, 500.679993
0, 16384, 507.739990
1, 16384, 470.540009
2, 16384, 489.390015
3, 16384, 444.750000
4, 16384, 527.219971
5, 16384, 404.640015
6, 16384, 488.600006
7, 16384, 463.119995
8, 16384, 457.850006
9, 16384, 452.429993
0, 32768, 481.519989
1, 32768, 474.049988
2, 32768, 723.400024
3, 32768, 635.588989
4, 32768, 462.980011
5, 32768, 479.519989
6, 32768, 558.179993
7, 32768, 487.019989
8, 32768, 528.109985
9, 32768, 471.410004
0, 65536, 478.070007
1, 65536, 479.690002
2, 65536, 474.019989
3, 65536, 451.959991
4, 65536, 479.799988
5, 65536, 571.059998
6, 65536, 510.640015
7, 65536, 521.640015
8, 65536, 529.609985
9, 65536, 515.840027
0, 131072, 508.320007
1, 131072, 523.359985
2, 131072, 496.700012
3, 131072, 968.919983
4, 131072, 521.179993
5, 131072, 512.000000
6, 131072, 1129.060059
7, 131072, 532.179993
8, 131072, 537.729980
9, 131072, 518.390015
0, 262144, 567.369995
1, 262144, 547.789978
2, 262144, 799.809021
3, 262144, 584.869995
4, 262144, 522.109985
5, 262144, 1256.199951
6, 262144, 586.390015
7, 262144, 566.650024
8, 262144, 518.070007
9, 262144, 573.940002
0, 524288, 676.400024
1, 524288, 578.440002
2, 524288, 570.148987
3, 524288, 386.079987
4, 524288, 968.439026
5, 524288, 616.150024
6, 524288, 634.419983
7, 524288, 588.130005
8, 524288, 1248.640015
9, 524288, 618.559998
0, 1048576, 776.340027
1, 1048576, 785.119995
2, 1048576, 703.640015
3, 1048576, 671.479980
4, 1048576, 715.070007
5, 1048576, 680.059998
6, 1048576, 714.969971
7, 1048576, 778.559998
8, 1048576, 738.619995
9, 1048576, 841.429993
0, 2097152, 1837.319946
1, 2097152, 730.469971
2, 2097152, 1003.869019
3, 2097152, 1072.500000
4, 2097152, 709.549988
5, 2097152, 642.239990
6, 2097152, 915.780029
7, 2097152, 823.229980
8, 2097152, 1065.900024
9, 2097152, 712.309998
0, 4194304, 1171.959961
1, 4194304, 1108.380005
2, 4194304, 941.140015
3, 4194304, 1390.009033
4, 4194304, 1268.050049
5, 4194304, 2650.039062
6, 4194304, 1060.229004
7, 4194304, 1622.479980
8, 4194304, 1659.810059
9, 4194304, 1836.239990
0, 8388608, 3307.408936
1, 8388608, 2803.388916
2, 8388608, 2868.449951
3, 8388608, 2858.409912
4, 8388608, 2860.100098
5, 8388608, 2656.090088
6, 8388608, 2873.399902
7, 8388608, 2746.679932
8, 8388608, 2777.379883
9, 8388608, 2754.319092
0, 16777216, 7497.109863
1, 16777216, 6494.188965
2, 16777216, 5169.160156
3, 16777216, 6248.038086
4, 16777216, 5576.568848
5, 16777216, 6117.120117
6, 16777216, 6120.238770
7, 16777216, 4888.639160
8, 16777216, 5940.331055
9, 16777216, 5443.229980
