# trial, latency
0,2178
1,485
2,471
3,446
4,460
5,446
6,459
7,444
8,467
9,453
10,457
11,460
12,442
13,461
14,443
15,480
16,443
17,458
18,443
19,443
20,461
21,444
22,459
23,451
24,459
25,444
26,459
27,444
28,452
29,459
30,448
31,474
32,444
33,461
34,444
35,458
36,444
37,444
38,464
39,445
40,459
41,442
42,457
43,444
44,464
45,448
46,452
47,459
48,443
49,457
50,443
51,459
52,464
53,453
54,444
55,443
56,458
57,445
58,458
59,442
60,463
61,442
62,460
63,449
64,459
65,458
66,444
67,507
68,444
69,451
70,444
71,451
72,444
73,444
74,468
75,452
76,452
77,444
78,451
79,447
80,451
81,448
82,454
83,456
84,446
85,476
86,453
87,457
88,447
89,516
90,449
91,445
92,460
93,447
94,453
95,447
96,460
97,447
98,454
99,467
