# trial, latency
0,2328
1,113
2,108
3,115
4,105
5,103
6,103
7,103
8,103
9,103
10,103
11,103
12,103
13,102
14,102
15,103
16,103
17,102
18,128
19,105
20,126
21,110
22,102
23,101
24,101
25,101
26,101
27,101
28,101
29,101
30,101
31,101
32,101
33,101
34,100
35,100
36,100
37,101
38,101
39,101
40,101
41,101
42,101
43,101
44,101
45,101
46,105
47,100
48,100
49,100
50,101
51,101
52,101
53,101
54,110
55,101
56,101
57,101
58,100
59,100
60,101
61,101
62,101
63,104
64,102
65,101
66,101
67,101
68,101
69,101
70,101
71,101
72,101
73,101
74,100
75,100
76,105
77,101
78,102
79,100
80,100
81,101
82,101
83,101
84,101
85,101
86,100
87,110
88,102
89,103
90,102
91,102
92,103
93,103
94,103
95,102
96,103
97,113
98,105
99,109
