# trial, latency (cycles)
0, 255930
1, 118902
2, 117952
3, 117914
4, 117876
5, 117838
6, 117838
7, 117876
8, 117838
9, 117876
10, 117914
11, 117914
12, 117952
13, 117800
14, 117838
15, 117838
16, 117876
17, 117838
18, 117838
19, 117838
20, 117838
21, 117800
22, 117838
23, 117838
24, 117838
25, 117838
26, 117838
27, 117838
28, 117838
29, 117800
30, 117838
31, 117838
32, 117876
33, 117838
34, 117838
35, 117838
36, 117838
37, 117838
38, 117838
39, 117838
40, 117838
41, 117800
42, 117838
43, 117838
44, 117876
45, 117838
46, 117838
47, 117838
48, 117838
49, 117838
50, 117838
51, 117838
52, 117876
53, 117838
54, 117838
55, 117838
56, 117838
57, 117838
58, 117838
59, 117838
60, 117838
61, 117838
62, 117838
63, 117838
64, 117876
65, 117838
66, 117838
67, 117838
68, 117838
69, 117838
70, 117838
71, 117838
72, 117838
73, 117838
74, 117838
75, 117838
76, 117876
77, 117838
78, 117838
79, 117838
80, 117838
81, 117838
82, 117838
83, 117838
84, 131062
85, 123424
86, 117876
87, 117800
88, 117838
89, 117838
90, 117838
91, 117838
92, 117838
93, 117838
94, 117838
95, 117838
96, 117876
97, 117838
98, 117876
99, 117838
100, 138016
101, 117914
102, 117876
103, 117838
104, 117838
105, 117800
106, 117838
107, 117800
108, 117838
109, 117838
110, 117838
111, 117838
112, 117838
113, 117838
114, 117800
115, 117838
116, 117800
117, 117838
118, 117800
119, 117800
120, 117838
121, 117800
122, 117838
123, 117800
124, 117838
125, 117800
126, 117838
127, 117800
128, 117838
129, 117800
130, 117838
131, 117800
132, 117838
133, 117800
134, 117838
135, 117800
136, 117838
137, 117800
138, 117838
139, 117838
140, 117838
141, 117838
142, 117838
143, 117838
144, 117800
145, 117838
146, 117800
147, 117838
148, 117838
149, 117800
150, 117838
151, 117800
152, 117838
153, 117800
154, 117838
155, 117800
156, 117838
157, 117800
158, 117838
159, 117800
160, 117838
161, 117800
162, 117838
163, 117800
164, 117838
165, 117838
166, 117838
167, 117838
168, 117838
169, 117838
170, 117800
171, 117838
172, 117800
173, 117838
174, 117800
175, 117838
176, 126084
177, 128288
178, 117838
179, 117800
180, 117838
181, 117800
182, 117838
183, 117800
184, 117838
185, 117800
186, 117838
187, 117800
188, 117838
189, 117838
190, 117838
191, 117838
192, 117838
193, 117838
194, 117838
195, 117838
196, 117800
197, 117838
198, 117800
199, 117800
200, 117838
201, 117800
202, 117838
203, 127832
204, 118142
205, 118066
206, 118028
207, 118028
208, 118028
209, 118066
210, 118028
211, 118066
212, 118066
213, 118028
214, 118028
215, 118066
216, 118028
217, 118028
218, 118066
219, 118028
220, 118028
221, 118066
222, 118028
223, 118028
