PAE,kmain(),after recv(),after send()
27132,27398,61104,122474
44042,44536,87286,175902
47994,48488,98496,211090
39786,40280,79192,161120
39900,40394,79686,158878
41876,42408,81966,162260
24890,25194,48222,96368
39634,40128,77634,157548
39824,40318,78546,155116
40508,41040,81776,164008
37544,38038,75088,152152
38114,38570,77558,156712
38076,38570,76266,150860
38532,39026,76684,157472
37544,38038,74632,150670
43852,44384,84322,164578
38684,39140,78660,154660
42408,42940,85196,170012
38798,39292,76076,153102
39178,39672,77102,152912
42294,42826,83638,166022
39444,39938,79952,163400
38266,38722,76038,153026
42408,42940,84056,165642
39520,40014,77824,155800
40090,40584,78470,159068
19646,19874,39292,81472
42408,42940,83030,165110
42180,42674,83790,165870
39368,39862,77824,153520
39140,39634,77368,154242
45524,46018,91010,177004
39292,39786,77862,159562
39976,40470,79686,164616
39482,39976,77786,160284
29982,30362,61218,127338
39444,39938,77596,159372
44612,45182,87704,176700
39140,39634,80218,160094
30248,30666,60876,123842
41230,41762,82954,162678
32224,32566,63536,133380
31198,31502,61978,125514
25802,26106,51034,102448
24814,25080,49818,100814
30514,30932,60800,121676
43472,43928,82232,163704
19152,19418,38038,77444
26866,27170,57608,110808
23332,23636,46132,92378
23484,23750,47386,94316
23408,23712,46512,93328
21774,22002,43054,85804
43586,44080,83980,166364
44536,45144,90212,167770
38266,38760,76418,152304
60724,61218,115596,215080
25118,25422,48374,101346
38494,38950,75734,154470
19152,19418,39216,80370
19380,19608,38152,77330
44878,45372,85158,167352
43928,44422,85272,167048
44726,45220,87438,172178
40850,41344,81966,163894
44726,45220,85424,171152
19950,20178,39216,80142
41648,42104,85690,173926
40850,41306,81700,163590
72086,72542,113354,205010
24852,25156,48032,92340
55936,56468,114456,258856
38722,39216,78812,162792
38494,38988,79040,157244
38760,39254,81890,162222
39254,39748,79306,161880
39026,39482,79876,162526
39482,39976,80066,160094
39102,39558,79116,158156
39976,40470,80142,160094
38684,39178,79192,157320
38532,39026,78622,158042
42826,43282,86146,170962
38684,39140,78622,159600
39292,39786,79116,161044
40318,40812,80940,165034
39216,39710,79382,162146
39368,39862,79382,160056
39444,40014,80636,162564
39862,40318,79686,160664
39824,40318,79838,163172
39938,40432,80598,160816
51832,52326,106400,217930
39178,39710,79382,160246
38418,38874,77824,158422
44764,45372,88464,177878
38646,39140,78470,160664
24016,24320,48868,128022
38608,39102,78432,157320
38570,39064,81092,163134
38722,39216,78470,159752
39482,39976,80256,163552
38874,39330,78736,157282
39558,40052,80104,161348
26106,26334,52516,132506
29792,30096,63498,168492
42674,43168,87286,182096
45486,45942,94050,214206
41990,42484,89072,197486
44308,44802,93556,197372
39026,39520,80028,163286
38760,39254,78584,159562
38836,39330,78964,167542
39140,39634,82726,181526
38380,38874,78508,164502
38494,38988,78926,162944
38836,39292,78394,159220
38380,38836,77900,157168
38038,38532,77672,156750
38304,38798,77862,157130
44878,45372,87210,172938
38798,39292,79040,160436
38950,39444,79534,160056
38342,38836,81092,162526
