# trial, latency (cycles)
0, 289674
1, 93176
2, 112670
3, 88008
4, 84702
5, 86678
6, 97546
7, 76532
8, 80294
9, 75202
10, 73188
11, 73606
12, 70946
13, 78470
14, 85234
15, 73302
16, 72732
17, 76570
18, 82764
19, 87476
20, 71060
21, 68628
22, 74024
23, 67412
24, 66500
25, 66386
26, 69958
27, 64904
28, 67032
29, 93822
30, 127224
31, 77254
32, 70870
33, 71858
34, 65702
35, 66424
36, 66614
37, 68514
38, 69350
39, 68780
40, 65892
41, 67754
42, 67944
43, 69958
44, 66690
45, 67526
46, 70604
47, 79534
48, 66690
49, 65132
50, 68400
51, 65512
52, 67222
53, 69008
54, 73568
55, 65626
56, 76950
57, 66500
58, 66766
59, 65170
60, 75924
61, 65626
62, 68704
63, 65892
64, 73986
65, 67070
66, 63384
67, 67108
68, 74936
69, 64296
70, 75240
71, 75316
72, 83106
73, 72390
74, 73264
75, 87400
76, 82384
77, 74860
78, 77444
79, 80750
80, 88388
81, 72808
82, 76266
83, 70528
84, 84170
85, 76418
86, 86146
87, 73568
88, 80370
89, 73606
90, 75164
91, 73264
92, 83372
93, 71288
94, 75088
95, 74176
96, 79496
97, 74974
98, 71630
99, 72542
100, 80978
101, 69578
102, 77976
103, 81586
104, 79572
105, 74860
106, 72124
107, 72390
108, 82308
109, 71782
110, 78660
111, 73454
112, 80940
113, 70528
114, 72580
115, 72314
116, 82460
117, 74594
118, 75696
119, 78926
120, 78318
121, 73378
122, 71440
123, 68552
124, 75734
125, 65474
126, 71820
127, 67298
128, 74518
129, 66424
130, 67982
131, 80636
132, 81814
133, 72238
134, 72732
135, 65702
136, 72770
137, 66804
138, 70604
139, 66272
140, 73986
141, 65854
142, 72960
143, 66842
144, 73606
145, 64448
146, 65360
147, 67906
148, 78128
149, 74518
150, 72580
151, 94202
152, 76304
153, 73530
154, 69274
155, 66842
156, 75506
157, 67298
158, 71098
159, 76798
160, 77064
161, 67792
162, 67298
163, 71706
164, 85918
165, 66386
166, 71630
167, 67792
168, 74518
169, 61218
170, 66994
171, 69768
172, 82878
173, 80370
174, 78432
175, 69920
176, 77064
177, 70832
178, 67678
179, 71972
180, 95646
181, 67450
182, 74290
183, 68780
184, 80294
185, 70908
186, 72124
187, 83448
188, 78318
189, 68780
190, 73682
191, 69806
192, 79724
193, 70186
194, 69654
195, 81472
196, 79154
