# trial, latency (cycles)
# trial, latency (cycles)
0, 4003186
1, 13946
2, 6650
3, 6308
4, 6270
5, 6346
6, 6308
7, 6346
8, 6308
9, 6346
10, 6308
11, 6346
12, 6308
13, 6346
14, 6346
15, 6308
16, 6308
17, 6346
18, 6308
19, 6346
20, 6308
21, 6346
22, 6308
23, 6346
24, 6308
25, 6308
26, 6308
27, 6308
28, 6308
29, 6308
30, 6308
31, 6346
32, 6308
33, 6308
34, 6308
35, 6308
36, 6308
37, 6308
38, 6346
39, 6308
40, 6308
41, 6308
42, 6308
43, 6308
44, 6308
45, 6346
46, 6308
47, 6346
48, 6308
49, 6308
50, 6308
51, 6308
52, 6308
53, 6308
54, 6308
55, 6346
56, 6308
57, 6346
58, 6308
59, 6308
60, 6308
61, 6308
62, 6308
63, 6308
64, 10754
65, 6346
66, 6308
67, 6308
68, 6308
69, 6308
70, 6308
71, 6308
72, 6308
73, 6346
74, 6270
75, 6346
76, 6270
77, 6346
78, 6308
79, 6346
80, 6270
81, 6346
82, 6270
83, 6346
84, 6270
85, 6308
86, 6308
87, 6308
88, 6308
89, 6346
90, 6308
91, 6346
92, 6270
93, 6346
94, 6270
95, 6346
96, 6270
97, 6308
98, 6270
99, 6346
100, 6308
101, 6346
102, 6270
103, 6346
104, 6308
105, 6346
106, 6308
107, 6346
108, 6308
109, 6308
110, 6308
111, 6308
112, 6308
113, 6346
114, 6308
115, 6346
116, 6270
117, 6346
118, 6308
119, 6346
120, 6270
121, 6308
122, 6308
123, 6308
124, 6308
125, 6346
126, 6308
127, 6308
128, 6612
129, 6346
130, 6346
131, 6384
132, 6384
133, 6384
134, 6384
135, 6384
136, 6384
137, 6346
138, 6384
139, 6384
140, 6384
141, 6346
142, 6384
143, 6384
144, 6384
145, 6346
146, 6384
147, 6384
148, 6384
149, 6346
150, 6346
151, 6384
152, 6384
153, 6346
154, 6346
155, 6384
156, 6384
157, 6346
158, 6384
159, 6384
160, 6346
161, 6308
162, 6384
163, 6346
164, 6346
165, 6346
166, 6346
167, 6346
168, 6384
169, 6346
170, 6384
171, 6384
172, 6384
173, 6346
174, 6346
175, 6384
176, 6346
177, 6346
178, 6384
179, 6346
180, 6384
181, 6384
182, 6384
183, 6384
184, 6384
185, 6384
186, 6384
187, 6384
188, 6384
189, 6346
190, 6384
191, 6384
192, 6498
193, 6346
194, 6308
195, 6308
196, 6346
197, 6270
198, 6346
199, 6308
200, 6346
201, 6270
202, 6346
203, 6308
204, 6346
205, 6270
206, 6346
207, 6308
208, 6346
209, 6270
210, 6346
211, 6346
212, 6346
213, 6270
214, 6346
215, 6308
216, 6346
217, 6270
218, 6346
219, 6308
220, 6384
221, 6308
222, 6384
223, 6346
224, 6346
225, 6308
226, 6384
227, 6308
228, 6384
229, 6308
230, 6384
231, 6308
232, 6384
233, 6270
234, 6346
235, 6308
236, 6346
237, 6270
238, 6346
239, 6308
240, 6384
241, 6308
242, 6384
243, 6308
244, 6384
245, 6270
246, 6346
247, 6308
248, 6346
249, 6270
250, 6346
251, 6308
252, 6346
253, 6308
254, 6346
255, 6308
256, 6460
257, 6308
258, 6346
259, 6346
260, 6308
261, 6308
262, 6308
263, 6346
264, 6346
265, 6346
266, 6346
267, 6346
268, 6346
269, 6308
270, 6346
271, 6346
272, 6346
273, 6346
274, 6346
275, 6346
276, 6346
277, 6308
278, 6346
279, 6308
280, 6346
281, 6308
282, 6384
283, 6346
284, 6308
285, 6308
286, 6346
287, 6346
288, 6346
289, 6270
290, 6346
291, 6308
292, 6346
293, 6270
294, 6346
295, 6308
296, 6346
297, 6308
298, 6346
299, 6346
300, 6384
301, 6346
302, 6346
303, 6346
304, 6346
305, 6346
306, 6346
307, 6346
308, 6346
309, 6308
310, 6346
311, 6308
312, 6346
313, 6308
314, 6346
315, 6346
316, 6346
317, 6308
318, 6346
319, 6346
320, 6840
321, 6308
322, 6308
323, 6384
324, 6384
325, 6346
326, 6346
327, 6384
328, 6346
329, 6346
330, 6384
331, 6384
332, 6346
333, 6346
334, 6346
335, 6384
336, 6346
337, 6346
338, 6384
339, 6384
340, 6346
341, 6384
342, 6346
343, 6384
344, 6346
345, 6384
346, 6384
347, 6384
348, 6346
349, 6346
350, 6346
351, 6384
352, 6346
353, 6346
354, 6384
355, 6384
356, 6308
357, 6346
358, 6384
359, 6384
360, 6574
361, 6916
362, 6308
363, 6384
364, 6308
365, 6346
366, 6346
367, 6384
368, 6308
369, 6384
370, 6346
371, 6384
372, 6346
373, 6346
374, 6346
375, 6384
376, 6346
377, 6384
378, 6346
379, 6384
380, 6346
381, 6346
382, 6346
383, 6422
384, 6460
385, 6308
386, 6346
387, 6422
388, 6384
389, 6384
390, 6384
391, 6384
392, 6346
393, 6384
394, 6346
395, 6422
396, 6384
397, 6384
398, 6346
399, 6422
400, 6384
401, 6346
402, 6384
403, 6384
404, 6346
405, 6384
406, 6346
407, 6422
408, 6346
409, 6384
410, 6346
411, 6422
412, 6346
413, 6384
414, 6346
415, 6422
416, 6384
417, 6346
418, 6346
419, 6346
420, 6384
421, 6346
422, 6384
423, 6384
424, 6346
425, 6384
426, 6384
427, 6384
428, 6384
429, 6384
430, 6346
431, 6422
432, 6346
433, 6384
434, 6346
435, 6384
436, 6346
437, 6384
438, 6346
439, 6422
440, 6346
441, 6384
442, 6346
443, 6422
444, 6384
445, 6384
446, 6346
447, 6422
448, 6460
449, 6308
450, 6384
451, 6308
452, 6384
453, 6308
454, 6384
455, 6308
456, 6384
457, 6308
458, 6346
459, 6346
460, 6384
461, 6308
462, 6384
463, 6346
464, 6384
465, 6308
466, 6384
467, 6308
468, 6384
469, 6308
470, 6384
471, 6346
472, 6422
473, 6346
474, 6346
475, 6346
476, 6384
477, 6346
478, 6384
479, 6346
480, 6384
481, 6346
482, 6346
483, 6346
484, 6384
485, 6498
486, 6308
487, 6308
488, 6346
489, 6346
490, 6384
491, 6346
492, 6346
493, 6384
494, 6346
495, 6384
496, 6346
497, 6384
498, 6346
499, 6384
500, 6384
501, 6346
502, 6346
503, 6384
504, 6346
505, 6384
506, 6346
507, 6384
508, 6346
509, 6384
510, 6346
511, 6384
512, 6460
513, 6308
514, 6308
515, 6346
516, 6270
517, 6346
518, 6270
519, 6346
520, 6308
521, 6346
522, 6308
523, 6346
524, 6308
525, 6346
526, 6270
527, 6346
528, 6308
529, 6346
530, 6270
531, 6346
532, 6270
533, 6346
534, 6308
535, 6346
536, 6270
537, 6346
538, 6308
539, 6346
540, 6270
541, 6346
542, 6308
543, 6346
544, 6270
545, 6308
546, 6308
547, 6308
548, 6270
549, 6308
550, 6308
551, 6346
552, 6270
553, 6346
554, 6346
555, 6346
556, 6308
557, 6346
558, 6308
559, 6346
560, 6270
561, 6346
562, 6308
563, 6346
564, 6308
565, 6346
566, 6308
567, 6384
568, 6308
569, 6346
570, 6308
571, 6384
572, 6308
573, 6346
574, 6308
575, 6384
576, 6460
577, 6346
578, 6346
579, 6346
580, 6346
581, 6384
582, 6346
583, 6346
584, 6346
585, 6346
586, 6346
587, 6346
588, 6346
589, 6384
590, 6346
591, 6384
592, 6346
593, 6384
