# trial, First Instruction, Load 32-bit GDT, Protected Mode Enable, Protected Transition, Paging identity mapping, Load 64-bit GDT, Jump to 64-bit
0, 114, 6726, 11134, 532, 210596, 14022, 342
1, 114, 5852, 7790, 494, 179208, 14136, 380
2, 114, 6080, 7790, 532, 177232, 14060, 380
3, 114, 5776, 7638, 532, 176548, 14136, 342
4, 114, 5738, 7752, 494, 255132, 14098, 342
5, 114, 5776, 7638, 494, 176586, 13984, 380
6, 114, 5776, 7638, 494, 513646, 14136, 342
7, 114, 5776, 7828, 494, 177498, 14250, 380
8, 114, 5092, 6612, 456, 220096, 12312, 342
9, 114, 5054, 6650, 456, 153976, 12312, 342
10, 114, 5054, 6650, 418, 153976, 12236, 342
11, 114, 5168, 6574, 456, 154128, 12312, 304
12, 76, 5054, 6688, 418, 153938, 12312, 304
13, 76, 5092, 6612, 418, 220248, 12350, 304
14, 114, 5016, 6650, 456, 154204, 12312, 342
15, 114, 5092, 6650, 418, 221426, 12312, 342
16, 114, 5054, 6688, 456, 154356, 12350, 304
17, 114, 5054, 6612, 456, 218804, 12350, 342
18, 76, 5054, 6688, 418, 154242, 12312, 342
19, 114, 5054, 6650, 456, 154128, 12236, 342
20, 114, 5130, 6650, 418, 154470, 12274, 304
21, 76, 5092, 6612, 456, 154204, 12312, 342
22, 114, 5054, 6650, 456, 225758, 12312, 304
23, 76, 5054, 6688, 418, 154394, 12388, 342
24, 114, 5054, 6688, 418, 218576, 12350, 304
25, 76, 5054, 6650, 418, 154242, 12274, 304
26, 114, 5054, 6688, 418, 221274, 12274, 304
27, 114, 5016, 6650, 456, 154280, 12274, 342
28, 114, 5054, 6612, 418, 154166, 12350, 342
29, 114, 5168, 6650, 456, 154394, 12198, 342
30, 114, 5016, 6650, 418, 154204, 12312, 304
31, 114, 5054, 6688, 456, 213104, 12312, 342
32, 114, 5054, 6650, 418, 154432, 12274, 304
33, 114, 5054, 6688, 456, 228912, 12312, 304
34, 114, 5016, 6726, 456, 154508, 12312, 342
35, 76, 5054, 6688, 456, 216486, 12236, 342
36, 114, 5814, 7714, 494, 160436, 12236, 342
37, 114, 5054, 6650, 456, 154432, 12350, 342
38, 114, 5244, 6726, 418, 154166, 12236, 342
39, 76, 5092, 6612, 456, 154204, 12236, 342
40, 114, 5016, 6688, 456, 227012, 12350, 304
41, 76, 5130, 6688, 456, 154128, 12350, 304
42, 114, 5054, 6688, 456, 212800, 12350, 342
43, 114, 5054, 6688, 456, 154166, 12312, 342
44, 114, 5054, 6650, 456, 229444, 12312, 342
45, 114, 5054, 6688, 456, 154470, 12274, 342
46, 76, 5054, 6650, 418, 154128, 12274, 342
47, 114, 5168, 6688, 456, 154204, 12274, 342
48, 114, 5054, 6688, 418, 154242, 12274, 342
49, 114, 5016, 6688, 418, 227506, 12274, 304
50, 114, 5054, 6574, 456, 153368, 12160, 342
51, 114, 5016, 6612, 456, 246240, 12236, 342
52, 114, 5016, 6688, 456, 153634, 12160, 304
53, 114, 4978, 6650, 456, 214434, 12426, 304
54, 114, 5054, 6650, 456, 153634, 12236, 342
55, 76, 5054, 6650, 456, 153292, 12236, 304
56, 76, 5168, 6650, 456, 153444, 12160, 304
57, 114, 5016, 6612, 456, 153368, 12198, 304
58, 76, 5016, 6612, 418, 214434, 12236, 304
59, 114, 5016, 6612, 418, 153482, 12236, 304
60, 114, 5016, 6612, 456, 218614, 12236, 304
61, 114, 4978, 6612, 456, 153292, 12160, 342
62, 114, 5016, 6612, 456, 159486, 6992, 190
63, 38, 2888, 3800, 228, 87628, 7030, 152
64, 76, 2850, 3800, 228, 87476, 6992, 190
65, 76, 2964, 3838, 266, 87742, 6992, 190
66, 38, 2888, 3762, 228, 87856, 6954, 190
67, 38, 2888, 3762, 266, 141550, 6992, 190
68, 38, 2926, 3800, 266, 87628, 6992, 190
69, 76, 2850, 3762, 266, 135660, 6954, 190
70, 38, 2888, 3838, 228, 87742, 6992, 152
71, 38, 2850, 3800, 266, 137446, 6954, 190
72, 76, 2850, 3800, 266, 87590, 6954, 190
73, 38, 2850, 3800, 228, 88426, 6954, 190
74, 76, 2926, 3838, 228, 87590, 6992, 190
75, 76, 2888, 3762, 266, 87742, 6992, 190
76, 38, 2888, 3800, 266, 133836, 6992, 152
77, 38, 2850, 3800, 228, 87742, 6954, 190
78, 38, 2888, 3800, 228, 142310, 6992, 190
79, 76, 2850, 3838, 266, 87780, 6954, 190
80, 76, 2850, 3800, 266, 132126, 6992, 190
81, 38, 2850, 3838, 228, 87742, 6992, 152
82, 76, 2850, 3762, 228, 87628, 6954, 190
83, 38, 2964, 3800, 228, 87742, 6954, 190
84, 76, 2850, 3762, 228, 87628, 6954, 190
85, 76, 2850, 3800, 266, 138510, 7030, 152
86, 76, 2850, 3800, 228, 87666, 6954, 152
87, 76, 2850, 3838, 228, 136420, 6992, 190
88, 76, 2850, 3838, 228, 101194, 8854, 228
89, 38, 2888, 3838, 304, 149720, 7068, 190
90, 76, 2888, 3914, 266, 88920, 7106, 190
91, 38, 2926, 3838, 228, 88388, 7068, 190
92, 38, 3002, 3876, 228, 88426, 6992, 190
93, 76, 2888, 3838, 228, 88312, 7030, 190
94, 76, 2888, 3800, 266, 138662, 7068, 190
95, 38, 2926, 3762, 266, 88274, 7030, 190
96, 76, 2888, 3800, 266, 143944, 7068, 190
97, 76, 2888, 3800, 266, 88388, 7030, 190
98, 76, 2888, 3800, 228, 132278, 7068, 190
99, 76, 2888, 3876, 228, 88502, 7030, 190
100, 38, 2888, 3838, 228, 88350, 7030, 190
101, 76, 2964, 3838, 266, 88464, 7030, 190
102, 76, 2888, 3800, 228, 88312, 7030, 190
103, 76, 2888, 3800, 266, 135394, 7030, 190
104, 76, 2888, 3838, 228, 88388, 7068, 190
105, 38, 2926, 3838, 228, 138472, 7068, 152
106, 76, 2888, 3838, 266, 88350, 7030, 190
107, 76, 2888, 3800, 266, 141740, 7068, 190
108, 76, 2888, 3838, 228, 88388, 7030, 152
109, 38, 2926, 3800, 266, 88122, 7030, 190
110, 76, 2964, 3876, 228, 97432, 6992, 152
111, 38, 2888, 3800, 266, 87666, 6992, 190
112, 76, 2888, 3762, 266, 137446, 7030, 190
113, 76, 2888, 3762, 228, 87780, 6992, 190
114, 76, 2888, 3800, 228, 131594, 7068, 190
115, 38, 2888, 3876, 228, 87856, 6992, 190
116, 76, 2888, 3762, 266, 136534, 7030, 152
117, 76, 2888, 3838, 228, 87932, 6992, 190
118, 38, 2926, 3800, 228, 87894, 6992, 190
119, 76, 2964, 3800, 228, 87932, 7030, 152
120, 76, 2888, 3800, 266, 87856, 6992, 152
121, 38, 2888, 3762, 266, 131594, 6992, 190
122, 76, 2888, 3838, 266, 88692, 7030, 152
123, 76, 2888, 3762, 266, 140524, 7030, 190
124, 76, 2850, 3838, 228, 87742, 6992, 190
125, 38, 2888, 3800, 228, 134216, 6992, 190
126, 38, 2888, 3838, 266, 87780, 6992, 190
127, 76, 2850, 3800, 228, 87818, 7030, 190
128, 38, 3002, 3762, 266, 87818, 6992, 190
129, 76, 2888, 3800, 228, 87704, 7030, 190
130, 38, 2888, 3800, 266, 139612, 7144, 190
131, 76, 2850, 3838, 228, 87704, 7030, 190
132, 76, 2888, 3800, 228, 134368, 7030, 190
133, 38, 2888, 3800, 266, 87818, 7030, 152
134, 76, 2888, 3762, 266, 148998, 7068, 190
135, 76, 2888, 3876, 228, 88236, 7068, 190
136, 38, 2926, 3800, 228, 88198, 7068, 190
137, 76, 2926, 3800, 266, 88350, 7030, 190
138, 38, 2888, 3800, 266, 88198, 7030, 190
139, 76, 2888, 3800, 228, 138472, 7068, 190
140, 38, 2926, 3762, 266, 88236, 7030, 190
141, 76, 2888, 3800, 266, 137142, 7068, 190
142, 76, 2888, 3876, 228, 88350, 7030, 190
143, 76, 2888, 3838, 228, 133380, 7068, 152
144, 38, 2888, 3838, 266, 88350, 7030, 190
145, 38, 2926, 3800, 228, 88198, 7068, 190
146, 38, 2964, 3876, 228, 88084, 7030, 190
147, 76, 2888, 3838, 266, 88236, 7068, 190
148, 38, 2888, 3838, 266, 133152, 7144, 190
149, 76, 2888, 3800, 266, 88122, 7068, 190
150, 38, 2888, 3800, 266, 142576, 7296, 190
151, 76, 2888, 3838, 228, 88350, 7068, 190
152, 76, 2888, 3838, 266, 140904, 7068, 190
153, 38, 2888, 3838, 228, 88198, 7068, 152
154, 76, 2888, 3800, 266, 88084, 7068, 190
155, 38, 2964, 3838, 266, 88122, 7030, 190
156, 38, 2926, 3800, 266, 88198, 7068, 152
157, 76, 2850, 3800, 228, 144362, 8930, 228
158, 76, 3610, 4750, 342, 94886, 7068, 190
159, 76, 2888, 3838, 228, 131746, 7106, 190
160, 76, 2888, 3876, 266, 88312, 7068, 152
161, 76, 2888, 3800, 266, 139954, 7068, 190
162, 38, 2926, 3876, 228, 88198, 7068, 152
163, 38, 2926, 3800, 228, 88198, 7030, 190
164, 38, 3002, 3838, 228, 88274, 7030, 190
165, 38, 2926, 3800, 266, 88160, 7030, 190
166, 76, 2926, 3838, 266, 131404, 7068, 190
167, 76, 2926, 3800, 228, 88160, 7068, 152
168, 38, 2888, 3800, 266, 140334, 7068, 190
169, 76, 2888, 3838, 266, 88312, 7030, 190
170, 38, 2926, 3800, 266, 138206, 7068, 190
171, 76, 2888, 3838, 228, 88198, 7068, 190
172, 38, 2888, 3838, 228, 88122, 7106, 190
173, 38, 2964, 3876, 266, 88426, 7030, 190
174, 76, 2888, 3800, 266, 88198, 7030, 190
175, 38, 2888, 3800, 266, 139764, 7030, 190
176, 76, 2888, 3800, 266, 88236, 7068, 190
177, 38, 2926, 3800, 266, 132392, 7068, 190
178, 76, 2888, 3838, 266, 88388, 7258, 190
179, 76, 2888, 3838, 228, 136154, 7068, 190
180, 38, 3382, 4522, 266, 97128, 6954, 190
181, 38, 2888, 3800, 228, 87628, 7030, 190
182, 76, 2926, 3800, 266, 87590, 6992, 152
183, 76, 2850, 3800, 266, 87628, 7030, 152
184, 76, 2888, 3800, 228, 138092, 7030, 190
185, 38, 2926, 3800, 228, 88312, 7030, 190
186, 38, 2888, 3800, 228, 139840, 7106, 152
187, 76, 2888, 3800, 266, 87932, 7144, 190
188, 38, 2888, 3800, 228, 133722, 7030, 190
189, 38, 2888, 3838, 228, 87932, 7068, 190
190, 38, 2926, 3800, 228, 87856, 7030, 190
191, 38, 2964, 3876, 228, 87742, 7030, 152
192, 38, 2888, 3838, 228, 87818, 7030, 190
193, 38, 2926, 3800, 266, 131290, 7030, 190
194, 38, 2888, 3838, 228, 88046, 7068, 190
195, 76, 2888, 3800, 228, 138700, 7030, 190
196, 76, 2888, 3838, 228, 87894, 7030, 190
197, 38, 2926, 3800, 266, 136838, 7068, 190
198, 76, 2888, 3800, 266, 88046, 7030, 190
199, 38, 2888, 3800, 228, 87894, 7030, 152
200, 76, 2926, 3914, 228, 87894, 7030, 152
201, 76, 2888, 3800, 228, 87970, 7068, 190
202, 76, 2888, 3762, 266, 140220, 7258, 152
203, 38, 2926, 3800, 266, 88008, 7068, 152
204, 76, 2888, 3800, 266, 132658, 7030, 190
205, 38, 2926, 3838, 266, 88046, 7030, 190
206, 76, 2888, 3762, 266, 140106, 6992, 190
