# trial, us for 1000 calls
0, 28414
1, 26044
2, 26563
3, 24587
4, 24578
5, 25689
6, 25318
7, 25797
8, 25205
9, 25474
10, 25069
11, 29432
12, 32419
13, 31279
14, 24638
15, 30157
16, 28271
17, 26141
18, 27793
19, 27300
20, 31422
21, 30808
22, 30538
23, 29492
24, 28636
25, 31788
26, 31773
27, 31788
28, 31312
29, 28904
30, 28334
31, 24625
32, 25585
33, 25040
34, 28122
35, 29546
36, 26123
37, 25012
38, 27091
39, 28117
40, 30842
41, 33235
42, 31400
43, 30918
44, 30772
45, 32970
46, 27645
47, 28217
48, 31579
49, 27507
50, 26151
51, 24586
52, 28319
53, 29409
54, 27287
55, 30244
56, 30963
57, 30986
58, 27203
59, 28125
60, 28806
61, 28445
62, 30349
63, 32028
64, 32632
65, 31202
66, 30652
67, 25000
68, 26359
69, 31876
70, 31424
71, 31500
72, 27572
73, 28254
74, 30445
75, 31818
76, 30873
77, 30945
78, 29184
79, 32700
80, 30739
81, 24972
82, 31204
83, 29122
84, 25061
85, 25489
86, 26470
87, 26368
88, 31317
89, 31231
90, 28626
91, 31448
92, 31484
93, 31370
94, 32743
95, 27042
96, 30867
97, 26430
98, 28480
99, 26313
