# trial, us for 1000 calls
0, 92846
1, 95978
2, 100054
3, 101946
4, 95413
5, 98224
6, 95804
7, 105395
8, 103030
9, 94668
10, 102806
11, 105424
12, 96354
13, 95259
14, 95113
15, 102414
16, 97658
17, 97331
18, 97544
19, 96452
20, 94693
21, 98266
22, 98349
23, 94265
24, 102455
25, 95408
26, 97970
27, 99555
28, 98542
29, 97181
30, 104092
31, 101023
32, 104924
33, 104991
34, 98750
35, 103665
36, 97877
37, 100959
38, 97769
39, 94924
40, 101325
41, 102643
42, 97339
43, 94368
44, 100937
45, 100936
46, 102334
47, 102972
48, 98817
49, 99016
50, 99611
51, 99700
52, 104447
53, 101199
54, 99373
55, 99721
56, 98770
57, 95988
58, 98557
59, 103362
60, 98995
61, 101944
62, 100723
63, 99555
64, 101599
65, 93374
66, 100395
67, 93774
68, 95929
69, 97452
70, 95696
71, 93757
72, 102782
73, 98421
74, 98236
75, 99937
76, 95728
77, 94929
78, 103295
79, 102344
80, 102070
81, 103920
82, 101061
83, 97238
84, 99775
85, 98503
86, 99082
87, 104810
88, 95715
89, 93795
90, 95971
91, 96477
92, 98324
93, 99982
94, 94628
95, 101157
96, 96958
97, 97287
98, 97757
99, 99527
