# trial, latency
0,1977
1,520
2,525
3,506
4,521
5,502
6,528
7,504
8,527
9,503
10,505
11,520
12,502
13,524
14,510
15,521
16,503
17,519
18,501
19,508
20,521
21,503
22,520
23,501
24,519
25,503
26,526
27,506
28,503
29,520
30,506
31,523
32,509
33,542
34,503
35,519
36,503
37,503
38,519
39,506
40,518
41,502
42,518
43,503
44,519
45,508
46,504
47,519
48,505
49,518
50,505
51,525
52,509
53,518
54,503
55,502
56,519
57,503
58,525
59,510
60,518
61,501
62,521
63,508
64,513
65,528
66,502
67,519
68,501
69,516
70,510
71,531
72,506
73,503
74,516
75,504
76,522
77,502
78,530
79,503
80,528
81,502
82,503
83,519
84,567
85,511
86,501
87,510
88,502
89,518
90,509
91,515
92,510
93,503
94,522
95,504
96,512
97,511
98,511
99,503
