# trial, latency
0,2599
1,184
2,171
3,168
4,165
5,164
6,163
7,164
8,163
9,167
10,162
11,162
12,162
13,161
14,161
15,162
16,161
17,161
18,167
19,159
20,159
21,165
22,159
23,160
24,160
25,159
26,159
27,159
28,159
29,159
30,159
31,159
32,160
33,160
34,160
35,160
36,160
37,160
38,163
39,161
40,159
41,159
42,160
43,160
44,160
45,160
46,165
47,159
48,159
49,160
50,160
51,160
52,160
53,159
54,159
55,159
56,159
57,160
58,161
59,165
60,160
61,159
62,159
63,164
64,161
65,164
66,160
67,160
68,160
69,164
70,160
71,159
72,159
73,159
74,160
75,159
76,160
77,160
78,159
79,159
80,184
81,162
82,159
83,164
84,159
85,160
86,159
87,160
88,159
89,159
90,160
91,160
92,159
93,158
94,159
95,159
96,159
97,160
98,160
99,159
