# trial, latency (cycles)
0, 578474
1, 372210
2, 436430
3, 367878
4, 438938
5, 367954
6, 432136
7, 337212
8, 383192
9, 322050
10, 321670
11, 384180
12, 322202
13, 389576
14, 321822
15, 391780
16, 322354
17, 389272
18, 322012
19, 321442
20, 391286
21, 350436
22, 386726
23, 322240
24, 383458
25, 321670
26, 385016
27, 321936
28, 321670
29, 385092
30, 322278
31, 382812
32, 321822
33, 386954
34, 322126
35, 384484
36, 322316
37, 322164
38, 390754
39, 321860
40, 386878
41, 321860
42, 383192
43, 321936
44, 387752
45, 334286
46, 321708
47, 385738
48, 322012
49, 383268
50, 322316
51, 388284
52, 322126
53, 384256
54, 323266
55, 233358
56, 230394
57, 184224
58, 231306
59, 184186
60, 236512
61, 184072
62, 231458
63, 184414
64, 184110
65, 231496
66, 183996
67, 235638
68, 184300
69, 230090
70, 184300
71, 232636
72, 184338
73, 183920
74, 232636
75, 184034
76, 232484
77, 183996
78, 232902
79, 184186
80, 233396
81, 184224
82, 184034
83, 243048
84, 183920
85, 232902
86, 184034
87, 232826
88, 200602
89, 230242
90, 184186
91, 184072
92, 231078
93, 183996
94, 230394
95, 184148
96, 232104
97, 184224
98, 231002
99, 184414
100, 183920
101, 236056
102, 184034
103, 238982
104, 184072
105, 234384
106, 184148
107, 232826
108, 193420
109, 184186
110, 233434
111, 183882
112, 234954
113, 183882
114, 234156
115, 184034
116, 235790
117, 183882
118, 183920
119, 235486
120, 183920
121, 237994
122, 183958
123, 235904
124, 184338
125, 247076
126, 184110
127, 183958
128, 234726
129, 183920
130, 234346
131, 183882
132, 248102
133, 183958
134, 237804
135, 183920
136, 184034
137, 245366
138, 183996
139, 238108
140, 183920
141, 235904
142, 184148
143, 234878
144, 184072
145, 183806
146, 235144
147, 183882
148, 239172
149, 183806
150, 234992
151, 183996
152, 235676
153, 183958
154, 199728
155, 233244
156, 183882
157, 236930
158, 183958
159, 234650
160, 183996
161, 235942
162, 184072
163, 192242
164, 237538
165, 183996
166, 233434
167, 184034
168, 235410
169, 184224
170, 239058
171, 184034
172, 183958
173, 234232
174, 184110
175, 235562
176, 183920
177, 237234
178, 183958
179, 233092
180, 184224
181, 184034
182, 237652
183, 183768
184, 231458
185, 183958
186, 234650
187, 184072
188, 253498
189, 184186
190, 183844
191, 236474
192, 183920
193, 239590
194, 183958
195, 236056
196, 184224
197, 233852
198, 183920
199, 183958
200, 235144
201, 184110
202, 235714
203, 183958
204, 232902
205, 184110
206, 238716
207, 184224
208, 183958
209, 252168
210, 183958
211, 245328
212, 184148
213, 272042
214, 184262
215, 247608
216, 184300
217, 184148
218, 273296
219, 184490
220, 246848
221, 184300
222, 234726
223, 184338
224, 248216
225, 184148
226, 184300
227, 237804
228, 184034
229, 249394
230, 183920
231, 241908
232, 184452
233, 232484
234, 184262
235, 184072
236, 248178
237, 204402
238, 232598
239, 184034
240, 245214
241, 184110
242, 242440
243, 184338
244, 184300
245, 235106
246, 184148
247, 242440
248, 184072
249, 233624
250, 184338
251, 240274
252, 184110
253, 184186
254, 241072
255, 184300
256, 239020
257, 184110
258, 242440
259, 184490
260, 238868
261, 184110
262, 184034
263, 247456
264, 183996
265, 232142
266, 183958
267, 241490
268, 184148
269, 236930
270, 184034
271, 184072
272, 243922
273, 184148
274, 248824
275, 184072
276, 232256
277, 184072
278, 242440
279, 184072
280, 183996
281, 234118
282, 183920
283, 229558
284, 184110
285, 240578
286, 184034
287, 232180
288, 184034
289, 183844
290, 235942
291, 184034
292, 239134
293, 184186
294, 234764
295, 184110
296, 236132
297, 183996
298, 183958
299, 241186
300, 184186
301, 238678
302, 183920
303, 235714
304, 184338
305, 231648
306, 184376
307, 183996
308, 237766
309, 184300
310, 232940
311, 183958
312, 240806
313, 184034
314, 237576
315, 184262
316, 184110
317, 237424
318, 184034
319, 247760
320, 184148
321, 230052
322, 184148
323, 236968
324, 184376
325, 184034
326, 240350
327, 195586
328, 230432
329, 184452
330, 238450
331, 184110
332, 230318
333, 184148
334, 183996
335, 239096
