# trial, latency (cycles)
0, 738758
1, 574750
2, 561488
3, 548150
4, 531164
5, 528352
6, 331436
7, 324672
8, 327636
9, 316806
10, 323798
11, 318288
12, 309890
13, 307116
14, 308788
15, 311410
16, 309852
17, 388778
18, 512620
19, 507908
20, 503310
21, 505438
22, 500840
23, 502968
24, 543894
25, 327218
26, 323912
27, 326534
28, 311942
29, 311524
30, 314868
31, 319770
32, 313348
33, 313158
34, 313614
35, 317946
36, 313120
37, 313576
38, 316958
39, 321822
40, 313272
41, 311410
42, 318820
43, 313652
44, 312436
45, 310118
46, 314830
47, 308978
48, 315362
49, 308674
50, 312930
51, 318972
52, 315552
53, 312702
54, 316920
55, 317794
56, 314260
57, 309890
58, 313538
59, 313538
60, 316920
61, 310726
62, 318250
63, 3089362
64, 910214
65, 775808
66, 751374
67, 982870
68, 669978
69, 428602
70, 442054
71, 426588
72, 418646
73, 426702
74, 439546
75, 443650
76, 443612
77, 684380
78, 600514
79, 563958
80, 641478
81, 558030
82, 548378
83, 524514
84, 431794
85, 428336
86, 447868
87, 437836
88, 443612
89, 429476
90, 437836
91, 431718
92, 453530
93, 432668
94, 441332
95, 429666
96, 434454
97, 437114
98, 449920
99, 427614
100, 426360
101, 431072
102, 431414
103, 440458
104, 436696
105, 425752
106, 437190
107, 426550
108, 455468
109, 433390
110, 442738
111, 427348
112, 438102
113, 423282
114, 434492
115, 426284
116, 433466
117, 436430
118, 449958
119, 440572
120, 432478
121, 432934
122, 438748
123, 425486
124, 434036
125, 434492
126, 432554
127, 438748
128, 450186
129, 434340
130, 436582
131, 429476
132, 438938
133, 434340
134, 422712
135, 426930
136, 445056
137, 451554
138, 472226
139, 424954
140, 435936
141, 438216
142, 425220
143, 433846
144, 429742
145, 430996
146, 427576
147, 448286
148, 440800
149, 453948
150, 420888
151, 436012
152, 448552
153, 456114
154, 425030
155, 432212
156, 438558
157, 436392
158, 438710
159, 441446
160, 427842
161, 449350
162, 428944
163, 418000
164, 438862
165, 439356
166, 441484
167, 441712
168, 429856
169, 434948
170, 434758
171, 424574
172, 433200
173, 440496
174, 423434
175, 442548
176, 437228
177, 433010
178, 427652
179, 442510
180, 449540
181, 431072
182, 421876
183, 436468
184, 436468
185, 437380
186, 426512
187, 423282
188, 438140
189, 429666
190, 432858
191, 436050
192, 442282
193, 425334
194, 422940
195, 436392
196, 458128
197, 430540
198, 426702
199, 437114
200, 447450
201, 429400
202, 422066
203, 436810
204, 445436
205, 441256
206, 430692
207, 423700
208, 440762
209, 426436
210, 435670
211, 442662
212, 447716
213, 431110
214, 429894
215, 429134
216, 440876
217, 425676
218, 431034
219, 433998
220, 443574
221, 730018
222, 651662
223, 480168
224, 494494
225, 460978
226, 428336
227, 423776
228, 465614
229, 443232
230, 429362
231, 455012
232, 456532
233, 440458
234, 428488
235, 449692
236, 444904
237, 446766
238, 443384
239, 453948
240, 434986
241, 443802
242, 435784
243, 445436
244, 430578
245, 436886
246, 450528
247, 440420
248, 433770
249, 452846
250, 436810
251, 448628
252, 431642
253, 454556
254, 437608
255, 460332
256, 432440
257, 441104
258, 436202
259, 434720
260, 439090
261, 438596
262, 429856
263, 448932
264, 434758
265, 434036
266, 435936
267, 436582
268, 440268
269, 437646
270, 449844
271, 462574
272, 424080
273, 431300
274, 424878
275, 441560
276, 431718
277, 456684
278, 419558
279, 447412
280, 449160
281, 449274
282, 442206
283, 424346
284, 446272
285, 439584
286, 447412
287, 445854
288, 445550
289, 439242
290, 440496
291, 450452
292, 432288
293, 441104
294, 454404
295, 436886
296, 432972
297, 431946
298, 462308
299, 432136
300, 426892
301, 461092
302, 439470
303, 441940
304, 426436
305, 452314
306, 444410
307, 435404
308, 443536
309, 453188
310, 444220
311, 438710
312, 444942
313, 445968
314, 440610
315, 440382
316, 443346
317, 440762
318, 439394
319, 438140
320, 436088
321, 442700
322, 458090
323, 431224
324, 428260
325, 433922
326, 436582
327, 439090
328, 424498
329, 450528
