# trial, latency (cycles)
0, 1524598
1, 1537784
2, 1411282
3, 1351660
4, 1261600
5, 1328898
6, 1217786
7, 1283830
8, 1528398
9, 1332318
10, 1401782
11, 1598280
12, 1398818
13, 1410788
14, 1363288
15, 1370356
16, 1446356
17, 1360096
18, 1558380
19, 1432524
20, 1530222
21, 1456122
22, 1503432
23, 1517036
24, 1559824
25, 1516048
26, 1617660
27, 1497390
28, 1473602
29, 1388026
30, 1458212
31, 1509664
32, 1585740
33, 1543028
34, 1567728
35, 1433170
36, 1477022
37, 1740514
38, 1398362
39, 1648858
40, 1509930
41, 1448560
42, 2001194
43, 1473184
44, 1862608
45, 1856300
46, 1950692
47, 1099416
48, 1552148
49, 1446584
50, 1507080
51, 1474932
52, 1580952
53, 1639624
54, 1435906
55, 1780490
56, 1663184
57, 1415690
58, 1881988
59, 1937810
60, 1416868
61, 1849004
62, 1608350
63, 1505294
64, 1524104
65, 1493172
66, 1505180
67, 1630770
68, 1202168
69, 1495832
70, 1438604
71, 1558988
72, 1401934
73, 1554238
74, 1670936
75, 1802796
76, 1476984
77, 1480974
78, 1620320
79, 1469460
80, 1525966
81, 1489866
82, 1571908
83, 1680284
84, 1470828
85, 1413524
86, 1404708
87, 1445634
88, 1386658
89, 1453500
90, 1426824
91, 1399578
92, 1424886
93, 1353636
94, 1339006
95, 1419756
96, 1696434
97, 1239256
98, 1524940
99, 1608578
