# trial, bytes, microseconds
0, 32, 1097.327026
1, 32, 963.215027
2, 32, 935.280029
3, 32, 926.005005
4, 32, 894.729980
5, 32, 952.632996
6, 32, 921.405029
7, 32, 909.874023
8, 32, 717.749023
9, 32, 688.804993
0, 64, 682.932983
1, 64, 687.114014
2, 64, 704.072998
3, 64, 722.344971
4, 64, 683.487000
5, 64, 669.306030
6, 64, 672.581970
7, 64, 535.429016
8, 64, 526.429016
9, 64, 558.395020
0, 128, 530.846985
1, 128, 559.833984
2, 128, 556.854980
3, 128, 582.705994
4, 128, 541.129028
5, 128, 544.323975
6, 128, 543.731018
7, 128, 531.752991
8, 128, 459.820007
9, 128, 442.188995
0, 256, 449.373993
1, 256, 464.006989
2, 256, 434.899994
3, 256, 472.916992
4, 256, 410.824005
5, 256, 412.747009
6, 256, 403.682007
7, 256, 406.424011
8, 256, 409.455994
9, 256, 424.130005
0, 512, 416.851990
1, 512, 419.348999
2, 512, 409.903015
3, 512, 389.940002
4, 512, 382.428986
5, 512, 378.122009
6, 512, 391.385010
7, 512, 414.341003
8, 512, 397.341003
9, 512, 419.940002
0, 1024, 396.209015
1, 1024, 401.694000
2, 1024, 405.420990
3, 1024, 393.709015
4, 1024, 397.027008
5, 1024, 393.643005
6, 1024, 418.257996
7, 1024, 406.401001
8, 1024, 434.872986
9, 1024, 381.115997
0, 2048, 385.442993
1, 2048, 384.671997
2, 2048, 385.708008
3, 2048, 377.856995
4, 2048, 398.315002
5, 2048, 412.997009
6, 2048, 396.147003
7, 2048, 392.994995
8, 2048, 390.186005
9, 2048, 382.746002
0, 4096, 392.735992
1, 4096, 394.128998
2, 4096, 402.979004
3, 4096, 398.101013
4, 4096, 386.704010
5, 4096, 393.839996
6, 4096, 394.454987
7, 4096, 506.596985
8, 4096, 390.214996
9, 4096, 388.453003
0, 8192, 387.411987
1, 8192, 374.016998
2, 8192, 369.061005
3, 8192, 375.984985
4, 8192, 393.697998
5, 8192, 382.898010
6, 8192, 393.040009
7, 8192, 379.812988
8, 8192, 397.381012
9, 8192, 386.342010
0, 16384, 395.135986
1, 16384, 389.627991
2, 16384, 383.105011
3, 16384, 385.329987
4, 16384, 389.690002
5, 16384, 386.259003
6, 16384, 394.001007
7, 16384, 388.154999
8, 16384, 398.079987
9, 16384, 387.535004
0, 32768, 394.640015
1, 32768, 389.908997
2, 32768, 393.559998
3, 32768, 392.105988
4, 32768, 401.432007
5, 32768, 396.727997
6, 32768, 392.097992
7, 32768, 394.747009
8, 32768, 390.011993
9, 32768, 392.125000
0, 65536, 435.687988
1, 65536, 405.760986
2, 65536, 393.751007
3, 65536, 403.744995
4, 65536, 398.871002
5, 65536, 391.183014
6, 65536, 409.743988
7, 65536, 402.536987
8, 65536, 392.303986
9, 65536, 394.371002
0, 131072, 482.164001
1, 131072, 425.223999
2, 131072, 439.437988
3, 131072, 430.029999
4, 131072, 432.276001
5, 131072, 426.321014
6, 131072, 432.908997
7, 131072, 435.083008
8, 131072, 556.515015
9, 131072, 424.602997
0, 262144, 520.718018
1, 262144, 476.631012
2, 262144, 467.729004
3, 262144, 485.071014
4, 262144, 470.001007
5, 262144, 475.395996
6, 262144, 471.871002
7, 262144, 487.605988
8, 262144, 467.227997
9, 262144, 469.509003
0, 524288, 679.213989
1, 524288, 572.505981
2, 524288, 571.750977
3, 524288, 569.682983
4, 524288, 569.361023
5, 524288, 568.065979
6, 524288, 571.372009
7, 524288, 573.906006
8, 524288, 564.411987
9, 524288, 796.307007
0, 1048576, 974.447998
1, 1048576, 775.060974
2, 1048576, 773.783020
3, 1048576, 761.112976
4, 1048576, 760.362976
5, 1048576, 756.679016
6, 1048576, 765.335022
7, 1048576, 760.927002
8, 1048576, 762.833984
9, 1048576, 764.393982
0, 2097152, 1579.461060
1, 2097152, 1190.340942
2, 2097152, 1146.995972
3, 2097152, 1142.727051
4, 2097152, 1131.644043
5, 2097152, 1139.819946
6, 2097152, 1148.996948
7, 2097152, 1150.224976
8, 2097152, 1140.776001
9, 2097152, 1141.637939
0, 4194304, 2793.797119
1, 4194304, 2041.808960
2, 4194304, 1987.840942
3, 4194304, 1990.572021
4, 4194304, 1949.136963
5, 4194304, 1941.666992
6, 4194304, 1933.055054
7, 4194304, 1951.779053
8, 4194304, 1927.479980
9, 4194304, 1910.218018
0, 8388608, 4839.569824
1, 8388608, 3716.988037
2, 8388608, 3494.030029
3, 8388608, 3454.509033
4, 8388608, 3436.766113
5, 8388608, 3422.460938
6, 8388608, 3407.864990
7, 8388608, 3419.183105
8, 8388608, 3436.664062
9, 8388608, 3434.656006
0, 16777216, 9658.915039
1, 16777216, 18835.267578
2, 16777216, 12099.719727
3, 16777216, 8465.883789
4, 16777216, 7157.858887
5, 16777216, 7165.111816
6, 16777216, 6999.793945
7, 16777216, 7045.434082
8, 16777216, 7017.183105
9, 16777216, 7036.746094
