# trial, microseconds
0, 215
1, 97
2, 90
3, 90
4, 89
5, 88
6, 88
7, 86
8, 88
9, 88
10, 88
11, 89
12, 88
13, 88
14, 88
15, 88
16, 88
17, 88
18, 89
19, 102
20, 91
21, 88
22, 88
23, 87
24, 87
25, 89
26, 88
27, 88
28, 88
29, 88
30, 88
31, 88
32, 87
33, 87
34, 88
35, 88
36, 88
37, 89
38, 87
39, 88
40, 88
41, 88
42, 88
43, 88
44, 88
45, 94
46, 89
47, 89
48, 87
49, 88
50, 88
51, 87
52, 88
53, 89
54, 88
55, 87
56, 86
57, 88
58, 89
59, 89
60, 88
61, 88
62, 88
63, 88
64, 87
65, 88
66, 87
67, 88
68, 87
69, 87
70, 88
71, 88
72, 90
73, 87
74, 87
75, 88
76, 88
77, 88
78, 86
79, 87
80, 88
81, 87
82, 87
83, 87
84, 87
85, 88
86, 88
87, 88
88, 88
89, 88
90, 88
91, 87
92, 87
93, 87
94, 87
95, 86
96, 87
97, 88
98, 89
99, 87
100, 88
101, 88
102, 88
103, 88
104, 88
105, 88
106, 88
107, 88
108, 88
109, 87
110, 87
111, 88
112, 88
113, 88
114, 88
115, 87
116, 88
117, 87
118, 87
119, 87
120, 87
121, 87
122, 88
123, 88
124, 94
125, 86
126, 86
127, 85
128, 86
129, 87
130, 85
131, 86
132, 85
133, 85
134, 85
135, 85
136, 86
137, 86
138, 86
139, 86
140, 85
141, 85
142, 86
143, 85
144, 86
145, 86
146, 86
147, 86
148, 85
149, 85
150, 86
151, 85
152, 93
153, 86
154, 86
155, 85
156, 85
157, 86
158, 86
159, 85
160, 85
161, 86
162, 85
163, 85
164, 85
165, 85
166, 85
167, 84
168, 85
169, 85
170, 85
171, 86
172, 87
173, 85
174, 86
175, 87
176, 86
177, 85
178, 86
179, 85
180, 85
181, 91
182, 86
183, 85
184, 86
185, 86
186, 85
187, 85
188, 85
189, 85
190, 85
191, 85
192, 91
193, 79
194, 79
195, 78
196, 79
197, 78
198, 78
199, 79
200, 78
201, 78
202, 77
203, 79
204, 78
205, 78
206, 78
207, 78
208, 78
209, 79
210, 78
211, 85
212, 79
213, 79
214, 79
215, 78
216, 78
217, 78
218, 78
219, 79
220, 78
221, 79
222, 78
223, 77
224, 80
225, 79
226, 79
227, 78
228, 78
229, 79
230, 78
231, 78
232, 85
233, 78
234, 78
235, 78
236, 79
237, 79
238, 79
239, 78
240, 79
241, 79
242, 79
243, 82
244, 79
245, 80
246, 79
247, 78
248, 84
249, 79
250, 78
251, 76
252, 79
253, 78
254, 78
255, 77
256, 78
257, 79
258, 78
259, 78
260, 78
261, 78
262, 77
263, 79
264, 86
265, 78
266, 78
267, 78
268, 79
269, 78
270, 79
271, 79
272, 87
273, 67
274, 92
275, 72
276, 71
277, 71
278, 74
279, 71
280, 72
281, 71
282, 72
283, 71
284, 72
285, 70
286, 71
287, 70
288, 70
289, 67
290, 70
291, 70
292, 67
293, 73
294, 66
295, 72
296, 70
297, 71
298, 71
299, 70
300, 66
301, 66
302, 66
303, 67
304, 71
305, 71
306, 70
307, 66
308, 71
309, 70
310, 76
311, 72
312, 70
313, 71
314, 70
315, 73
316, 71
317, 67
318, 70
319, 71
320, 67
321, 71
322, 71
323, 70
324, 69
325, 73
326, 71
327, 71
328, 66
329, 70
330, 71
331, 71
332, 67
333, 72
334, 66
335, 67
336, 66
337, 71
338, 70
339, 71
340, 67
341, 66
342, 73
343, 70
344, 67
345, 72
346, 72
347, 70
348, 70
349, 70
350, 70
351, 67
352, 70
353, 71
354, 66
355, 66
356, 71
357, 72
358, 68
359, 71
360, 71
361, 71
362, 71
363, 70
364, 62
365, 61
366, 62
367, 63
368, 63
369, 63
370, 62
371, 62
372, 63
373, 62
374, 62
375, 62
376, 62
377, 63
378, 62
379, 62
380, 61
381, 63
382, 66
383, 63
384, 61
385, 67
386, 61
387, 62
388, 62
389, 62
390, 61
391, 62
392, 62
393, 62
394, 62
395, 61
396, 63
397, 62
398, 62
399, 62
400, 62
401, 61
402, 62
403, 62
404, 61
405, 62
406, 62
407, 61
408, 62
409, 62
410, 62
411, 61
412, 62
413, 66
414, 62
415, 61
416, 61
417, 62
418, 61
419, 61
420, 61
421, 61
422, 164
423, 68
424, 63
425, 62
426, 62
427, 61
428, 61
429, 62
430, 62
431, 62
432, 62
433, 62
434, 61
435, 62
436, 63
437, 61
438, 62
439, 62
440, 63
441, 62
442, 62
443, 61
444, 62
445, 62
446, 62
447, 62
448, 62
449, 62
450, 63
451, 61
452, 61
453, 61
454, 62
455, 62
456, 62
457, 61
458, 61
459, 62
460, 63
461, 72
462, 57
463, 58
464, 57
465, 57
466, 57
467, 57
468, 57
469, 58
470, 58
471, 58
472, 58
473, 58
474, 58
475, 57
476, 57
477, 57
478, 59
479, 58
480, 58
481, 58
482, 58
483, 57
484, 57
485, 58
486, 57
487, 57
488, 57
489, 57
490, 58
491, 57
492, 58
493, 57
494, 56
495, 58
496, 57
497, 57
498, 57
499, 57
500, 57
501, 58
502, 58
503, 57
504, 146
505, 60
506, 57
507, 57
508, 58
509, 57
510, 58
511, 57
512, 57
513, 58
514, 57
515, 58
516, 58
517, 57
518, 58
519, 57
520, 58
521, 58
522, 57
523, 57
524, 57
525, 58
526, 58
527, 57
528, 58
529, 58
530, 58
531, 58
532, 58
533, 58
534, 58
535, 58
536, 58
537, 57
538, 58
539, 58
540, 57
541, 58
542, 58
543, 57
544, 58
545, 58
546, 57
547, 63
548, 59
549, 58
550, 58
551, 58
552, 58
553, 58
554, 57
555, 58
556, 59
557, 58
558, 57
559, 57
560, 57
561, 57
562, 58
563, 56
564, 58
565, 58
566, 58
567, 54
568, 54
569, 54
570, 54
571, 53
572, 54
573, 54
574, 53
575, 53
576, 54
577, 53
578, 54
579, 54
580, 55
581, 54
582, 54
583, 54
584, 54
585, 54
586, 55
587, 54
588, 55
589, 54
590, 54
591, 53
592, 54
593, 56
594, 55
595, 54
596, 54
597, 54
598, 55
599, 54
600, 53
601, 53
602, 53
603, 54
604, 55
605, 54
606, 53
607, 54
608, 53
609, 54
610, 54
611, 54
612, 54
613, 53
614, 53
615, 54
616, 54
617, 54
618, 54
619, 54
620, 54
621, 54
622, 53
623, 53
624, 54
625, 55
626, 54
627, 53
628, 54
629, 53
630, 53
631, 54
632, 54
633, 53
634, 54
635, 53
636, 54
637, 54
638, 54
639, 56
640, 57
641, 55
642, 54
643, 55
644, 54
645, 53
646, 54
647, 53
648, 54
649, 53
650, 54
651, 53
652, 55
653, 54
654, 55
655, 54
656, 53
657, 54
658, 54
659, 53
660, 54
661, 54
662, 54
663, 53
664, 55
665, 54
666, 53
667, 55
668, 54
669, 53
670, 54
671, 54
672, 54
673, 54
674, 53
675, 54
676, 53
677, 54
678, 54
679, 54
680, 54
681, 53
682, 53
683, 54
684, 54
685, 54
686, 53
687, 114
688, 52
689, 52
690, 51
691, 51
692, 52
693, 52
694, 52
695, 51
696, 51
697, 50
698, 51
699, 50
700, 51
701, 52
702, 50
703, 51
704, 51
705, 51
706, 51
707, 51
708, 51
709, 56
710, 52
711, 51
712, 51
713, 51
714, 51
715, 51
716, 51
717, 51
718, 51
719, 51
720, 51
721, 50
722, 51
723, 51
724, 51
725, 51
726, 51
727, 51
728, 51
729, 50
730, 50
731, 51
732, 51
733, 50
734, 51
735, 51
736, 52
737, 55
738, 51
739, 51
740, 51
741, 50
742, 51
743, 52
744, 52
745, 51
746, 50
747, 51
748, 51
749, 51
750, 50
751, 51
752, 51
753, 51
754, 51
755, 51
756, 51
757, 51
758, 51
759, 51
760, 52
761, 51
762, 51
763, 50
764, 51
765, 50
766, 51
767, 50
768, 50
769, 52
770, 51
771, 50
772, 51
773, 51
774, 50
775, 50
776, 51
777, 52
778, 52
779, 51
780, 51
781, 51
782, 51
783, 51
784, 50
785, 51
786, 51
787, 51
788, 54
789, 51
790, 50
791, 51
792, 51
793, 50
794, 50
795, 51
796, 51
797, 51
798, 51
799, 51
800, 51
801, 50
802, 51
803, 51
804, 51
805, 52
806, 51
807, 51
808, 51
809, 51
810, 51
811, 47
812, 47
813, 46
814, 47
815, 47
816, 47
817, 46
818, 47
819, 48
820, 48
821, 48
822, 47
823, 47
824, 48
825, 47
826, 48
827, 47
828, 47
829, 47
830, 46
831, 47
832, 46
833, 52
834, 47
835, 47
836, 47
837, 47
838, 47
839, 47
840, 51
841, 48
842, 48
843, 47
844, 47
845, 47
846, 46
847, 47
848, 48
849, 47
850, 47
851, 47
852, 47
853, 47
854, 47
855, 46
856, 46
857, 62
858, 46
859, 45
860, 45
861, 46
862, 46
863, 46
864, 47
865, 45
866, 46
867, 45
868, 45
869, 45
870, 46
871, 46
872, 45
873, 46
874, 47
875, 45
876, 46
877, 45
878, 45
879, 46
880, 45
881, 46
882, 46
883, 46
884, 50
885, 46
886, 46
887, 46
888, 46
889, 45
890, 46
891, 46
892, 45
893, 46
894, 46
895, 107
896, 47
897, 46
898, 46
899, 47
900, 46
901, 46
902, 45
903, 46
904, 46
905, 46
906, 47
907, 45
908, 46
909, 46
910, 46
911, 46
912, 46
913, 45
914, 45
915, 46
916, 46
917, 46
918, 45
919, 46
920, 46
921, 45
922, 45
923, 45
924, 46
925, 45
926, 46
927, 46
928, 45
929, 46
930, 46
931, 45
932, 46
933, 45
934, 46
935, 46
936, 46
937, 46
938, 45
939, 46
940, 46
941, 47
942, 45
943, 45
944, 46
945, 47
946, 46
947, 46
948, 46
949, 46
950, 50
951, 47
952, 56
953, 43
954, 43
955, 42
956, 44
957, 42
958, 43
959, 42
960, 46
961, 42
962, 43
963, 42
964, 43
965, 43
966, 43
967, 42
968, 42
969, 42
970, 42
971, 43
972, 42
973, 42
974, 43
975, 47
976, 43
977, 43
978, 46
979, 43
980, 42
981, 43
982, 42
983, 43
984, 42
985, 43
986, 43
987, 46
988, 42
989, 43
990, 42
991, 42
992, 42
993, 42
994, 46
995, 43
996, 42
997, 43
998, 43
999, 57
