# trial, us for 1000 calls
0, 108859
1, 78377
2, 51254
3, 45889
4, 45645
5, 45333
6, 45413
7, 46323
8, 45416
9, 45486
10, 45395
11, 69306
12, 48949
13, 46816
14, 82680
15, 72623
16, 51825
17, 74702
18, 79629
19, 52238
20, 49124
21, 49647
22, 49628
23, 94270
24, 86173
25, 82753
26, 60102
27, 48606
28, 114620
29, 100395
30, 56102
31, 55616
32, 69742
33, 49388
34, 47587
35, 47653
36, 47471
37, 60830
38, 81317
39, 52342
40, 47266
41, 47374
42, 70538
43, 58347
44, 87443
45, 101594
46, 59450
47, 49119
48, 48070
49, 48035
50, 48056
51, 47926
52, 48143
53, 48061
54, 52919
55, 88957
56, 55617
57, 47781
58, 48204
59, 47860
60, 47367
61, 47076
62, 46883
63, 47148
64, 47120
65, 46867
66, 46958
67, 58530
68, 49879
69, 46208
70, 46281
71, 75490
72, 105633
73, 60233
74, 90116
75, 93253
76, 63164
77, 49561
78, 69110
79, 81602
80, 52118
81, 48051
82, 48109
83, 47757
84, 47680
85, 51737
86, 98057
87, 80661
88, 51992
89, 47243
90, 47380
91, 47158
92, 47106
93, 47307
94, 47687
95, 46950
96, 46923
97, 46951
98, 57071
99, 60982
