# trial, microseconds
0, 1952
1, 206
2, 188
3, 215
4, 187
5, 185
6, 184
7, 186
8, 184
9, 185
10, 185
11, 184
12, 160
13, 147
14, 146
15, 147
16, 146
17, 147
18, 147
19, 146
20, 161
21, 147
22, 145
23, 148
24, 146
25, 147
26, 146
27, 146
28, 152
29, 147
30, 146
31, 146
32, 146
33, 146
34, 147
35, 146
36, 146
37, 147
38, 147
39, 150
40, 146
41, 146
42, 146
43, 146
44, 146
45, 146
46, 147
47, 145
48, 146
49, 146
50, 147
51, 146
52, 146
53, 147
54, 146
55, 146
56, 149
57, 154
58, 149
59, 146
60, 154
61, 130
62, 130
63, 135
64, 159
65, 130
66, 130
67, 129
68, 130
69, 129
70, 131
71, 129
72, 130
73, 130
74, 130
75, 130
76, 129
77, 140
78, 132
79, 129
80, 129
81, 130
82, 129
83, 131
84, 129
85, 129
86, 130
87, 130
88, 131
89, 130
90, 130
91, 130
92, 130
93, 130
94, 129
95, 130
96, 131
97, 129
98, 135
99, 130
100, 130
101, 129
102, 130
103, 129
104, 130
105, 130
106, 130
107, 130
108, 131
109, 129
110, 129
111, 129
112, 124
113, 124
114, 123
115, 124
116, 124
117, 123
118, 123
119, 126
120, 126
121, 123
122, 123
123, 129
124, 123
125, 124
126, 124
127, 126
128, 125
129, 124
130, 123
131, 123
132, 123
133, 123
134, 123
135, 123
136, 123
137, 125
138, 124
139, 128
140, 122
141, 123
142, 124
143, 124
144, 124
145, 123
146, 123
147, 123
148, 124
149, 123
150, 123
151, 123
152, 123
153, 124
154, 123
155, 127
156, 124
157, 123
158, 124
159, 123
160, 123
161, 131
162, 122
163, 124
164, 130
165, 117
166, 117
167, 117
168, 117
169, 118
170, 118
171, 121
172, 118
173, 117
174, 118
175, 117
176, 117
177, 118
178, 118
179, 117
180, 117
181, 118
182, 117
183, 130
184, 118
185, 117
186, 120
187, 120
188, 117
189, 117
190, 118
191, 118
192, 118
193, 118
194, 116
195, 117
196, 117
197, 118
198, 118
199, 117
200, 118
201, 117
202, 117
203, 123
204, 119
205, 101
206, 118
207, 118
208, 118
209, 117
210, 117
211, 117
212, 117
213, 117
214, 116
215, 117
216, 116
217, 117
218, 118
219, 123
220, 113
221, 112
222, 111
223, 113
224, 113
225, 112
226, 113
227, 115
228, 113
229, 113
230, 114
231, 112
232, 112
233, 113
234, 113
235, 112
236, 111
237, 112
238, 112
239, 112
240, 113
241, 112
242, 112
243, 112
244, 112
245, 112
246, 111
247, 112
248, 115
249, 148
250, 115
251, 112
252, 113
253, 112
254, 112
255, 113
256, 114
257, 112
258, 113
259, 113
260, 112
261, 112
262, 112
263, 113
264, 114
265, 112
266, 112
267, 113
268, 113
269, 113
270, 113
271, 113
272, 115
273, 113
274, 111
275, 108
276, 108
277, 108
278, 109
279, 108
280, 107
281, 108
282, 108
283, 109
284, 107
285, 108
286, 107
287, 108
288, 107
289, 108
290, 108
291, 111
292, 108
293, 108
294, 108
295, 110
296, 107
297, 108
298, 107
299, 108
300, 108
301, 109
302, 107
303, 108
304, 106
305, 108
306, 107
307, 109
308, 107
309, 108
310, 108
311, 107
312, 108
313, 108
314, 109
315, 108
316, 107
317, 108
318, 110
319, 116
320, 109
321, 108
322, 108
323, 108
324, 108
325, 109
326, 107
327, 108
328, 113
329, 107
330, 108
331, 108
332, 108
333, 108
334, 107
335, 107
336, 108
337, 107
338, 108
339, 107
340, 107
341, 110
342, 108
343, 107
344, 107
345, 108
346, 107
347, 108
348, 108
349, 107
350, 108
351, 108
352, 108
353, 107
354, 108
355, 108
356, 107
357, 108
358, 108
359, 107
360, 108
361, 107
362, 108
363, 108
364, 109
365, 107
366, 108
367, 108
368, 108
369, 107
370, 107
371, 107
372, 108
373, 108
374, 109
375, 109
376, 108
377, 107
378, 108
379, 107
380, 108
381, 107
382, 108
383, 108
384, 109
385, 108
386, 108
387, 109
388, 108
389, 108
390, 109
391, 109
392, 108
393, 108
394, 109
395, 107
396, 108
397, 107
398, 108
399, 107
400, 108
401, 108
402, 107
403, 109
404, 107
405, 107
406, 107
407, 108
408, 108
409, 108
410, 108
411, 108
412, 108
413, 108
414, 108
415, 108
416, 108
417, 108
418, 107
419, 108
420, 108
421, 108
422, 107
423, 107
424, 108
425, 107
426, 109
427, 107
428, 108
429, 108
430, 108
431, 107
432, 108
433, 138
434, 108
435, 107
436, 108
437, 107
438, 109
439, 108
440, 108
441, 108
442, 112
443, 108
444, 108
445, 108
446, 108
447, 108
448, 109
449, 108
450, 108
451, 108
452, 107
453, 108
454, 107
455, 108
456, 118
457, 108
458, 108
459, 107
460, 108
461, 107
462, 107
463, 108
464, 108
465, 108
466, 107
467, 108
468, 109
469, 107
470, 109
471, 107
472, 108
473, 108
474, 108
475, 108
476, 113
477, 108
478, 108
479, 116
480, 109
481, 108
482, 108
483, 108
484, 108
485, 109
486, 108
487, 107
488, 108
489, 108
490, 108
491, 108
492, 113
493, 108
494, 108
495, 107
496, 107
497, 108
498, 112
499, 109
500, 108
501, 108
502, 117
503, 109
504, 111
505, 107
506, 108
507, 109
508, 114
509, 108
510, 107
511, 109
512, 109
513, 108
514, 108
515, 109
516, 108
517, 108
518, 108
519, 107
520, 108
521, 108
522, 108
523, 107
524, 113
525, 143
526, 110
527, 108
528, 108
529, 108
530, 108
531, 108
532, 107
533, 108
534, 108
535, 108
536, 108
537, 108
538, 109
539, 108
540, 107
541, 109
542, 108
543, 108
544, 108
545, 108
546, 108
547, 107
548, 115
549, 110
550, 107
551, 109
552, 107
553, 108
554, 108
555, 108
556, 107
557, 108
558, 107
559, 108
560, 108
561, 107
562, 108
563, 113
564, 108
565, 107
566, 108
567, 109
568, 108
569, 108
570, 108
571, 107
572, 109
573, 108
574, 107
575, 110
576, 109
577, 107
578, 107
579, 112
580, 107
581, 108
582, 107
583, 107
584, 108
585, 108
586, 107
587, 108
588, 108
589, 108
590, 106
591, 108
592, 107
593, 108
594, 107
595, 114
596, 108
597, 108
598, 108
599, 108
600, 108
601, 107
602, 107
603, 108
604, 107
605, 108
606, 107
607, 108
608, 108
609, 107
610, 108
611, 112
612, 108
613, 109
614, 108
615, 107
616, 108
617, 108
618, 138
619, 108
620, 107
621, 107
622, 107
623, 109
624, 107
625, 107
626, 107
627, 108
628, 108
629, 107
630, 108
631, 108
632, 107
633, 107
634, 108
635, 107
636, 108
637, 107
638, 109
639, 109
640, 108
641, 116
642, 107
643, 108
644, 107
645, 107
646, 108
647, 108
648, 107
649, 107
650, 108
651, 107
652, 108
653, 108
654, 108
655, 107
656, 107
657, 109
658, 108
659, 107
660, 108
661, 108
662, 108
663, 108
664, 114
665, 108
666, 108
667, 108
668, 112
669, 108
670, 108
671, 107
672, 108
673, 107
674, 108
675, 108
676, 108
677, 107
678, 109
679, 108
680, 108
681, 108
682, 108
683, 108
684, 109
685, 108
686, 108
687, 114
688, 109
689, 108
690, 108
691, 107
692, 108
693, 109
694, 108
695, 108
696, 108
697, 108
698, 108
699, 107
700, 108
701, 107
702, 107
703, 109
704, 108
705, 108
706, 107
707, 107
708, 108
709, 107
710, 108
711, 110
712, 108
713, 108
714, 109
715, 108
716, 108
717, 107
718, 109
719, 107
720, 108
721, 107
722, 107
723, 109
724, 107
725, 107
726, 108
727, 107
728, 108
729, 109
730, 109
731, 108
732, 109
733, 113
734, 109
735, 107
736, 108
737, 108
738, 108
739, 108
740, 107
741, 107
742, 108
743, 109
744, 109
745, 108
746, 108
747, 107
748, 108
749, 108
750, 108
751, 108
752, 107
753, 108
754, 107
755, 109
756, 108
757, 109
758, 108
759, 108
760, 108
761, 108
762, 108
763, 108
764, 107
765, 108
766, 107
767, 108
768, 108
769, 108
770, 108
771, 108
772, 109
773, 109
774, 108
775, 107
776, 108
777, 107
778, 107
779, 108
780, 121
781, 108
782, 109
783, 108
784, 108
785, 108
786, 108
787, 108
788, 108
789, 108
790, 108
791, 108
792, 107
793, 108
794, 108
795, 108
796, 108
797, 108
798, 108
799, 108
800, 108
801, 108
802, 107
803, 146
804, 107
805, 108
806, 107
807, 107
808, 107
809, 108
810, 108
811, 107
812, 107
813, 108
814, 109
815, 107
816, 107
817, 108
818, 108
819, 108
820, 108
821, 108
822, 106
823, 108
824, 108
825, 107
826, 113
827, 108
828, 108
829, 107
830, 107
831, 109
832, 109
833, 108
834, 108
835, 109
836, 108
837, 108
838, 112
839, 108
840, 108
841, 108
842, 108
843, 107
844, 107
845, 108
846, 108
847, 108
848, 109
849, 116
850, 113
851, 108
852, 108
853, 108
854, 109
855, 108
856, 108
857, 108
858, 108
859, 108
860, 108
861, 108
862, 108
863, 108
864, 108
865, 108
866, 112
867, 108
868, 108
869, 108
870, 108
871, 108
872, 113
873, 111
874, 110
875, 109
876, 108
877, 108
878, 108
879, 108
880, 108
881, 108
882, 113
883, 109
884, 108
885, 108
886, 107
887, 108
888, 108
889, 109
890, 108
891, 108
892, 107
893, 109
894, 108
895, 108
896, 110
897, 108
898, 108
899, 109
900, 108
901, 109
902, 108
903, 108
904, 108
905, 108
906, 108
907, 108
908, 108
909, 108
910, 107
911, 108
912, 108
913, 108
914, 107
915, 107
916, 108
917, 107
918, 108
919, 109
920, 109
921, 108
922, 108
923, 108
924, 108
925, 108
926, 108
