# trial, us for 1000 calls
0, 180944
1, 169647
2, 168987
3, 168897
4, 168891
5, 168969
6, 169157
7, 169214
8, 168903
9, 169338
10, 169480
11, 169291
12, 168879
13, 168791
14, 168686
15, 168710
16, 168705
17, 168664
18, 168968
19, 168450
20, 168327
21, 168570
22, 168418
23, 168410
24, 168653
25, 168890
26, 168525
27, 168480
28, 170148
29, 168703
30, 168822
31, 169034
32, 168458
33, 169043
34, 169080
35, 168749
36, 168169
37, 167924
38, 167754
39, 168114
40, 169469
41, 196473
42, 174643
43, 169594
44, 169395
45, 169351
46, 169287
47, 169400
48, 183502
49, 170129
50, 169211
51, 168846
52, 168731
53, 168758
54, 169419
55, 169410
56, 180162
57, 169294
58, 169134
59, 169762
60, 179827
61, 169521
62, 168965
63, 168896
64, 169201
65, 169718
66, 169299
67, 169209
68, 169338
69, 169292
70, 169291
71, 169226
72, 169278
73, 169287
74, 169207
75, 169417
76, 169045
77, 169616
78, 169073
79, 168968
80, 168933
81, 168943
82, 169036
83, 169780
84, 169594
85, 169269
86, 169385
87, 169235
88, 169046
89, 169369
90, 169463
91, 169532
92, 169503
93, 169264
94, 169437
95, 169459
96, 169175
97, 169002
98, 169865
99, 169694
