# trial, us for 1000 calls
0, 181041
1, 167933
2, 167669
3, 167632
4, 167443
5, 167669
6, 167973
7, 168139
8, 168107
9, 168127
10, 168005
11, 167718
12, 167793
13, 179386
14, 179294
15, 173065
16, 170583
17, 170466
18, 182095
19, 176241
20, 183546
21, 171285
22, 170888
23, 171015
24, 167604
25, 166351
26, 175966
27, 171854
28, 181148
29, 173928
30, 170449
31, 169313
32, 169016
33, 168966
34, 168810
35, 168468
36, 168715
37, 168443
38, 168682
39, 168483
40, 168321
41, 168301
42, 168715
43, 169045
44, 169239
45, 169354
46, 168680
47, 168682
48, 168749
49, 168522
50, 168497
51, 168217
52, 168247
53, 168087
54, 168554
55, 168229
56, 168528
57, 168535
58, 168599
59, 168309
60, 168191
61, 193043
62, 175312
63, 175204
64, 174959
65, 181684
66, 173873
67, 173936
68, 173851
69, 173887
70, 179316
71, 169427
72, 181259
73, 171670
74, 171484
75, 185913
76, 185348
77, 173370
78, 173328
79, 173151
80, 173331
81, 184380
82, 172267
83, 191817
84, 175835
85, 180749
86, 169291
87, 169093
88, 169151
89, 177858
90, 174957
91, 184314
92, 169689
93, 181645
94, 173353
95, 181195
96, 173486
97, 177296
98, 184592
99, 171714
