# trial, latency
0,1329
1,1105
2,1076
3,1098
4,1095
5,1090
6,1085
7,1105
8,984
9,777
10,772
11,780
12,777
13,773
14,768
15,773
16,788
17,777
18,778
19,776
20,778
21,728
22,528
23,518
24,532
25,518
26,518
27,517
28,514
29,538
30,517
31,518
32,516
33,515
34,519
35,517
36,513
37,524
38,518
39,518
40,512
41,340
42,339
43,339
44,338
45,343
46,340
47,344
48,338
49,338
50,338
51,338
52,339
53,340
54,338
55,339
56,339
57,339
58,338
59,345
60,340
61,340
62,337
63,341
64,339
65,338
66,339
67,341
68,339
69,338
70,296
71,338
72,329
73,328
74,326
75,292
76,291
77,293
78,294
79,293
80,305
81,297
82,295
83,294
84,334
85,331
86,331
87,328
88,294
89,296
90,295
91,292
92,292
93,294
94,295
95,291
96,297
97,331
98,330
99,329
100,333
101,292
102,290
103,292
104,294
105,292
106,293
107,295
108,295
109,293
110,325
111,331
112,346
113,342
114,295
115,296
116,295
117,294
118,294
119,294
120,296
121,293
122,293
123,327
124,329
125,330
126,345
127,294
128,293
129,292
130,295
131,296
132,295
133,294
134,293
135,294
136,323
137,328
138,331
139,349
140,294
141,293
142,294
143,295
144,294
145,293
146,308
147,294
148,295
149,321
150,331
151,330
152,349
153,292
154,294
155,295
156,292
157,294
158,295
159,293
160,294
161,294
162,323
163,330
164,328
165,329
166,333
167,294
168,294
169,295
170,295
171,294
172,294
173,296
174,295
175,319
176,318
177,322
178,319
179,310
180,296
181,292
182,294
183,292
184,294
185,294
186,292
187,291
188,298
189,338
190,320
191,319
192,323
193,294
194,294
195,294
196,294
197,294
198,292
199,295
200,295
201,294
202,297
203,295
204,293
205,293
206,292
207,293
208,295
209,292
210,295
211,295
212,295
213,292
214,294
215,298
216,292
217,293
218,295
219,296
220,294
221,292
222,292
223,294
224,295
225,294
226,294
227,293
228,294
229,299
230,296
231,294
232,294
233,294
234,296
235,294
236,295
237,294
238,293
239,293
240,293
241,295
242,300
243,293
244,294
245,293
246,294
247,295
248,293
249,295
250,293
251,293
252,292
253,296
254,295
255,293
256,297
257,294
258,291
259,292
260,296
261,296
262,292
263,292
264,295
265,294
266,293
267,294
268,294
269,294
270,298
271,294
272,293
273,293
274,292
275,294
276,294
277,292
278,294
279,293
280,294
281,291
282,293
283,299
284,294
285,293
286,292
287,292
288,292
289,292
290,293
291,294
292,292
293,292
294,297
295,296
296,294
297,296
298,294
299,296
300,293
301,295
302,295
303,294
304,295
305,296
306,294
307,293
308,293
309,296
310,293
311,293
312,295
313,296
314,293
315,294
316,296
317,294
318,294
319,293
320,294
321,295
322,292
323,294
324,298
325,293
326,292
327,293
328,295
329,294
330,293
331,294
332,294
333,292
334,293
335,296
336,294
337,295
338,296
339,296
340,295
341,292
342,293
343,296
344,294
345,293
346,293
347,296
348,293
349,293
350,293
351,296
352,293
353,294
354,295
355,293
356,293
357,293
358,296
359,294
360,293
361,295
362,294
363,293
364,291
365,294
366,293
367,293
368,294
369,294
370,293
371,293
372,293
373,295
374,292
375,292
376,293
377,294
378,295
379,294
380,293
381,293
382,293
383,295
384,295
385,294
386,292
387,294
388,294
389,293
390,291
391,296
392,297
393,294
394,295
395,294
396,292
397,294
398,294
399,295
400,294
401,293
402,295
403,293
404,294
405,293
406,295
407,294
408,295
409,293
410,294
411,293
412,293
413,294
414,295
415,296
416,293
417,294
418,293
419,297
420,293
421,295
422,295
423,293
424,293
425,295
426,295
427,293
428,293
429,295
430,294
431,294
432,294
433,295
434,292
435,295
436,294
437,295
438,295
439,294
440,294
441,294
442,294
443,293
444,296
445,294
446,294
447,293
448,293
449,296
450,293
451,293
452,295
453,293
454,293
455,293
456,296
457,295
458,293
459,295
460,296
461,293
462,293
463,294
464,294
465,293
466,293
467,293
468,294
469,293
470,293
471,292
472,296
473,292
474,298
475,295
476,293
477,294
478,295
479,295
480,295
481,295
482,293
483,294
484,293
485,293
486,293
487,294
488,296
489,295
490,294
491,293
492,293
493,293
494,294
495,292
496,294
497,295
498,293
499,292
500,293
501,297
502,293
503,292
504,293
505,294
506,293
507,293
508,295
509,294
510,294
511,293
512,295
513,294
514,293
515,293
516,293
517,295
518,294
519,296
520,295
521,296
522,293
523,298
524,295
525,295
526,293
527,294
528,297
529,295
530,294
531,296
532,295
533,294
534,291
535,295
536,294
537,293
538,294
539,295
540,295
541,296
542,293
543,294
544,296
545,293
546,292
547,294
548,294
549,294
550,293
551,296
552,294
553,294
554,292
555,297
556,294
557,293
558,296
559,293
560,293
561,294
562,295
563,293
564,294
565,295
566,294
567,292
568,294
569,298
570,294
571,294
572,293
573,295
574,295
575,294
576,293
577,295
578,294
579,293
580,294
581,293
582,296
583,293
584,294
585,294
586,293
587,292
588,294
589,293
590,293
591,292
592,294
593,293
594,292
595,295
596,298
597,294
598,294
599,291
600,295
601,295
602,291
603,293
604,294
605,294
606,292
607,292
608,293
609,298
610,294
611,294
612,295
613,294
614,295
615,293
616,292
617,292
618,293
619,296
620,295
621,294
622,294
623,296
624,294
625,295
626,293
627,293
628,292
629,293
630,295
631,294
632,294
633,294
634,294
635,292
636,292
637,300
638,294
639,292
640,293
641,296
642,293
643,293
644,292
645,292
646,295
647,293
648,295
649,293
650,296
651,293
652,293
653,294
654,293
655,295
656,295
657,294
658,294
659,296
660,294
661,294
662,294
663,294
664,295
665,293
666,293
667,293
668,292
669,295
670,295
671,292
672,293
673,294
674,295
675,293
676,294
677,294
678,293
679,294
680,293
681,293
682,293
683,293
684,294
685,295
686,296
687,295
688,294
689,295
690,294
691,296
692,293
693,294
694,293
695,292
696,292
697,293
698,295
699,293
700,295
701,294
702,296
703,293
704,295
705,297
706,293
707,295
708,294
709,295
710,295
711,294
712,294
713,295
714,294
715,293
716,294
717,295
718,295
719,293
720,295
721,293
722,294
723,294
724,293
725,294
726,293
727,295
728,296
729,293
730,294
731,296
732,296
733,295
734,295
735,294
736,295
737,292
738,294
739,294
740,293
741,295
742,295
743,295
744,293
745,296
746,296
747,297
748,294
749,293
750,294
751,295
752,292
753,292
754,294
755,292
756,291
757,294
758,292
759,294
760,293
761,292
762,292
763,293
764,291
765,294
766,292
767,294
768,295
769,294
770,293
771,292
772,295
773,296
774,293
775,294
776,293
777,294
778,294
779,293
780,293
781,290
782,290
783,292
784,296
785,292
786,297
787,295
788,293
789,293
790,292
791,293
792,293
793,293
794,294
795,295
796,293
797,292
798,294
799,292
800,294
801,292
802,294
803,296
804,293
805,292
806,296
807,295
808,292
809,296
810,295
811,293
812,293
813,296
814,294
815,293
816,294
817,297
818,295
819,294
820,293
821,294
822,293
823,293
824,293
825,294
826,293
827,295
828,295
829,296
830,294
831,292
832,294
833,294
834,292
835,293
836,295
837,293
838,292
839,294
840,295
841,297
842,292
843,291
844,292
845,292
846,291
847,292
848,293
849,292
850,293
851,296
852,292
853,291
854,300
855,343
856,329
857,328
858,316
859,294
860,294
861,292
862,294
863,295
864,293
865,291
866,295
867,298
868,292
869,295
870,295
871,293
872,293
873,294
874,294
875,293
876,293
877,295
878,294
879,295
880,292
881,298
882,294
883,292
884,293
885,295
886,295
887,295
888,295
889,295
890,294
891,294
892,294
893,293
894,291
895,296
896,294
897,295
898,293
899,292
900,295
901,293
902,292
903,294
904,293
905,293
906,293
907,293
908,294
909,293
910,292
911,294
912,293
913,292
914,295
915,295
916,294
917,292
918,294
919,295
920,291
921,293
922,296
923,293
924,293
925,293
926,294
927,292
928,291
929,293
930,292
931,293
932,291
933,292
934,293
935,294
936,294
937,294
938,293
939,292
940,296
941,294
942,293
943,294
944,295
945,294
946,294
947,293
948,294
949,298
950,292
951,293
952,293
953,293
954,293
955,294
956,305
957,292
958,292
959,285
960,293
961,294
962,294
963,298
964,294
965,293
966,294
967,295
968,293
969,293
970,293
971,293
972,292
973,291
974,293
975,294
976,297
977,295
978,294
979,293
980,294
981,293
982,295
983,293
984,293
985,295
986,295
987,293
988,292
989,294
990,297
991,291
992,293
993,297
994,295
995,294
996,295
997,295
998,294
999,293
