# trial, latency
0,4402
1,1771
2,1730
3,1742
4,1745
5,1350
6,1159
7,1171
8,1156
9,1154
10,1172
11,1176
12,1162
13,1157
14,806
15,805
16,801
17,799
18,812
19,804
20,804
21,806
22,819
23,816
24,807
25,803
26,587
27,551
28,554
29,554
30,562
31,553
32,553
33,552
34,553
35,552
36,551
37,559
38,555
39,553
40,553
41,553
42,549
43,549
44,542
45,499
46,497
47,498
48,498
49,497
50,513
51,496
52,503
53,498
54,497
55,495
56,496
57,496
58,496
59,496
60,502
61,498
62,496
63,500
64,500
65,496
66,496
67,496
68,531
69,520
70,533
71,494
72,493
73,493
74,494
75,494
76,531
77,521
78,511
79,493
80,492
81,494
82,494
83,494
84,536
85,521
86,514
87,491
88,494
89,493
90,507
91,492
92,500
93,492
94,493
95,494
96,494
97,490
98,493
99,492
