# trial, latency
0,3930
1,1439
2,1339
3,1094
4,1095
5,1094
6,1100
7,1089
8,1090
9,1093
10,1104
11,1066
12,722
13,724
14,734
15,721
16,725
17,723
18,721
19,721
20,731
21,721
22,724
23,723
24,721
25,713
26,497
27,495
28,498
29,497
30,496
31,497
32,496
33,505
34,497
35,497
36,496
37,499
38,497
39,495
40,497
41,502
42,496
43,499
44,495
45,498
46,464
47,408
48,408
49,412
50,447
51,442
52,462
53,409
54,408
55,410
56,409
57,410
58,409
59,433
60,430
61,431
62,429
63,427
64,414
65,410
66,411
67,409
68,409
69,481
70,441
71,454
72,406
73,407
74,408
75,409
76,407
77,409
78,434
79,430
80,432
81,425
82,410
83,410
84,408
85,407
86,408
87,409
88,465
89,440
90,456
91,408
92,410
93,407
94,407
95,408
96,409
97,433
98,432
99,430
