# trial, latency
0,5129
1,918
2,868
3,856
4,855
5,850
6,886
7,853
8,765
9,577
10,578
11,587
12,577
13,579
14,580
15,579
16,578
17,577
18,586
19,575
20,574
21,574
22,573
23,586
24,573
25,582
26,393
27,378
28,377
29,377
30,376
31,377
32,379
33,378
34,379
35,385
36,381
37,380
38,382
39,382
40,382
41,384
42,384
43,386
44,382
45,384
46,391
47,396
48,383
49,381
50,382
51,380
52,282
53,261
54,267
55,261
56,261
57,261
58,281
59,266
60,267
61,266
62,277
63,265
64,262
65,261
66,263
67,261
68,263
69,263
70,263
71,263
72,263
73,268
74,263
75,261
76,263
77,262
78,261
79,263
80,261
81,260
82,261
83,261
84,261
85,260
86,260
87,260
88,263
89,281
90,267
91,267
92,281
93,260
94,251
95,250
96,251
97,265
98,252
99,250
