# trial, latency
0,4812
1,588
2,555
3,548
4,536
5,534
6,553
7,531
8,528
9,525
10,524
11,523
12,524
13,540
14,526
15,521
16,396
17,355
18,353
19,353
20,352
21,353
22,368
23,365
24,355
25,353
26,354
27,354
28,354
29,353
30,354
31,353
32,354
33,354
34,353
35,366
36,354
37,354
38,354
39,354
40,352
41,352
42,353
43,353
44,352
45,260
46,244
47,240
48,237
49,238
50,238
51,238
52,238
53,237
54,253
55,238
56,238
57,239
58,238
59,239
60,239
61,239
62,239
63,258
64,244
65,240
66,240
67,239
68,239
69,240
70,239
71,239
72,240
73,239
74,239
75,239
76,239
77,239
78,238
79,239
80,248
81,238
82,239
83,239
84,238
85,239
86,238
87,215
88,171
89,170
90,171
91,170
92,171
93,171
94,171
95,171
96,171
97,170
98,170
99,170
