# trial, latency (cycles)
0, 668660
1, 364054
2, 359650
3, 358838
4, 358712
5, 358808
6, 358506
7, 358488
8, 358816
9, 358862
10, 351118
11, 358524
12, 358462
13, 358740
14, 358722
15, 351328
16, 351156
17, 358350
18, 358734
19, 358774
20, 351190
21, 388240
22, 358818
23, 351584
24, 358626
25, 358668
26, 358800
27, 358622
28, 358696
29, 358398
30, 358860
31, 358888
32, 351524
33, 358580
34, 358452
35, 358922
36, 358878
37, 358720
38, 351274
39, 358460
40, 358752
41, 358714
42, 358704
43, 358730
44, 351000
45, 358914
46, 351392
47, 384368
48, 351546
49, 358542
50, 358600
51, 358394
52, 358748
53, 358804
54, 358730
55, 358622
56, 358916
57, 358678
58, 351494
59, 351334
60, 358462
61, 358904
62, 358922
63, 358712
64, 351234
65, 350970
66, 358920
67, 358584
68, 358580
69, 358600
70, 358522
71, 358930
72, 358818
73, 267412
74, 239598
75, 233802
76, 234396
77, 239152
78, 239166
79, 239120
80, 239058
81, 239142
82, 239100
83, 234308
84, 239068
85, 233986
86, 239110
87, 239102
88, 239132
89, 234308
90, 239070
91, 234084
92, 239294
93, 234142
94, 239044
95, 234252
96, 239294
97, 239290
98, 234306
99, 239048
100, 239080
101, 278140
102, 239220
103, 239114
104, 239144
105, 234198
106, 239086
107, 239202
108, 239082
109, 239010
110, 234364
111, 234252
112, 239238
113, 263040
114, 239402
115, 239130
116, 233726
117, 234226
118, 239206
119, 239224
120, 239154
121, 239072
122, 239246
123, 239154
124, 239130
125, 239072
126, 239228
127, 239192
128, 239186
129, 239170
130, 239114
131, 239270
132, 234296
133, 239138
134, 239048
135, 234004
136, 239280
137, 234376
138, 234094
139, 234350
140, 239180
141, 239244
142, 239116
143, 239090
144, 234112
145, 239310
146, 234354
147, 234136
148, 234182
149, 239224
150, 239332
151, 239138
152, 249880
153, 239394
154, 239178
155, 239038
156, 239304
157, 239210
158, 239156
159, 234454
160, 239280
161, 239218
162, 239124
163, 238940
164, 239266
165, 239162
166, 239152
167, 239076
168, 239228
169, 231440
170, 159714
171, 163096
172, 163082
173, 163092
174, 163046
175, 163104
176, 163132
177, 162978
178, 159560
179, 163058
180, 159568
181, 163138
182, 163068
183, 163020
184, 163102
185, 163072
186, 163086
187, 162952
188, 163118
189, 163028
190, 163058
191, 159696
192, 163068
193, 163086
194, 163084
195, 162990
196, 159624
197, 163154
198, 159796
199, 159696
200, 159662
201, 174546
202, 159712
203, 163050
204, 159750
205, 159728
206, 163152
207, 203168
208, 163040
209, 159718
210, 163144
211, 163106
212, 163046
213, 163042
214, 163080
215, 163092
216, 163048
217, 159700
218, 163108
219, 163080
220, 163110
221, 163080
222, 163176
223, 163122
224, 163086
225, 159812
226, 163106
227, 163084
228, 163020
229, 163016
230, 163062
231, 163094
232, 163086
233, 163018
234, 163074
235, 163110
236, 163106
237, 163026
238, 163104
239, 163114
240, 163104
241, 163090
242, 159600
243, 163158
244, 159812
245, 159692
246, 159752
247, 159586
248, 163120
249, 163072
250, 163042
251, 163156
252, 163096
253, 163098
254, 163008
255, 159620
256, 163052
257, 159882
258, 170950
259, 159802
260, 163170
261, 159772
262, 159710
263, 163088
264, 163012
265, 163018
266, 159202
267, 159716
268, 159872
269, 163088
270, 163024
271, 159710
272, 162990
273, 159654
274, 163008
275, 163008
276, 163068
277, 163044
278, 163026
279, 159590
280, 163036
281, 159692
282, 163090
283, 163060
284, 159678
285, 159576
286, 163046
287, 163046
288, 159728
289, 159640
290, 163158
291, 163094
292, 163068
293, 162996
294, 159558
295, 163058
296, 159804
297, 159196
298, 163050
299, 159628
300, 163176
301, 159788
302, 162994
303, 159722
304, 159574
305, 163112
306, 163104
307, 159762
308, 163060
309, 106600
310, 106606
311, 106376
312, 108720
313, 106582
314, 108750
315, 108692
316, 108830
317, 108836
318, 108770
319, 113106
320, 106706
321, 108774
322, 108762
323, 108766
324, 106196
325, 108710
326, 106430
327, 108836
328, 106654
329, 106556
330, 108748
331, 108842
332, 108830
333, 108778
334, 106544
335, 108704
336, 106490
337, 108854
338, 108792
339, 108708
340, 106480
341, 108836
342, 108716
343, 108758
344, 106412
345, 108822
346, 108836
347, 106572
348, 106564
349, 108730
350, 108784
351, 108806
352, 108782
353, 108740
354, 108782
355, 108806
356, 108802
357, 108730
358, 108834
359, 108760
360, 106314
361, 108744
362, 108750
363, 106520
364, 108852
365, 106510
366, 108790
367, 108714
368, 106410
369, 108816
370, 106644
371, 106564
372, 106386
373, 108826
374, 108754
375, 106558
376, 108724
377, 108766
378, 108820
379, 108760
380, 108776
381, 108756
382, 108846
383, 108782
384, 108762
385, 106314
386, 108720
387, 108814
388, 108846
389, 106596
390, 106474
391, 108784
392, 108806
393, 108724
394, 108766
395, 106536
396, 106496
397, 108794
398, 108768
399, 106546
400, 106514
401, 106456
402, 108850
403, 108758
404, 108728
405, 108700
406, 114216
407, 108812
408, 108742
409, 108852
410, 108794
411, 106656
412, 106532
413, 106620
414, 106474
415, 108858
416, 108760
417, 108746
418, 106556
419, 108808
420, 108730
421, 108760
422, 106372
423, 108816
424, 108854
425, 108782
426, 108694
427, 108826
428, 108758
429, 106584
430, 108730
431, 108798
432, 108860
433, 108748
434, 108730
435, 106518
436, 108828
437, 108758
438, 108778
439, 106192
440, 108746
441, 106478
442, 108844
443, 108792
444, 108710
445, 108768
446, 108804
447, 108778
448, 108734
449, 106646
450, 108782
451, 108780
452, 106596
453, 108742
454, 106482
455, 108790
456, 108776
457, 108698
458, 108786
459, 108752
460, 106604
461, 108728
462, 108778
463, 108848
464, 108778
465, 108786
466, 108722
467, 108792
468, 108820
469, 108778
470, 106550
471, 106612
472, 108798
473, 108814
474, 108790
475, 108766
476, 106236
477, 106514
478, 108838
479, 106636
480, 106568
481, 106532
482, 108766
483, 108782
484, 108776
485, 108790
486, 108806
487, 108828
488, 108770
489, 106568
490, 106550
491, 108838
492, 114412
493, 108686
494, 108712
495, 106458
496, 108758
497, 106342
498, 108744
499, 108740
500, 108766
501, 108806
502, 108784
503, 108744
504, 108780
505, 109080
506, 108774
507, 108764
508, 108714
509, 106524
510, 108754
511, 108730
512, 108740
513, 108748
514, 106534
515, 106524
516, 108826
517, 108816
518, 106548
519, 108726
520, 108754
521, 108808
522, 108756
523, 106532
524, 108730
525, 108734
526, 108832
527, 125944
528, 97040
529, 94978
530, 97066
531, 95020
532, 96956
533, 97034
534, 97028
535, 97034
536, 96980
537, 97066
538, 95084
539, 97012
540, 97010
541, 97066
542, 95088
543, 94904
544, 97002
545, 96994
546, 95070
547, 97038
548, 95068
549, 97046
550, 95084
551, 97008
552, 95038
553, 97068
554, 96970
555, 97008
556, 97060
557, 96978
558, 95004
559, 96994
560, 97008
561, 94678
562, 97016
563, 95090
564, 96958
565, 97028
566, 94974
567, 97098
568, 95064
569, 97068
570, 97076
571, 97040
572, 97030
573, 94752
574, 96990
575, 95028
576, 97042
577, 96988
578, 97032
579, 97074
580, 95004
581, 97044
582, 97040
583, 96996
584, 144696
585, 102494
586, 102516
587, 100370
588, 102620
589, 102572
590, 100524
591, 102524
592, 102558
593, 100430
594, 102508
595, 102602
596, 102532
597, 102566
598, 100454
599, 102536
600, 100488
601, 102546
602, 100140
603, 102548
604, 139002
605, 100428
606, 102572
607, 102528
608, 128030
609, 97028
610, 97018
611, 94914
612, 97008
613, 96984
614, 95114
615, 97098
616, 97074
617, 97042
618, 94980
619, 96966
620, 97086
621, 97090
622, 97038
623, 94970
624, 96984
625, 97082
626, 97070
627, 97016
628, 95054
629, 96982
630, 94998
631, 97044
632, 95014
633, 97008
634, 97004
635, 97060
636, 97060
637, 95082
638, 95008
639, 96988
640, 94992
641, 97004
642, 97028
643, 96974
644, 97028
645, 97052
646, 97058
647, 97036
648, 94960
649, 95032
650, 96994
651, 97014
652, 95044
653, 96998
654, 96988
655, 94998
656, 97020
657, 95024
658, 97052
659, 96990
660, 96978
661, 95118
662, 94966
663, 97088
664, 95062
665, 97026
666, 96996
667, 97064
668, 97026
669, 94824
670, 97020
671, 97004
672, 97074
673, 96998
674, 95022
675, 96980
676, 96980
677, 95116
678, 102822
679, 140848
680, 102516
681, 102524
682, 102500
683, 102582
684, 102526
685, 102548
686, 102510
687, 100446
688, 102620
689, 102538
690, 100358
691, 102474
692, 102574
693, 102562
694, 100404
695, 102516
696, 100380
697, 102564
698, 102538
699, 100374
700, 102556
701, 102518
702, 102614
703, 127556
704, 94990
705, 97026
706, 95066
707, 94980
708, 96986
709, 97010
710, 97036
711, 95044
712, 94740
713, 96962
714, 97018
715, 97042
716, 95108
717, 96970
718, 94668
719, 95092
720, 97076
721, 97060
722, 97034
723, 95042
724, 96990
725, 95102
726, 97012
727, 96958
728, 96988
729, 97000
730, 97028
731, 96998
732, 95040
733, 97000
734, 96988
735, 97060
736, 97036
737, 97014
738, 97008
739, 97020
740, 97000
741, 95054
742, 96974
743, 96944
744, 97022
745, 96982
746, 97020
747, 96966
748, 96972
749, 95092
750, 94964
751, 96980
752, 96966
753, 94934
754, 97034
755, 95054
756, 96964
757, 96988
758, 94966
759, 97004
760, 96988
761, 96976
762, 97050
763, 95038
764, 96954
765, 96986
766, 97034
767, 96974
768, 96986
769, 95026
770, 97010
771, 96960
772, 97020
773, 144140
774, 102600
775, 102614
776, 100492
777, 100348
778, 102508
779, 102532
780, 102610
781, 100452
782, 102512
783, 102504
784, 100406
785, 102614
786, 100534
787, 100444
788, 102514
789, 100416
790, 102504
791, 102536
792, 102496
793, 102490
794, 102552
795, 102560
796, 100382
797, 128930
798, 96994
799, 96970
800, 95060
801, 96988
802, 97028
803, 95040
804, 96984
805, 97002
806, 97014
807, 96998
808, 95120
809, 96962
810, 97044
811, 95106
812, 96970
813, 95076
814, 95052
815, 96990
816, 97052
817, 97020
818, 94846
819, 96986
820, 97058
821, 97020
822, 95108
823, 95032
824, 96992
825, 97030
826, 97060
827, 95122
828, 94900
829, 96996
830, 96962
831, 97054
832, 97076
833, 97012
834, 94724
835, 97048
836, 96998
837, 95002
838, 96966
839, 133524
840, 96948
841, 95054
842, 97002
843, 96990
844, 97004
845, 95056
846, 94874
847, 97046
848, 95026
849, 96976
850, 94894
851, 96966
852, 96994
853, 96994
854, 96982
855, 95018
856, 96998
857, 96980
858, 97006
859, 96952
860, 95062
861, 97056
862, 97062
863, 95004
864, 96966
865, 96942
866, 97092
867, 103024
868, 140572
869, 102508
870, 102508
871, 102540
872, 102598
873, 102530
874, 100470
875, 102514
876, 102602
877, 102516
878, 100472
879, 100396
880, 102512
881, 102574
882, 102578
883, 100458
884, 102516
885, 102508
886, 102550
887, 102608
888, 102570
889, 100370
890, 102504
891, 100350
892, 125076
893, 97030
894, 96996
895, 97032
896, 95038
897, 97000
898, 97030
899, 97024
900, 95024
901, 96984
902, 95014
903, 97076
904, 97040
905, 95014
906, 96972
907, 95052
908, 97028
909, 97056
910, 97022
911, 96956
912, 94968
913, 96970
914, 96970
915, 96988
916, 94904
917, 95102
918, 97002
919, 97006
920, 96998
921, 95068
922, 97020
923, 96984
924, 96970
925, 96974
926, 94906
927, 97032
928, 96974
929, 96998
930, 94966
931, 96960
932, 97058
933, 97048
934, 95078
935, 95046
936, 96952
937, 97064
938, 96970
939, 95030
940, 96980
941, 96964
942, 97054
943, 96994
944, 95038
945, 96988
946, 96982
947, 97068
948, 97072
949, 97024
950, 94994
951, 96990
952, 97002
953, 95044
954, 96960
955, 97000
956, 96992
957, 95042
958, 96998
959, 96986
960, 95054
961, 97020
962, 143178
963, 102640
964, 100502
965, 100384
966, 102504
967, 100418
968, 102562
969, 100496
970, 102496
971, 102520
972, 100394
973, 102602
974, 100476
975, 102522
976, 102526
977, 100354
978, 102556
979, 102532
980, 100398
981, 102510
982, 102564
983, 102508
984, 102528
985, 102468
986, 102502
987, 95014
988, 96962
989, 95082
990, 97070
991, 96996
992, 96948
993, 96956
994, 94942
995, 97042
996, 97038
997, 97008
998, 96976
999, 96978
1000, 97052
1001, 97030
1002, 95060
1003, 96966
1004, 95040
1005, 97066
1006, 96964
1007, 97014
1008, 96962
1009, 96988
1010, 97010
1011, 94970
1012, 95026
1013, 97014
1014, 97038
1015, 95036
1016, 96968
1017, 95318
1018, 97060
1019, 96996
1020, 96972
1021, 96960
1022, 95004
1023, 97048
1024, 95042
1025, 96956
1026, 95050
1027, 97048
1028, 97028
1029, 95022
1030, 95006
1031, 96974
1032, 97082
1033, 97020
1034, 97020
1035, 97000
1036, 97062
1037, 97028
1038, 95018
1039, 94952
1040, 96952
1041, 94972
1042, 97064
1043, 95102
1044, 94936
1045, 96966
1046, 96978
1047, 96998
1048, 96992
1049, 94796
1050, 95078
1051, 97012
1052, 97034
1053, 95028
1054, 94994
1055, 96994
1056, 97032
1057, 144778
1058, 102958
1059, 102498
1060, 100494
1061, 102582
1062, 102562
1063, 102532
1064, 102498
1065, 102532
1066, 102550
1067, 102510
1068, 100098
1069, 102500
1070, 102532
1071, 102514
1072, 100444
1073, 102526
1074, 102480
1075, 100438
1076, 102550
1077, 100426
1078, 102494
1079, 100464
1080, 102612
1081, 102604
1082, 125034
1083, 96956
1084, 97052
1085, 97012
1086, 95052
1087, 95072
1088, 95012
1089, 97030
1090, 97010
1091, 95008
1092, 95062
1093, 95120
1094, 97010
1095, 96996
1096, 94988
1097, 95038
1098, 97078
1099, 97038
1100, 97022
1101, 94698
1102, 96964
1103, 94960
1104, 97044
1105, 95016
1106, 95010
1107, 96988
1108, 97064
1109, 96966
1110, 96972
1111, 96950
1112, 95106
1113, 97034
1114, 97036
1115, 97016
1116, 97014
1117, 95116
1118, 96982
1119, 96998
1120, 94998
1121, 96996
1122, 97074
1123, 96964
1124, 95020
1125, 96994
1126, 94892
1127, 97060
1128, 97040
1129, 97032
1130, 97004
1131, 97070
1132, 97056
1133, 95038
1134, 96978
1135, 95030
1136, 97014
1137, 97026
1138, 97020
1139, 95004
1140, 94932
1141, 95088
1142, 97046
1143, 96978
1144, 96980
1145, 95090
1146, 94862
1147, 96984
1148, 97014
1149, 95000
1150, 96964
1151, 102556
1152, 97030
1153, 97042
1154, 95004
1155, 94996
1156, 96958
1157, 94976
1158, 97038
1159, 97002
1160, 94682
1161, 96974
1162, 94958
1163, 97032
1164, 96990
1165, 94998
1166, 94986
1167, 96948
1168, 97028
1169, 97020
1170, 96958
1171, 97008
1172, 96994
1173, 95046
1174, 96958
1175, 96956
1176, 97062
1177, 97012
1178, 97002
1179, 94992
1180, 97008
1181, 96980
1182, 96970
1183, 97006
1184, 96956
1185, 97052
1186, 97022
