PAE,kmain(),after recv(),after send()
55772,56936,139832,320764
43954,45232,105356,231542
41522,42756,101008,221922
40634,41906,98574,221996
40338,41572,97616,221364
39950,41236,97462,220882
40196,41462,98592,227578
30092,31096,72650,165620
29536,30484,71556,170762
29640,30610,71880,171732
29612,30516,72104,165672
29192,30144,71372,167044
29972,30882,72326,167590
28936,29876,70794,168954
30092,31020,72754,170142
22348,23086,54884,131690
21882,22566,53810,133278
21582,22318,53806,128934
22132,22836,55442,131290
21646,22380,53508,126814
21924,22626,53462,127264
21864,22598,53968,128360
21910,22600,54702,129648
21878,22618,54272,127104
21902,22622,53856,129112
16954,17548,42546,107806
17328,17896,43022,109734
17188,17802,42640,107810
16862,17422,42828,107098
17204,17806,42862,109912
17086,17630,42152,104816
17104,17678,42046,103846
17380,17940,42272,105478
16452,17030,41592,102050
17114,17664,42100,105264
16606,17174,43138,104700
16728,17266,42044,102588
16554,17158,42348,105560
17076,17600,42708,105082
16542,17110,41580,102900
17568,18122,44458,110064
16848,17422,42772,104088
16876,17394,41998,102360
16610,17166,41230,99928
16340,16856,41288,100910
17202,17748,42416,101814
16408,16962,41126,103452
17052,17612,41550,103106
16662,17194,41596,99952
16384,16946,40760,100654
17124,17668,42892,105212
16734,17306,41710,101738
16628,17162,41492,102418
16386,16960,41300,100832
16236,16774,40748,100140
16360,16906,40870,98306
16248,16774,40386,98324
16266,16832,40166,96770
16330,16852,40728,98328
16346,16908,40166,97590
16338,16858,40814,101340
16344,16900,40450,98396
16178,16696,39990,98968
16158,16700,40078,97022
16254,16782,40144,97278
16346,16900,40336,98410
16274,16776,40454,98430
16634,17186,40602,141638
16182,16692,39962,96152
16210,16758,39712,96144
16262,16774,40156,97410
15886,16452,39502,95868
16110,16622,39760,96174
16974,17518,40504,98426
16398,16910,39776,96520
16862,17404,42582,102814
16450,16950,40686,101276
17190,17730,41226,98770
16588,17102,40670,97254
16334,16874,40250,97002
16106,16604,40220,97012
16340,16886,39966,94306
15964,16468,39546,94668
15784,16326,38942,93492
16246,16752,40132,97690
16218,16764,41388,96552
16078,16588,40190,99136
15784,16302,39656,95330
16070,16574,39180,97774
15800,16336,39004,94046
16002,16512,40278,98016
15824,16362,39784,95194
56754,57258,80210,134658
15416,15946,38878,93432
15662,16168,38632,91916
15726,16264,38890,93930
16014,16530,39070,92966
15818,16366,38996,93450
16538,17038,39760,92450
