# trial, latency (cycles)
0, 615056
1, 917774
2, 885694
3, 521300
4, 693472
5, 884848
6, 719100
7, 673338
8, 635336
9, 625010
10, 627726
11, 622804
12, 623442
13, 618600
14, 623114
15, 617612
16, 639844
17, 626436
18, 661362
19, 835780
20, 804786
21, 894152
22, 899538
23, 914490
24, 915608
25, 921428
26, 652072
27, 886198
28, 917046
29, 769258
30, 566532
31, 585268
32, 789838
33, 798902
34, 880778
35, 875096
36, 920642
37, 899474
38, 668286
39, 649454
40, 627390
41, 629824
42, 626128
43, 641502
44, 633404
45, 654064
46, 797008
47, 668378
48, 643578
49, 631532
50, 620630
51, 629048
52, 637564
53, 668478
54, 618542
55, 649498
56, 650104
57, 624356
58, 624658
59, 657704
60, 632328
61, 642972
62, 814888
63, 779350
64, 924570
65, 891752
66, 727290
67, 655308
68, 651648
69, 635112
70, 627954
71, 654224
72, 626716
73, 633542
74, 632242
75, 1222312
76, 813214
77, 892970
78, 823952
79, 864420
80, 886704
81, 897130
82, 695700
83, 749304
84, 626156
85, 660522
86, 669302
87, 617678
88, 739156
89, 797604
90, 787814
91, 897408
92, 671520
93, 613782
94, 669860
95, 639194
96, 636324
97, 650122
98, 635232
99, 625654
100, 655262
101, 635718
102, 613118
103, 880350
104, 784098
105, 888978
106, 882458
107, 879400
108, 659584
109, 609336
110, 653658
111, 622804
112, 628256
113, 614866
114, 609920
115, 637122
116, 630848
117, 653312
118, 817990
119, 792092
120, 925990
121, 891704
122, 904280
123, 939848
124, 688192
125, 643292
126, 644046
127, 624570
128, 618236
129, 656004
130, 653250
131, 646238
132, 783050
133, 815896
134, 890814
135, 888324
136, 659862
137, 621738
138, 627544
139, 639058
140, 629488
141, 643422
142, 631566
143, 644576
144, 624442
145, 624308
146, 655598
147, 810358
148, 765310
149, 902712
150, 884844
151, 895284
152, 653338
153, 627588
154, 666960
155, 619008
156, 625204
157, 620386
158, 628568
159, 634114
160, 685438
161, 864872
162, 770848
163, 929314
164, 657480
165, 662554
166, 618324
167, 628326
168, 621520
169, 623562
170, 621480
171, 632128
172, 628146
173, 636168
174, 623012
175, 647184
176, 800054
177, 780888
178, 944206
179, 668356
180, 672268
181, 619528
182, 624738
183, 621618
184, 631184
185, 616994
186, 631760
187, 621518
188, 630748
189, 618704
190, 832394
191, 789412
192, 808418
193, 673000
194, 893436
195, 928082
196, 953092
197, 919364
198, 936692
199, 920300
200, 665722
201, 624546
202, 632580
203, 647626
204, 800214
205, 805030
206, 913580
207, 909464
208, 794136
209, 701832
210, 906542
211, 770786
212, 666070
213, 639176
214, 635588
215, 669190
216, 639512
217, 657756
218, 819606
219, 911252
220, 915450
221, 914802
222, 912002
223, 675218
224, 630742
225, 656898
226, 636272
227, 634374
228, 624830
229, 674950
230, 630668
231, 1087394
232, 835112
233, 919456
234, 926248
235, 928166
236, 914966
237, 682466
238, 685602
