# trial, latency (cycles)
0, 259236
1, 248056
2, 246504
3, 125856
4, 221884
5, 226982
6, 103740
7, 236912
8, 107852
9, 123556
10, 76482
11, 102704
12, 101222
13, 93532
14, 85402
15, 86402
16, 82740
17, 86182
18, 83286
19, 83898
20, 83048
21, 86666
22, 84036
23, 87556
24, 84412
25, 90064
26, 82576
27, 84452
28, 82352
29, 106986
30, 82698
31, 87202
32, 80486
33, 110552
34, 85366
35, 114362
36, 89066
37, 110162
38, 86974
39, 86744
40, 91404
41, 124810
42, 88088
43, 86520
44, 85896
45, 106352
46, 86498
47, 87658
48, 112142
49, 112714
50, 85428
51, 84796
52, 84726
53, 108116
54, 88812
55, 85818
56, 88020
57, 109326
58, 89614
59, 82818
60, 94510
61, 106808
62, 82562
63, 94622
64, 79960
65, 112336
66, 84448
67, 82962
68, 83790
69, 110362
70, 114300
71, 82532
72, 104996
73, 113412
74, 82922
75, 86532
76, 82692
77, 109282
78, 85236
79, 97708
80, 82004
81, 106806
82, 79110
83, 77150
84, 81182
85, 108248
86, 88538
87, 102020
88, 83614
89, 108158
90, 85658
91, 85444
92, 87396
93, 113270
94, 93316
95, 94844
96, 82280
97, 106382
98, 85298
99, 85966
100, 103958
101, 107236
102, 83866
103, 85514
104, 84094
105, 120944
106, 91130
107, 90376
108, 90064
109, 111298
110, 96000
111, 90692
112, 87388
113, 107208
114, 84266
115, 83468
116, 84284
117, 109418
118, 82548
119, 85790
120, 85292
121, 113308
122, 89890
123, 89856
124, 88230
125, 110070
126, 96316
127, 83902
128, 103958
129, 109858
130, 83262
131, 91186
132, 85600
133, 110518
134, 83430
135, 83130
136, 86146
137, 120572
138, 88074
139, 91558
140, 90732
141, 119200
142, 83590
143, 84074
144, 88504
145, 106470
146, 85028
147, 86476
148, 85116
149, 109274
150, 83078
151, 82834
152, 89484
153, 112614
154, 89230
155, 93726
156, 108682
157, 119748
158, 83328
159, 138746
160, 84510
161, 105672
162, 90948
163, 108156
164, 106764
165, 127986
166, 103454
167, 110172
168, 110358
169, 143078
170, 107820
171, 109174
172, 120466
173, 133674
174, 131048
175, 112558
176, 160584
177, 177128
178, 145106
179, 115734
180, 115790
181, 135824
182, 112642
183, 114292
184, 134146
185, 134930
186, 110876
187, 108990
188, 120830
189, 129624
190, 110206
191, 109858
192, 107874
193, 136176
194, 108190
195, 107718
196, 107986
197, 133258
198, 110016
199, 107396
200, 109408
201, 138208
202, 109056
203, 118092
204, 107060
205, 116908
206, 101846
207, 103024
208, 86398
209, 99590
210, 83850
211, 84474
212, 103584
213, 102398
214, 88702
215, 89978
216, 89558
217, 105806
218, 107450
219, 86654
220, 86278
221, 93160
222, 87140
223, 82846
224, 86362
225, 101816
226, 85072
227, 86398
228, 85018
229, 109512
230, 85862
231, 84578
232, 83574
233, 122504
234, 97014
235, 82860
236, 102770
237, 125102
238, 104022
239, 103436
240, 122028
241, 127720
242, 103652
243, 102464
244, 102098
245, 128112
246, 103528
247, 102994
248, 102184
249, 131078
250, 116762
251, 101270
252, 103354
253, 128224
254, 103556
255, 103494
256, 105248
257, 133086
258, 111972
259, 102748
260, 91036
261, 131768
262, 92286
263, 91016
264, 95766
265, 130458
266, 82552
267, 84282
268, 102604
269, 148214
270, 161672
271, 151048
272, 104116
273, 177762
274, 91216
275, 87686
276, 86408
277, 107436
278, 86728
279, 89800
280, 122344
281, 114522
282, 85122
283, 83866
284, 84122
285, 103218
286, 86758
287, 86098
288, 86536
289, 105534
290, 85420
291, 84508
292, 85420
293, 105646
294, 86052
295, 84630
296, 115014
297, 114096
298, 84802
299, 84524
300, 84866
301, 105082
302, 84934
303, 84132
304, 85220
305, 105898
306, 85480
307, 85080
308, 86762
309, 105438
310, 84794
311, 84392
312, 97448
313, 112874
314, 106946
315, 114828
316, 108004
317, 129324
318, 108876
319, 105370
320, 103792
321, 127334
322, 103138
323, 101920
324, 129974
325, 128742
326, 103220
327, 115492
328, 108228
329, 143424
330, 107344
331, 108236
332, 107692
333, 130516
334, 108762
335, 109182
336, 109008
337, 133222
338, 116638
339, 93428
340, 94080
341, 115656
342, 93996
343, 101808
344, 94508
345, 118120
346, 99668
347, 98336
348, 94788
349, 119464
350, 99156
351, 94940
352, 116808
353, 120888
354, 98812
355, 100852
356, 98756
357, 119084
358, 100860
359, 92724
360, 92288
361, 124576
362, 94104
363, 78228
364, 77004
365, 98472
366, 79952
367, 87236
368, 79388
369, 107100
370, 80556
371, 96536
372, 99756
373, 129312
374, 92196
375, 90412
376, 93096
377, 115424
378, 93148
379, 88320
380, 108412
381, 113612
382, 92588
383, 91672
384, 95348
385, 124712
386, 94580
387, 95716
388, 94860
389, 124428
390, 93000
391, 92244
392, 93140
393, 117300
394, 89908
395, 92188
396, 94140
397, 111032
398, 92020
399, 91804
400, 99776
401, 117428
402, 93352
403, 94616
404, 104976
405, 110532
406, 88604
407, 89384
408, 106980
409, 116608
410, 91676
411, 92216
412, 92004
413, 152916
414, 91568
415, 92316
416, 95220
417, 125076
418, 93944
419, 101968
420, 106168
421, 117848
422, 92724
423, 92608
424, 91816
425, 120220
426, 88648
427, 93676
428, 93420
429, 116944
430, 91324
