# trial, latency (cycles)
0, 2573254
1, 1894230
2, 1868330
3, 1888424
4, 1849702
5, 1761752
6, 1752412
7, 1712034
8, 1759940
9, 1735120
10, 1687348
11, 1774056
12, 1635512
13, 1662638
14, 1669160
15, 1453964
16, 1429900
17, 1366546
18, 1362244
19, 1415488
20, 1354954
21, 1345186
22, 1383564
23, 1347868
24, 1358632
25, 1420724
26, 1112988
27, 1120340
28, 1145666
29, 1122424
30, 1185124
31, 1159950
32, 1137028
33, 1116472
34, 1154262
35, 1150092
36, 1150718
37, 1188752
38, 1117016
39, 1124066
40, 989654
41, 1026186
42, 980538
43, 987500
44, 978548
45, 991738
46, 944348
47, 979826
48, 922928
49, 955798
50, 926760
51, 966668
52, 1030758
53, 1036362
54, 1020142
55, 996728
56, 872672
57, 922314
58, 889396
59, 903874
60, 942078
61, 862576
62, 887556
63, 904616
64, 899434
65, 1276696
66, 916952
67, 887408
68, 879540
69, 887004
70, 892214
71, 866926
72, 913118
73, 865510
74, 865468
75, 866480
76, 900080
77, 889304
78, 911466
79, 855074
80, 910636
81, 870130
82, 867290
83, 883726
84, 907562
85, 873256
86, 1479072
87, 901834
88, 848242
89, 841122
90, 863798
91, 882372
92, 876016
93, 948514
94, 911238
95, 906604
96, 842756
97, 852040
98, 834044
99, 854696
