# trial, latency (cycles)
# trial, latency (cycles)
0, 3095352
1, 79274
2, 63128
3, 61816
4, 61186
5, 61012
6, 60944
7, 61192
8, 61196
9, 61102
10, 61114
11, 61058
12, 61620
13, 60848
14, 60906
15, 60848
16, 61030
17, 61264
18, 60810
19, 61006
20, 61134
21, 60948
22, 60786
23, 60866
24, 60966
25, 60814
26, 61004
27, 60818
28, 61044
29, 60864
30, 61048
31, 61008
32, 60786
33, 60840
34, 60858
35, 60814
36, 60796
37, 60788
38, 60778
39, 60866
40, 60796
41, 60896
42, 60840
43, 60840
44, 60692
45, 60874
46, 60870
47, 60832
48, 60996
49, 61040
50, 60858
51, 60800
52, 60804
53, 60882
54, 60856
55, 60874
56, 60788
57, 60832
58, 60774
59, 60852
60, 60734
61, 60876
62, 61040
63, 84604
64, 75948
65, 61162
66, 60978
67, 60668
68, 60984
69, 60940
70, 60754
71, 60708
72, 101806
73, 60602
74, 60952
75, 60720
76, 60628
77, 60850
78, 60684
79, 60660
80, 60606
81, 60700
82, 60748
83, 60614
84, 60792
85, 60640
86, 60650
87, 60696
88, 60650
89, 60806
90, 60874
91, 60740
92, 60840
93, 60674
94, 60646
95, 60658
96, 60576
97, 60608
98, 60594
99, 60956
100, 60654
101, 60670
102, 60806
103, 60714
104, 60786
105, 60640
106, 60702
107, 60712
108, 60588
109, 60852
110, 60632
111, 60798
112, 60686
113, 60640
114, 101800
115, 61300
116, 60894
117, 60926
118, 60728
119, 60878
120, 60944
121, 60692
122, 60918
123, 60744
124, 60840
125, 60822
126, 60914
127, 63222
128, 62872
129, 61154
130, 60654
131, 60736
132, 60744
133, 60722
134, 60758
135, 60806
136, 60892
137, 60754
138, 60774
139, 60672
140, 60640
141, 60792
142, 60858
143, 60670
144, 60876
145, 60666
146, 60710
147, 60962
148, 60628
149, 60778
150, 60702
151, 60788
152, 60862
153, 60974
154, 60778
155, 60934
156, 60694
157, 60634
158, 60614
159, 60746
160, 60710
161, 60988
162, 60684
163, 60966
164, 60694
165, 60804
166, 60732
167, 60822
168, 61110
169, 60864
170, 60702
171, 60676
172, 60668
173, 60714
174, 60792
175, 60966
176, 60658
177, 60668
178, 60606
179, 60674
180, 60528
181, 60874
182, 60632
183, 60702
184, 60624
185, 60656
186, 60700
187, 60540
188, 60684
189, 60760
190, 60598
191, 62132
192, 61374
193, 60632
194, 60672
195, 60810
196, 60614
197, 60880
198, 60810
199, 60850
200, 60590
201, 60798
202, 60604
203, 60906
204, 60644
205, 60624
206, 60832
207, 60914
208, 60790
209, 60804
210, 60828
211, 60914
212, 60736
213, 60934
214, 60970
215, 60772
216, 61044
217, 60758
218, 60726
219, 60918
220, 60796
221, 60858
222, 60572
223, 60902
224, 60746
225, 60712
226, 60710
227, 60806
228, 60614
229, 60632
230, 60684
231, 60684
232, 60614
233, 60770
234, 60858
235, 61190
236, 60702
237, 60788
238, 60684
239, 60650
240, 60826
241, 60708
242, 60874
243, 60658
244, 60778
245, 60762
246, 60878
247, 60644
248, 61040
249, 60752
250, 60698
251, 60648
252, 60702
253, 60598
254, 60832
255, 61682
256, 61156
257, 60796
258, 60840
259, 60754
260, 60674
261, 61204
262, 60684
263, 60804
264, 60520
265, 60928
266, 60618
267, 60944
268, 60856
269, 60720
270, 60788
271, 60624
272, 61014
273, 60914
274, 60894
275, 60850
276, 61040
277, 60818
278, 60908
279, 60850
280, 60598
281, 60830
282, 60674
283, 60788
284, 78194
285, 60870
286, 60728
287, 60554
288, 61024
289, 60868
290, 60710
291, 60812
292, 60748
293, 60744
294, 60714
295, 60736
296, 60786
297, 60710
298, 60692
299, 60688
300, 60786
301, 60926
302, 60718
303, 60646
304, 60668
305, 60694
306, 60694
307, 60712
308, 60736
309, 60810
310, 60962
311, 60814
312, 60856
313, 60900
314, 61292
315, 61222
316, 60682
317, 60658
318, 60622
319, 81834
320, 62080
321, 60766
322, 60686
323, 60838
324, 60622
325, 60692
326, 60850
327, 60848
328, 60892
329, 61126
330, 60922
331, 60726
332, 60970
333, 60762
334, 61142
335, 60812
336, 60718
337, 60728
338, 60948
339, 60718
340, 60992
341, 60884
342, 60904
343, 60784
344, 60870
345, 60810
346, 60978
347, 60804
348, 60862
349, 60688
350, 60856
351, 60726
352, 60728
353, 60806
354, 60724
355, 60726
356, 60588
357, 60692
358, 60598
359, 60702
360, 61112
361, 60770
362, 60736
363, 60722
364, 61032
365, 60648
366, 60670
367, 60608
368, 60772
369, 60896
370, 60632
371, 60620
372, 60796
373, 60824
374, 60818
375, 60786
376, 86384
377, 40562
378, 40494
379, 40524
380, 40694
381, 40502
382, 40622
383, 41516
384, 40924
385, 40570
386, 40490
387, 40560
388, 40530
389, 40668
390, 40672
391, 40772
392, 40598
393, 40582
394, 40686
395, 40554
396, 40532
397, 40492
398, 40692
399, 40716
400, 40776
401, 40566
402, 40586
403, 40584
404, 40650
405, 40816
406, 40668
407, 40678
408, 40634
409, 40684
410, 40584
411, 40570
412, 40542
413, 40844
414, 40528
415, 40588
416, 40566
417, 40522
418, 40550
419, 40698
420, 40610
421, 40588
422, 40564
423, 40646
424, 40598
425, 40692
426, 40584
427, 40570
428, 40820
429, 40594
430, 40696
431, 40578
432, 40476
433, 40702
434, 40616
435, 40544
436, 40722
437, 40660
438, 40590
439, 40566
440, 40522
441, 40684
442, 40424
443, 40564
444, 40570
445, 40560
446, 40626
447, 41144
448, 40956
449, 40616
450, 40552
451, 40698
452, 40640
453, 40604
454, 40546
455, 40574
456, 40432
457, 40530
458, 40484
459, 40560
460, 40646
461, 40526
462, 40604
463, 40488
464, 40518
465, 40490
466, 40574
467, 40546
468, 40654
469, 40502
470, 40786
471, 40718
472, 40552
473, 40500
474, 40658
475, 40522
476, 40760
477, 40592
478, 40694
479, 40560
480, 40716
481, 40554
482, 40630
483, 40664
484, 40560
485, 40682
486, 40510
487, 40580
488, 40540
489, 40760
