# trial, latency (cycles)
# trial, latency (cycles)
0, 3285452
1, 50164
2, 34674
3, 33432
4, 33538
5, 33536
6, 33448
7, 33376
8, 33462
9, 33266
10, 33334
11, 33474
12, 33512
13, 33458
14, 33220
15, 33426
16, 33288
17, 33306
18, 33210
19, 33280
20, 33306
21, 33466
22, 33292
23, 33362
24, 33302
25, 33358
26, 33540
27, 33290
28, 33302
29, 33306
30, 33250
31, 33402
32, 33516
33, 33258
34, 33452
35, 33228
36, 33648
37, 33316
38, 33342
39, 33606
40, 33332
41, 33458
42, 33436
43, 33296
44, 33332
45, 33540
46, 33254
47, 33356
48, 33426
49, 33332
50, 33544
51, 33386
52, 33282
53, 33344
54, 33288
55, 33264
56, 33350
57, 33306
58, 33314
59, 33270
60, 33314
61, 33310
62, 33330
63, 33314
64, 46454
65, 33606
66, 33480
67, 33236
68, 33410
69, 33232
70, 33240
71, 33262
72, 33540
73, 33496
74, 33454
75, 33230
76, 33318
77, 33392
78, 33280
79, 33298
80, 33566
81, 33340
82, 33322
83, 33498
84, 33268
85, 33266
86, 33398
87, 33368
88, 33292
89, 33462
90, 33426
91, 33516
92, 33324
93, 33310
94, 33302
95, 33400
96, 33436
97, 33388
98, 33462
99, 33354
100, 33370
101, 33298
102, 33592
103, 33350
104, 33582
105, 33316
106, 33316
107, 33276
108, 33314
109, 33314
110, 33302
111, 33496
112, 33272
113, 33302
114, 33444
115, 33466
116, 33228
117, 33244
118, 33240
119, 33278
120, 33262
121, 33412
122, 33514
123, 33318
124, 33548
125, 33342
126, 33314
127, 33246
128, 34642
129, 33302
130, 33470
131, 33264
132, 33332
133, 33444
134, 33244
135, 33228
136, 33480
137, 33204
138, 33322
139, 33320
140, 33314
141, 33306
142, 33530
143, 33292
144, 33412
145, 33292
146, 33276
147, 33428
148, 33350
149, 33228
150, 33304
151, 33414
152, 33466
153, 33272
154, 33392
155, 33322
156, 33306
157, 33328
158, 33318
159, 33350
160, 33290
161, 33410
162, 33488
163, 33374
164, 33544
165, 33268
166, 33298
167, 33314
168, 33280
169, 33366
170, 33462
171, 33342
172, 33288
173, 33346
174, 33506
175, 33328
176, 33348
177, 33436
178, 33318
179, 33348
180, 33228
181, 33324
182, 33290
183, 33254
184, 33332
185, 33302
186, 33236
187, 33462
188, 33306
189, 33384
190, 33402
191, 33342
192, 33850
193, 33384
194, 33340
195, 33336
196, 33344
197, 33332
198, 33318
199, 33226
200, 33306
201, 33322
202, 33288
203, 33294
204, 33324
205, 33280
206, 33464
207, 33332
208, 33294
209, 33254
210, 33228
211, 33272
212, 33480
213, 33288
214, 33252
215, 33214
216, 33418
217, 33362
218, 33262
219, 33246
220, 33322
221, 33298
222, 33280
223, 33410
224, 33310
225, 33306
226, 33320
227, 33384
228, 33302
229, 33322
230, 33340
231, 33262
232, 33504
233, 33316
234, 33282
235, 33246
236, 33306
237, 33480
238, 33304
239, 33314
240, 33478
241, 33324
242, 33266
243, 33310
244, 33420
245, 33462
246, 33824
247, 33518
248, 33408
249, 33488
250, 33314
251, 33410
252, 33418
253, 33298
254, 33436
255, 33268
256, 33636
257, 33358
258, 33418
259, 33492
260, 33262
261, 33490
262, 33246
263, 33288
264, 33418
265, 33272
266, 33366
267, 33272
268, 33514
269, 33316
270, 33524
271, 33296
272, 33362
273, 33258
274, 33336
275, 33306
276, 33288
277, 33280
278, 33532
279, 33350
280, 33330
281, 33332
282, 33322
283, 33266
284, 33398
285, 33232
286, 33346
287, 33224
288, 33298
289, 33250
290, 33284
291, 33276
292, 33496
293, 33262
294, 33320
295, 33492
296, 33344
297, 33298
298, 33516
299, 33358
300, 33374
301, 33528
302, 33280
303, 73848
304, 33358
305, 33262
306, 33324
307, 33258
308, 33474
309, 33294
310, 33410
311, 33438
312, 33280
313, 33392
314, 33228
315, 33318
316, 33344
317, 33358
318, 33354
319, 33652
320, 34012
321, 33310
322, 33466
323, 33384
324, 33340
325, 33558
326, 33336
327, 33410
328, 33272
329, 33318
330, 33336
331, 33322
332, 33290
333, 33282
334, 33342
335, 33554
336, 33322
337, 33388
338, 33488
339, 33296
340, 33522
341, 33406
342, 33298
343, 33396
344, 33264
345, 33236
346, 33254
347, 33266
348, 33556
349, 33302
350, 33462
351, 33414
352, 33418
353, 33246
354, 33380
355, 33444
356, 33358
357, 33514
358, 33292
359, 33346
360, 33310
361, 33488
362, 33434
363, 33506
364, 33288
365, 33454
366, 33454
367, 33244
368, 33410
369, 33488
370, 33280
371, 33230
372, 33418
373, 33244
374, 33276
375, 33358
376, 33302
377, 33254
378, 33438
379, 33244
380, 33272
381, 33280
382, 33304
383, 33228
384, 33862
385, 33288
386, 33332
387, 33662
388, 33328
389, 33272
390, 33266
391, 33292
392, 33314
393, 33544
394, 33306
395, 33250
396, 33350
397, 33262
398, 33348
399, 33502
400, 33472
401, 33354
402, 33512
403, 33288
404, 33254
405, 33362
406, 33384
407, 33514
408, 33268
409, 33488
410, 33324
411, 33332
412, 33314
413, 33310
414, 33306
415, 33270
416, 33424
417, 33272
418, 33250
419, 33350
420, 33368
421, 33526
422, 33330
423, 33270
424, 33462
425, 33306
426, 33444
427, 33358
428, 33316
429, 33314
430, 33316
431, 33356
432, 33268
433, 33314
434, 33288
435, 33314
436, 33340
437, 33272
438, 33314
439, 33254
440, 33348
441, 33536
442, 33376
443, 33436
444, 33354
445, 33282
446, 33440
447, 33284
448, 33532
449, 33244
450, 33302
451, 33452
452, 33306
453, 33282
454, 33258
455, 33510
456, 33324
457, 33356
458, 33428
459, 33574
460, 33282
461, 33714
462, 33332
463, 33290
464, 33362
465, 33342
466, 33296
467, 33498
468, 33310
469, 33270
470, 33280
471, 33272
472, 33406
473, 33272
474, 33294
475, 33290
476, 33462
477, 33336
478, 33344
479, 33246
480, 33306
481, 33450
482, 33306
483, 33540
484, 33310
485, 33506
486, 33296
487, 33306
488, 33414
489, 33266
490, 33306
491, 33332
492, 33384
493, 33502
494, 33420
495, 33272
496, 33452
497, 33348
498, 33342
499, 33464
500, 33344
501, 33506
502, 33322
503, 33358
504, 33332
505, 34490
506, 33444
507, 33342
508, 33342
509, 33306
510, 33518
511, 33384
512, 33808
513, 33366
514, 33340
515, 33288
516, 33392
517, 33256
518, 33254
519, 33496
520, 33278
521, 33302
522, 33314
523, 33246
524, 33374
525, 33342
526, 33362
527, 33604
528, 33306
529, 33322
530, 33480
531, 33332
532, 33492
533, 33496
534, 33298
535, 33480
536, 33330
537, 33376
538, 33254
539, 33462
540, 33402
541, 33296
542, 33454
543, 33292
544, 33310
545, 33496
546, 33254
547, 33340
548, 33446
549, 33426
550, 33354
551, 33342
552, 33324
553, 33466
554, 33474
555, 33418
556, 33350
557, 33294
558, 33226
559, 33318
560, 33250
561, 33626
562, 33298
563, 33332
564, 33358
565, 33240
566, 33254
567, 33384
568, 33322
569, 33310
570, 33332
571, 33254
572, 33262
573, 33314
574, 33238
575, 33370
576, 33952
577, 33418
578, 33324
579, 33254
580, 33310
581, 33322
582, 33452
583, 33236
584, 33412
585, 33332
586, 33478
587, 33332
588, 33358
589, 33358
590, 33332
591, 33374
592, 33532
593, 33322
594, 55450
595, 37468
596, 33302
597, 33446
598, 33514
599, 33256
600, 33202
601, 33392
602, 33350
603, 33280
604, 33452
605, 33292
606, 33332
607, 33342
608, 58472
609, 22176
610, 22190
611, 22210
612, 22266
613, 22242
614, 22232
615, 22240
616, 22328
617, 22234
618, 22266
619, 22210
620, 22366
621, 22290
622, 22250
623, 22180
624, 22218
625, 22272
626, 22222
627, 22236
628, 22218
629, 22242
630, 22364
631, 22196
632, 22190
633, 22354
634, 22196
635, 22200
636, 22180
637, 22390
638, 22180
639, 22212
640, 22532
641, 22272
642, 22318
643, 22320
644, 22204
645, 22214
646, 22314
647, 22198
648, 22320
649, 22232
650, 22204
651, 22246
652, 22226
653, 22154
654, 22266
655, 22218
656, 22182
657, 22222
658, 22298
659, 22204
660, 22256
661, 22312
662, 22204
663, 22158
664, 22242
665, 22190
666, 22322
667, 22286
668, 22276
669, 22330
670, 22198
671, 22242
672, 22306
673, 22318
674, 22220
675, 22332
676, 22228
677, 22202
678, 22218
679, 22222
680, 22306
681, 22170
682, 22190
683, 22196
684, 22194
685, 22324
686, 22382
687, 22196
688, 22208
689, 22302
690, 22284
691, 22212
692, 22306
693, 22232
694, 22356
695, 22214
696, 22204
697, 22194
698, 22280
699, 22152
700, 22284
701, 22186
702, 22202
703, 22192
704, 22450
705, 22204
706, 22360
707, 22226
708, 22298
709, 22374
710, 22218
711, 22302
712, 22356
713, 22312
714, 22212
715, 22246
716, 22320
717, 22318
718, 22224
719, 22208
720, 22248
721, 22336
722, 22194
723, 22232
724, 22340
725, 22222
726, 22266
727, 22186
728, 22178
729, 22270
730, 22322
731, 22204
732, 22208
733, 22172
734, 22242
735, 22322
736, 22226
737, 22252
738, 22300
739, 22290
740, 22194
741, 22186
742, 22428
743, 22182
744, 22256
745, 22308
746, 22232
747, 22350
748, 22232
749, 22212
750, 22312
751, 22204
752, 22236
753, 22212
754, 22200
755, 22194
756, 22190
757, 22162
758, 22282
759, 22298
760, 22232
761, 22292
762, 22276
763, 22182
764, 22326
765, 22218
766, 22188
767, 22194
768, 22392
769, 22176
770, 22328
771, 22186
772, 22210
773, 22324
774, 22216
775, 22202
776, 22222
777, 22250
778, 22200
779, 22236
780, 22310
781, 22302
782, 22324
783, 22214
784, 22338
785, 22264
786, 22300
787, 22298
788, 22186
789, 22260
790, 22240
791, 22186
792, 22266
793, 22330
794, 22236
795, 22228
796, 22176
797, 22218
798, 22346
799, 22330
800, 22188
801, 22198
802, 22304
803, 22324
804, 22232
805, 22288
806, 22228
807, 22246
808, 22266
809, 22220
810, 22180
811, 22228
812, 22346
813, 22208
814, 22322
815, 22200
816, 22274
817, 22214
818, 22426
819, 22214
820, 22220
821, 22166
822, 22180
823, 22164
824, 22208
825, 22236
826, 22238
827, 22212
828, 22222
829, 22156
830, 22212
831, 22208
832, 22454
833, 22214
834, 22226
835, 22246
836, 22294
837, 22312
838, 22250
839, 22232
840, 22266
841, 22158
842, 22190
843, 22146
844, 22166
845, 22200
846, 22434
847, 22218
848, 22260
849, 22520
850, 22204
851, 22218
852, 22288
853, 22190
854, 22342
855, 22210
856, 22196
857, 22204
858, 22156
859, 22176
860, 22180
861, 22240
862, 22252
863, 22198
864, 22208
865, 22322
866, 22196
867, 22200
868, 22220
869, 22246
870, 22178
871, 22204
872, 22226
873, 22228
874, 22166
875, 22318
876, 22198
877, 22256
878, 22218
879, 22204
880, 22300
881, 22208
882, 22180
883, 22204
884, 22232
885, 22322
886, 22232
887, 22220
888, 22186
889, 22236
890, 22204
891, 22278
892, 22218
893, 22170
894, 22212
895, 22194
896, 22652
897, 22322
898, 22204
899, 22246
900, 22222
901, 22316
902, 22140
903, 22322
904, 22222
905, 22246
906, 22346
907, 22218
908, 22242
909, 22242
910, 22184
911, 22198
912, 22214
913, 22716
914, 22218
915, 22312
916, 22154
917, 22356
918, 22174
919, 22198
920, 22220
921, 22148
922, 22190
923, 22322
924, 22220
925, 22170
926, 22190
927, 22242
928, 22296
929, 22216
930, 22198
931, 22176
932, 22238
933, 22208
934, 22160
935, 22196
936, 22192
937, 22204
938, 22212
939, 22212
940, 22280
941, 22222
942, 22342
943, 22224
944, 22420
945, 22214
946, 22218
947, 22330
948, 22162
949, 22288
950, 22176
951, 22188
952, 22168
953, 22220
954, 22298
955, 22190
956, 22218
957, 22180
958, 22204
959, 22190
960, 22422
961, 22196
962, 22160
963, 22384
964, 22314
965, 22180
966, 22312
967, 22196
968, 22152
969, 22214
970, 22416
971, 22228
972, 22318
973, 22222
974, 22358
975, 22204
976, 22204
977, 22254
978, 22226
979, 22260
980, 22168
981, 22194
982, 22204
983, 22398
984, 22286
985, 22246
986, 22204
987, 22178
988, 22180
989, 22190
990, 22210
991, 22172
992, 22170
993, 22192
994, 22218
995, 22232
996, 22298
997, 22336
998, 22222
999, 22180
