# trial, latency (cycles)
0, 261200
1, 40468
2, 35394
3, 35246
4, 35164
5, 35274
6, 35110
7, 35136
8, 35052
9, 35122
10, 35258
11, 35168
12, 35064
13, 35064
14, 35100
15, 35030
16, 35130
17, 35056
18, 35550
19, 35006
20, 35104
21, 35118
22, 35144
23, 35180
24, 35204
25, 35152
26, 35218
27, 35124
28, 35204
29, 35092
30, 35234
31, 35472
32, 35212
33, 35142
34, 35108
35, 35292
36, 35074
37, 35176
38, 35084
39, 35342
40, 35126
41, 35270
42, 35108
43, 35152
44, 35112
45, 35504
46, 35082
47, 35082
48, 35100
49, 35104
50, 34984
51, 35178
52, 35200
53, 35066
54, 34958
55, 34978
56, 35048
57, 35052
58, 35040
59, 35022
60, 35026
61, 35066
62, 34986
63, 35230
64, 34918
65, 35032
66, 35004
67, 35226
68, 34996
69, 35204
70, 35118
71, 35170
72, 34992
73, 35070
74, 35082
75, 35082
76, 35098
77, 35330
78, 35342
79, 35102
80, 35278
81, 35152
82, 35162
83, 35126
84, 35100
85, 35056
86, 35126
87, 35104
88, 35136
89, 35282
90, 35162
91, 35234
92, 35160
93, 35116
94, 35238
95, 35216
96, 35318
97, 35234
98, 34962
99, 35034
100, 34974
101, 35060
102, 35282
103, 35018
104, 35110
105, 35114
106, 35022
107, 35048
108, 35222
109, 35056
110, 35034
111, 35242
112, 35036
113, 35056
114, 35272
115, 35074
116, 35162
117, 35082
118, 35144
119, 35310
120, 35134
121, 35152
122, 35148
123, 35178
124, 35092
125, 35178
126, 35186
127, 35360
128, 35126
129, 35102
130, 35382
131, 35162
132, 35100
133, 35282
134, 35040
135, 35036
136, 35014
137, 35072
138, 35134
139, 35144
140, 35066
141, 35256
142, 35214
143, 35178
144, 35134
145, 35030
146, 35208
147, 35108
148, 35074
149, 35186
150, 35104
151, 35382
152, 35136
153, 35076
154, 35126
155, 35126
156, 35152
157, 60852
158, 35194
159, 35144
160, 35048
161, 35394
162, 35100
163, 35246
164, 35222
165, 35330
166, 35174
167, 35100
168, 35274
169, 35092
170, 35196
171, 35230
172, 35052
173, 35282
174, 35316
175, 35170
176, 35308
177, 35130
178, 35204
179, 35290
180, 35152
181, 35070
182, 35090
183, 35086
184, 35308
185, 35192
186, 35318
187, 35192
188, 35352
189, 35152
190, 35176
191, 35112
192, 35156
193, 35334
194, 35122
195, 35082
196, 35168
197, 35118
198, 35112
199, 35324
200, 35294
201, 35152
202, 35186
203, 35122
204, 35112
205, 35150
206, 35152
207, 35222
208, 35118
209, 35142
210, 35196
211, 35178
212, 35160
213, 35154
214, 35112
215, 35138
216, 35348
217, 35180
218, 35082
219, 35320
220, 35200
221, 35122
222, 35030
223, 35048
224, 35088
225, 35136
226, 35144
227, 35058
228, 35230
229, 35030
230, 35048
231, 35178
232, 35168
233, 35074
234, 35190
235, 35140
236, 35386
237, 35118
238, 35156
239, 35186
240, 35100
241, 35312
242, 35190
243, 35116
244, 35292
245, 35122
246, 35152
247, 35110
248, 35128
249, 35126
250, 35126
251, 35066
252, 35134
253, 35404
254, 35274
255, 35140
256, 35212
257, 35336
258, 35206
259, 35168
260, 35144
261, 35116
262, 35082
263, 35274
264, 35192
265, 35344
266, 35160
267, 35230
268, 35124
269, 35170
270, 35290
271, 35144
272, 35196
273, 35162
274, 35166
275, 35122
276, 35130
277, 35342
278, 35160
279, 35192
280, 35322
281, 35152
282, 35168
283, 35118
284, 35134
