# trial, First Instruction, Load 32-bit GDT, Protected Mode Enable, Protected Transition, Paging identity mapping, Load 64-bit GDT, Jump to 64-bit
0, 116, 9504, 9792, 568, 164698, 12522, 646
1, 112, 512, 6456, 572, 62028, 2096, 2228
2, 114, 506, 6252, 560, 57396, 2104, 2212
3, 120, 502, 6188, 560, 56944, 2098, 2218
4, 112, 504, 6188, 564, 57120, 2094, 2224
5, 116, 504, 6170, 564, 57156, 2106, 2218
6, 116, 504, 6188, 572, 56982, 2094, 2214
7, 116, 504, 6180, 562, 56966, 2098, 2236
8, 114, 510, 6180, 562, 57010, 2102, 2222
9, 116, 508, 6188, 570, 57122, 2094, 2214
10, 114, 506, 6158, 562, 57096, 2094, 2224
11, 120, 502, 6154, 556, 57008, 2102, 2232
12, 114, 510, 6162, 580, 56984, 2098, 2226
13, 112, 504, 6152, 572, 56936, 2106, 2240
14, 116, 506, 6136, 564, 56932, 2096, 2212
15, 114, 502, 6162, 564, 56904, 2098, 2220
16, 116, 504, 6154, 562, 56932, 2098, 2226
17, 116, 504, 6152, 564, 56988, 2094, 2226
18, 120, 504, 6152, 564, 56984, 2104, 2212
19, 112, 504, 6188, 570, 56984, 2102, 2214
20, 114, 498, 6192, 564, 56956, 2098, 2228
21, 116, 504, 6170, 564, 56878, 2094, 2232
22, 116, 498, 6162, 564, 56922, 2116, 2234
23, 114, 506, 6200, 560, 56952, 2094, 2222
24, 112, 512, 6188, 580, 56948, 2094, 2224
25, 114, 502, 6196, 560, 57014, 2106, 2218
26, 114, 502, 6188, 564, 56970, 2106, 2214
27, 112, 504, 6188, 562, 57052, 2094, 2222
28, 116, 508, 6196, 572, 56940, 2098, 2234
29, 112, 502, 6180, 564, 56992, 2098, 2210
30, 116, 506, 6176, 560, 56982, 2090, 2222
31, 116, 504, 6188, 562, 56902, 2102, 2228
32, 116, 506, 6188, 560, 56992, 2136, 2218
33, 112, 504, 6204, 572, 56974, 2098, 2236
34, 114, 502, 6172, 562, 56992, 2106, 2220
35, 112, 502, 6188, 564, 57104, 2094, 2224
36, 114, 506, 6200, 572, 56966, 2094, 2214
37, 114, 510, 6176, 576, 56962, 2094, 2226
38, 114, 506, 6192, 564, 56940, 2106, 2228
39, 114, 502, 6170, 568, 56840, 2102, 2214
40, 112, 504, 6188, 562, 56962, 2094, 2226
41, 120, 504, 6178, 568, 56954, 2104, 2238
42, 112, 512, 6180, 570, 56940, 2106, 2228
43, 120, 502, 6180, 568, 57014, 2098, 2226
44, 112, 504, 6162, 562, 56932, 2098, 2236
45, 112, 512, 6178, 574, 56966, 2104, 2212
46, 112, 504, 6218, 560, 56964, 2098, 2218
47, 116, 506, 6180, 572, 57052, 2094, 2222
48, 116, 496, 6186, 574, 56974, 2096, 2212
49, 116, 504, 6188, 564, 56896, 2098, 2236
50, 112, 502, 6172, 562, 56898, 2098, 2234
51, 116, 506, 6188, 572, 56976, 2096, 2220
52, 112, 504, 6204, 572, 56966, 2106, 2236
53, 114, 506, 6176, 562, 56940, 2102, 2248
54, 120, 502, 6172, 572, 56996, 2102, 2226
55, 116, 506, 6190, 562, 56922, 2094, 2232
56, 114, 510, 6170, 572, 57044, 2094, 2214
57, 112, 504, 6178, 572, 56922, 2098, 2244
58, 112, 504, 6162, 570, 56976, 2106, 2214
59, 114, 502, 6196, 564, 56922, 2098, 2210
60, 116, 506, 6190, 570, 57070, 2094, 2222
61, 112, 512, 6188, 580, 56974, 2098, 2218
62, 112, 504, 6188, 570, 56906, 2106, 2236
63, 114, 506, 6188, 568, 56914, 2096, 2228
64, 112, 504, 6162, 570, 56928, 2094, 2226
65, 114, 502, 6180, 572, 56930, 2098, 2236
66, 116, 504, 6180, 562, 57026, 2094, 2224
67, 116, 504, 6196, 556, 56904, 2102, 2224
68, 120, 502, 6180, 572, 56974, 2094, 2214
69, 116, 506, 6188, 564, 56958, 2114, 2236
70, 114, 502, 6188, 564, 56982, 2094, 2222
71, 114, 506, 6192, 564, 56914, 2098, 2236
72, 114, 502, 6188, 568, 56966, 2094, 2222
73, 112, 504, 6200, 568, 56948, 2106, 2236
74, 112, 504, 6186, 572, 56940, 2106, 2238
75, 116, 506, 6198, 564, 56952, 2102, 2218
76, 114, 502, 6162, 564, 56866, 2110, 2220
77, 114, 510, 6172, 570, 56932, 2098, 2218
78, 116, 504, 6192, 568, 56930, 2106, 2236
79, 112, 502, 6176, 568, 56906, 2106, 2226
80, 116, 498, 6198, 570, 56966, 2098, 2218
81, 112, 504, 6186, 564, 56950, 2104, 2212
82, 114, 510, 6198, 562, 56958, 2096, 2228
