# trial, bytes, microseconds
0, 32, 942.948975
1, 32, 689.106018
2, 32, 704.413025
3, 32, 694.968018
4, 32, 673.203979
5, 32, 689.434021
6, 32, 691.395020
7, 32, 638.713989
8, 32, 443.062988
9, 32, 444.084015
0, 64, 436.806000
1, 64, 428.446991
2, 64, 445.923004
3, 64, 430.635986
4, 64, 420.920013
5, 64, 437.359985
6, 64, 428.579987
7, 64, 427.661011
8, 64, 427.355011
9, 64, 429.537994
0, 128, 452.446991
1, 128, 442.815002
2, 128, 426.326996
3, 128, 439.816010
4, 128, 420.859985
5, 128, 436.744995
6, 128, 436.617004
7, 128, 435.692993
8, 128, 426.893005
9, 128, 435.415009
0, 256, 428.815002
1, 256, 444.785004
2, 256, 440.536011
3, 256, 427.220001
4, 256, 430.197998
5, 256, 438.128998
6, 256, 426.162994
7, 256, 438.273987
8, 256, 421.364990
9, 256, 438.548004
0, 512, 436.500000
1, 512, 435.457001
2, 512, 465.316010
3, 512, 432.902008
4, 512, 417.596985
5, 512, 423.928009
6, 512, 420.135010
7, 512, 429.462006
8, 512, 422.973999
9, 512, 428.932007
0, 1024, 445.239014
1, 1024, 429.079987
2, 1024, 429.002014
3, 1024, 438.968994
4, 1024, 427.722992
5, 1024, 428.571014
6, 1024, 429.329010
7, 1024, 433.080994
8, 1024, 429.897003
9, 1024, 440.333008
0, 2048, 437.213989
1, 2048, 439.976990
2, 2048, 452.665985
3, 2048, 451.476013
4, 2048, 444.011993
5, 2048, 418.557007
6, 2048, 425.933014
7, 2048, 424.490997
8, 2048, 419.183990
9, 2048, 427.712006
0, 4096, 426.941010
1, 4096, 415.229004
2, 4096, 426.010010
3, 4096, 426.429993
4, 4096, 425.000000
5, 4096, 434.209991
6, 4096, 429.402008
7, 4096, 425.299988
8, 4096, 419.917999
9, 4096, 445.252014
0, 8192, 449.276001
1, 8192, 431.894012
2, 8192, 425.092987
3, 8192, 430.674988
4, 8192, 427.674988
5, 8192, 443.709015
6, 8192, 439.259003
7, 8192, 436.286987
8, 8192, 426.924011
9, 8192, 434.576996
0, 16384, 446.037994
1, 16384, 536.223022
2, 16384, 429.821991
3, 16384, 424.503998
4, 16384, 428.973999
5, 16384, 430.397003
6, 16384, 432.558990
7, 16384, 427.670013
8, 16384, 422.437012
9, 16384, 430.735992
0, 32768, 440.079010
1, 32768, 429.390991
2, 32768, 433.533997
3, 32768, 439.208008
4, 32768, 430.117004
5, 32768, 432.368011
6, 32768, 429.979004
7, 32768, 614.281982
8, 32768, 436.848999
9, 32768, 434.371002
0, 65536, 449.649994
1, 65536, 439.868988
2, 65536, 445.712006
3, 65536, 445.511993
4, 65536, 441.484985
5, 65536, 438.636993
6, 65536, 449.112000
7, 65536, 446.368011
8, 65536, 448.453003
9, 65536, 442.360992
0, 131072, 506.032013
1, 131072, 471.031006
2, 131072, 470.317993
3, 131072, 481.636993
4, 131072, 475.851990
5, 131072, 477.610992
6, 131072, 471.027008
7, 131072, 473.747009
8, 131072, 658.554016
9, 131072, 473.548004
0, 262144, 571.728027
1, 262144, 519.559998
2, 262144, 515.507996
3, 262144, 529.060974
4, 262144, 521.296997
5, 262144, 515.575989
6, 262144, 528.872986
7, 262144, 523.268982
8, 262144, 529.473022
9, 262144, 520.913025
0, 524288, 719.856995
1, 524288, 619.239014
2, 524288, 630.059998
3, 524288, 607.625000
4, 524288, 614.883972
5, 524288, 609.572998
6, 524288, 755.372009
7, 524288, 614.348999
8, 524288, 609.018005
9, 524288, 611.612000
0, 1048576, 1016.976990
1, 1048576, 818.111023
2, 1048576, 816.590027
3, 1048576, 801.700012
4, 1048576, 811.124023
5, 1048576, 798.443970
6, 1048576, 801.534973
7, 1048576, 804.369995
8, 1048576, 809.963989
9, 1048576, 799.273010
0, 2097152, 1749.795044
1, 2097152, 1237.578003
2, 2097152, 1212.503052
3, 2097152, 1189.842041
4, 2097152, 1190.396973
5, 2097152, 1192.366943
6, 2097152, 1188.571045
7, 2097152, 1208.660034
8, 2097152, 1184.713989
9, 2097152, 1187.718994
0, 4194304, 2952.595947
1, 4194304, 2037.469971
2, 4194304, 1975.743042
3, 4194304, 1957.326050
4, 4194304, 1951.045044
5, 4194304, 1952.102051
6, 4194304, 2053.486084
7, 4194304, 1963.473022
8, 4194304, 1956.520020
9, 4194304, 1959.685059
0, 8388608, 5118.020020
1, 8388608, 3758.936035
2, 8388608, 3549.071045
3, 8388608, 3494.275879
4, 8388608, 3475.356934
5, 8388608, 3460.750977
6, 8388608, 3521.687012
7, 8388608, 3466.225098
8, 8388608, 3464.872070
9, 8388608, 3457.365967
0, 16777216, 9819.159180
1, 16777216, 7666.732910
2, 16777216, 7036.555176
3, 16777216, 6792.733887
4, 16777216, 6693.590820
5, 16777216, 6665.632812
6, 16777216, 6692.452148
7, 16777216, 6651.925781
8, 16777216, 6455.047852
9, 16777216, 6735.234863
