# trial, microseconds
0, 168
1, 78
2, 72
3, 67
4, 72
5, 71
6, 72
7, 71
8, 71
9, 71
10, 72
11, 71
12, 71
13, 71
14, 72
15, 71
16, 71
17, 71
18, 71
19, 72
20, 71
21, 71
22, 70
23, 71
24, 71
25, 71
26, 71
27, 71
28, 84
29, 72
30, 71
31, 72
32, 70
33, 70
34, 72
35, 73
36, 71
37, 72
38, 72
39, 71
40, 71
41, 71
42, 71
43, 72
44, 71
45, 72
46, 73
47, 71
48, 71
49, 71
50, 71
51, 72
52, 72
53, 71
54, 72
55, 72
56, 71
57, 71
58, 71
59, 72
60, 71
61, 71
62, 90
63, 72
64, 71
65, 70
66, 71
67, 71
68, 71
69, 71
70, 69
71, 71
72, 68
73, 71
74, 71
75, 72
76, 71
77, 70
78, 71
79, 71
80, 72
81, 72
82, 36
83, 35
84, 34
85, 34
86, 33
87, 33
88, 37
89, 35
90, 36
91, 35
92, 35
93, 36
94, 36
95, 35
96, 35
97, 36
98, 36
99, 35
100, 36
101, 36
102, 35
103, 38
104, 36
105, 36
106, 36
107, 36
108, 35
109, 24
110, 25
111, 25
112, 25
113, 24
114, 24
115, 25
116, 25
117, 25
118, 25
119, 24
120, 25
121, 24
122, 25
123, 24
124, 25
125, 33
126, 24
127, 24
128, 25
129, 25
130, 25
131, 24
132, 24
133, 25
134, 24
135, 25
136, 25
137, 24
138, 24
139, 24
140, 25
141, 25
142, 24
143, 24
144, 24
145, 24
146, 24
147, 24
148, 25
149, 24
150, 24
151, 24
152, 24
153, 24
154, 25
155, 25
156, 25
157, 25
158, 25
159, 24
160, 24
161, 24
162, 24
163, 24
164, 24
165, 24
166, 24
167, 24
168, 24
169, 24
170, 24
171, 24
172, 24
173, 24
174, 24
175, 24
176, 24
177, 24
178, 24
179, 24
180, 25
181, 24
182, 24
183, 25
184, 25
185, 24
186, 24
187, 24
188, 24
189, 24
190, 24
191, 24
192, 24
193, 24
194, 25
195, 25
196, 24
197, 30
198, 25
199, 25
200, 24
201, 24
202, 24
203, 24
204, 24
205, 25
206, 31
207, 25
208, 25
209, 25
210, 25
211, 25
212, 25
213, 24
214, 24
215, 25
216, 24
217, 24
218, 25
219, 25
220, 25
221, 25
222, 24
223, 24
224, 30
225, 24
226, 24
227, 23
228, 24
229, 25
230, 24
231, 25
232, 25
233, 25
234, 24
235, 25
236, 24
237, 24
238, 25
239, 24
240, 24
241, 24
242, 24
243, 25
244, 24
245, 24
246, 24
247, 24
248, 25
249, 24
250, 25
251, 24
252, 24
253, 24
254, 25
255, 25
256, 24
257, 24
258, 24
259, 23
260, 24
261, 23
262, 24
263, 24
264, 24
265, 24
266, 24
267, 24
268, 24
269, 25
270, 25
271, 24
272, 24
273, 24
274, 23
275, 24
276, 25
277, 24
278, 25
279, 25
280, 24
281, 24
282, 24
283, 24
284, 24
285, 24
286, 25
287, 24
288, 24
289, 25
290, 24
291, 24
292, 24
293, 24
294, 24
295, 24
296, 23
297, 40
298, 24
299, 24
300, 25
301, 25
302, 25
303, 25
304, 25
305, 24
306, 24
307, 24
308, 24
309, 25
310, 25
311, 25
312, 24
313, 24
314, 25
315, 24
316, 25
317, 35
318, 25
319, 26
320, 25
321, 25
322, 26
323, 25
324, 25
325, 25
326, 25
327, 26
328, 25
329, 26
330, 25
331, 26
332, 25
333, 25
334, 25
335, 26
336, 25
337, 25
338, 26
339, 25
340, 25
341, 24
342, 25
343, 25
344, 24
345, 25
346, 25
347, 25
348, 24
349, 38
350, 26
351, 25
352, 25
353, 26
354, 25
355, 25
356, 25
357, 26
358, 26
359, 25
360, 24
361, 24
362, 25
363, 25
364, 25
365, 25
366, 25
367, 25
368, 25
369, 25
370, 26
371, 25
372, 25
373, 25
374, 25
375, 25
376, 25
377, 25
378, 25
379, 26
380, 25
381, 25
382, 25
383, 25
384, 26
385, 25
386, 26
387, 25
388, 25
389, 25
390, 26
391, 25
392, 25
393, 25
394, 29
395, 27
396, 25
397, 26
398, 26
399, 26
400, 25
401, 25
402, 26
403, 25
404, 26
405, 26
406, 26
407, 25
408, 26
409, 25
410, 26
411, 25
412, 26
413, 25
414, 25
415, 25
416, 26
417, 25
418, 25
419, 25
420, 25
421, 26
422, 35
423, 25
424, 25
425, 25
426, 25
427, 25
428, 25
429, 26
430, 25
431, 25
432, 24
433, 26
434, 25
435, 25
436, 25
437, 25
438, 26
439, 26
440, 25
441, 25
442, 25
443, 25
444, 25
445, 25
446, 25
447, 25
448, 25
449, 25
450, 25
451, 25
452, 25
453, 25
454, 25
455, 25
456, 25
457, 25
458, 25
459, 25
460, 26
461, 26
462, 25
463, 25
464, 25
465, 25
466, 25
467, 25
468, 25
469, 25
470, 25
471, 25
472, 25
473, 25
474, 25
475, 25
476, 25
477, 25
478, 25
479, 25
480, 25
481, 24
482, 25
483, 25
484, 25
485, 25
486, 25
487, 25
488, 25
489, 25
490, 25
491, 25
492, 27
493, 27
494, 25
495, 26
496, 25
497, 25
498, 26
499, 25
500, 25
501, 25
502, 26
503, 26
504, 25
505, 25
