# trial, us for 1000 calls
0, 46990
1, 39200
2, 39104
3, 39404
4, 39375
5, 39307
6, 39295
7, 39212
8, 39417
9, 39288
10, 39231
11, 39251
12, 39135
13, 39474
14, 39227
15, 39287
16, 39282
17, 39215
18, 45685
19, 39358
20, 39416
21, 39303
22, 39286
23, 45566
24, 48328
25, 41247
26, 42482
27, 39060
28, 44939
29, 46095
30, 40011
31, 39645
32, 39514
33, 39579
34, 39590
35, 44078
36, 40506
37, 39750
38, 39755
39, 39710
40, 45446
41, 39447
42, 39203
43, 39416
44, 39326
45, 46757
46, 39523
47, 39087
48, 39719
49, 39515
50, 47625
51, 39241
52, 39036
53, 46518
54, 39833
55, 39585
56, 39590
57, 48931
58, 39562
59, 39542
60, 46823
61, 45575
62, 39038
63, 39395
64, 39127
65, 39062
66, 45565
67, 39946
68, 39464
69, 39352
70, 46463
71, 39514
72, 39714
73, 40001
74, 46561
75, 39243
76, 39681
77, 39445
78, 51750
79, 39669
80, 39142
81, 46779
82, 39342
83, 39305
84, 39376
85, 39398
86, 39337
87, 39234
88, 39552
89, 39217
90, 39163
91, 39226
92, 39148
93, 39772
94, 39646
95, 39205
96, 39368
97, 39163
98, 39374
99, 39512
