# trial, microseconds
0, 1950
1, 285
2, 269
3, 264
4, 264
5, 263
6, 263
7, 263
8, 263
9, 279
10, 265
11, 264
12, 262
13, 263
14, 262
15, 262
16, 263
17, 263
18, 262
19, 263
20, 263
21, 233
22, 93
23, 89
24, 90
25, 94
26, 90
27, 90
28, 89
29, 89
30, 99
31, 87
32, 88
33, 87
34, 87
35, 88
36, 88
37, 90
38, 85
39, 84
40, 85
41, 84
42, 85
43, 85
44, 85
45, 84
46, 84
47, 85
48, 84
49, 85
50, 85
51, 84
52, 84
53, 85
54, 88
55, 87
56, 86
57, 86
58, 87
59, 87
60, 87
61, 87
62, 87
63, 108
64, 92
65, 80
66, 81
67, 80
68, 80
69, 81
70, 80
71, 80
72, 80
73, 81
74, 81
75, 80
76, 81
77, 81
78, 81
79, 80
80, 81
81, 82
82, 80
83, 81
84, 81
85, 81
86, 81
87, 81
88, 88
89, 87
90, 86
91, 86
92, 89
93, 87
94, 86
95, 86
96, 86
97, 106
98, 81
99, 81
100, 81
101, 80
102, 81
103, 81
104, 81
105, 81
106, 80
107, 88
108, 89
109, 89
110, 88
111, 89
112, 89
113, 89
114, 88
115, 89
116, 89
117, 88
118, 89
119, 88
120, 89
121, 97
122, 89
123, 88
124, 89
125, 90
126, 87
127, 87
128, 87
129, 86
130, 86
131, 87
132, 86
133, 86
134, 86
135, 86
136, 86
137, 86
138, 86
139, 87
140, 86
141, 86
142, 86
143, 87
144, 86
145, 87
146, 86
147, 87
148, 86
149, 87
150, 86
151, 87
152, 86
153, 87
154, 86
155, 87
156, 86
157, 89
158, 86
159, 87
160, 87
161, 86
162, 86
163, 86
164, 87
165, 87
166, 87
167, 87
168, 86
169, 86
170, 87
171, 87
172, 86
173, 87
174, 86
175, 86
176, 87
177, 86
178, 86
179, 87
180, 87
181, 87
182, 87
183, 87
184, 86
185, 86
186, 86
187, 87
188, 87
189, 86
190, 86
191, 86
192, 87
193, 87
194, 90
195, 88
196, 87
197, 86
198, 98
199, 84
200, 85
201, 85
202, 85
203, 85
204, 85
205, 103
206, 78
207, 79
208, 79
209, 79
210, 79
211, 82
212, 79
213, 78
214, 79
215, 79
216, 79
217, 79
218, 79
219, 78
220, 78
221, 79
222, 79
223, 78
224, 78
225, 79
226, 79
227, 81
228, 79
229, 79
230, 79
231, 78
232, 79
233, 80
234, 85
235, 85
236, 85
237, 95
238, 86
239, 85
240, 84
241, 84
242, 85
243, 96
244, 90
245, 80
246, 79
247, 79
248, 79
249, 79
250, 79
251, 79
252, 79
253, 79
254, 79
255, 79
256, 80
257, 78
258, 79
259, 80
260, 79
261, 79
262, 79
263, 79
264, 80
265, 79
266, 81
267, 79
268, 79
269, 79
270, 79
271, 102
272, 85
273, 84
274, 85
275, 85
276, 90
277, 85
278, 85
279, 85
280, 85
281, 95
282, 93
283, 79
284, 79
285, 80
286, 79
287, 79
288, 79
289, 79
290, 79
291, 80
292, 79
293, 79
294, 79
295, 79
296, 80
297, 79
298, 81
299, 79
300, 79
301, 79
302, 79
303, 79
304, 81
305, 81
306, 80
307, 81
308, 81
309, 104
310, 86
311, 85
312, 84
313, 85
314, 87
315, 86
316, 86
317, 85
318, 86
319, 97
320, 83
321, 83
322, 83
323, 83
324, 83
325, 83
326, 83
327, 83
328, 93
329, 81
330, 83
331, 81
332, 81
333, 81
334, 81
335, 81
336, 81
337, 81
338, 81
339, 81
340, 81
341, 81
342, 81
343, 80
344, 81
345, 81
346, 117
347, 85
348, 85
349, 86
350, 85
351, 85
352, 85
353, 85
354, 85
355, 85
356, 94
357, 81
358, 81
359, 81
360, 81
361, 81
362, 84
363, 81
364, 81
365, 81
366, 81
367, 81
368, 81
369, 81
370, 80
371, 81
372, 82
373, 81
374, 81
375, 82
376, 81
377, 80
378, 84
379, 81
380, 81
381, 81
382, 141
383, 86
384, 85
385, 85
386, 85
387, 85
388, 85
389, 85
390, 85
391, 85
392, 95
393, 93
394, 82
395, 81
396, 80
397, 90
398, 83
399, 83
400, 83
401, 83
402, 83
403, 83
404, 83
405, 83
406, 83
407, 83
408, 83
409, 83
410, 83
411, 83
412, 83
413, 83
414, 83
415, 83
416, 83
417, 84
418, 103
419, 86
420, 85
421, 86
422, 85
423, 85
424, 85
425, 85
426, 85
427, 85
428, 95
429, 84
430, 83
431, 83
432, 83
433, 84
434, 83
435, 84
436, 83
437, 83
438, 83
439, 83
440, 83
441, 83
442, 82
443, 83
444, 82
445, 83
446, 82
447, 83
448, 83
449, 83
450, 83
451, 83
452, 83
453, 83
454, 83
455, 106
456, 85
457, 86
458, 85
459, 86
460, 85
461, 85
462, 85
463, 85
464, 85
465, 84
466, 83
467, 83
