# trial, us for 1000 calls
0, 113462
1, 106376
2, 106511
3, 106257
4, 106438
5, 106274
6, 106379
7, 106251
8, 106498
9, 106225
10, 106416
11, 106177
12, 106153
13, 105990
14, 106209
15, 105898
16, 106215
17, 106114
18, 106403
19, 106098
20, 107056
21, 106156
22, 106074
23, 106094
24, 105998
25, 106278
26, 108032
27, 106009
28, 105884
29, 106277
30, 106415
31, 106550
32, 106059
33, 105864
34, 105684
35, 105783
36, 105718
37, 108050
38, 105801
39, 105749
40, 105734
41, 105610
42, 105733
43, 105931
44, 107960
45, 112784
46, 105372
47, 113054
48, 106199
49, 105261
50, 105008
51, 102887
52, 102872
53, 102924
54, 104285
55, 107071
56, 106598
57, 106456
58, 106747
59, 106554
60, 106518
61, 106530
62, 106574
63, 106482
64, 106475
65, 106539
66, 106615
67, 106733
68, 113886
69, 105819
70, 106182
71, 105958
72, 105876
73, 108875
74, 107919
75, 107712
76, 105995
77, 106380
78, 106274
79, 106261
80, 106011
81, 106158
82, 106178
83, 106025
84, 106072
85, 106255
86, 106045
87, 106034
88, 106147
89, 106049
90, 106235
91, 106249
92, 106248
93, 106123
94, 106220
95, 106070
96, 106141
97, 105936
98, 105945
99, 105950
