# trial, us for 1000 calls
0, 115080
1, 106847
2, 107032
3, 106916
4, 107110
5, 106941
6, 106931
7, 106753
8, 106772
9, 106708
10, 106754
11, 106717
12, 106872
13, 107078
14, 106757
15, 107006
16, 108598
17, 106789
18, 106868
19, 107000
20, 106695
21, 106892
22, 106986
23, 106920
24, 106715
25, 107018
26, 106890
27, 106868
28, 106850
29, 106875
30, 106760
31, 106837
32, 106935
33, 115099
34, 106724
35, 106943
36, 107120
37, 107207
38, 107105
39, 107072
40, 107187
41, 107140
42, 107261
43, 107132
44, 107120
45, 106955
46, 107072
47, 107058
48, 107188
49, 109575
50, 106686
51, 107094
52, 106914
53, 107018
54, 106856
55, 106727
56, 106619
57, 106634
58, 106726
59, 106834
60, 106590
61, 106676
62, 106529
63, 106693
64, 106631
65, 106564
66, 106542
67, 106655
68, 106690
69, 106830
70, 114689
71, 113349
72, 107438
73, 113846
74, 105661
75, 114431
76, 105695
77, 106539
78, 117432
79, 106628
80, 106751
81, 106835
82, 106754
83, 106766
84, 106680
85, 106663
86, 106803
87, 106797
88, 106802
89, 106751
90, 106820
91, 106615
92, 106793
93, 106654
94, 106683
95, 106723
96, 106835
97, 106601
98, 106619
99, 106817
