# trial, latency
0,1237
1,1114
2,1072
3,1081
4,1112
5,1086
6,1077
7,1094
8,1087
9,1089
10,1079
11,898
12,321
13,339
14,292
15,294
16,294
17,292
18,294
19,295
20,295
21,292
22,293
23,323
24,318
25,319
26,320
27,316
28,292
29,291
30,293
31,293
32,293
33,291
34,293
35,293
36,315
37,320
38,320
39,320
40,312
41,295
42,295
43,295
44,293
45,295
46,294
47,293
48,293
49,294
50,339
51,319
52,318
53,333
54,294
55,293
56,295
57,293
58,295
59,294
60,295
61,295
62,293
63,332
64,321
65,320
66,320
67,293
68,294
69,294
70,294
71,294
72,295
73,294
74,291
75,291
76,329
77,318
78,319
79,329
80,293
81,295
82,294
83,294
84,294
85,294
86,296
87,295
88,293
89,324
90,322
91,318
92,317
93,318
94,292
95,294
96,294
97,292
98,293
99,294
100,293
101,294
102,317
103,320
104,319
105,319
106,319
107,293
108,294
109,293
110,291
111,293
112,292
113,292
114,296
115,297
116,340
117,320
118,319
119,315
120,294
121,295
122,294
123,295
124,292
125,294
126,292
127,293
128,294
129,334
130,320
131,320
132,323
133,294
134,293
135,294
136,294
137,294
138,294
139,295
140,295
141,292
142,329
143,322
144,321
145,326
146,293
147,295
148,296
149,292
150,293
151,295
152,294
153,292
154,295
155,329
156,321
157,321
158,331
159,293
160,296
161,293
162,294
163,295
164,295
165,295
166,295
167,296
168,320
169,320
170,321
171,320
172,309
173,294
174,295
175,295
176,293
177,294
178,293
179,294
180,294
181,315
182,321
183,320
184,318
185,314
186,295
187,293
188,293
189,295
190,294
191,294
192,292
193,295
194,294
195,331
196,308
197,312
198,315
199,294
200,294
201,293
202,293
203,294
204,294
205,295
206,294
207,294
208,327
209,312
210,312
211,319
212,295
213,292
214,293
215,293
216,293
217,295
218,294
219,292
220,294
221,321
222,308
223,309
224,312
225,309
226,293
227,294
228,293
229,294
230,294
231,295
232,293
233,296
234,315
235,312
236,311
237,311
238,313
239,296
240,295
241,294
242,294
243,294
244,296
245,294
246,294
247,295
248,327
249,310
250,312
251,316
252,294
253,294
254,296
255,293
256,293
257,293
258,295
259,293
260,295
261,342
262,321
263,322
264,318
265,294
266,294
267,295
268,293
269,296
270,294
271,292
272,294
273,295
274,320
275,322
276,320
277,320
278,320
279,294
280,295
281,293
282,295
283,295
284,291
285,293
286,293
287,313
288,310
289,311
290,309
291,309
292,293
293,292
294,297
295,293
296,296
297,293
298,294
