# trial, latency
0,1899
1,551
2,602
3,623
4,619
5,619
6,619
7,619
8,627
9,620
10,617
11,620
12,620
13,619
14,620
15,593
16,534
17,509
18,495
19,495
20,496
21,496
22,496
23,560
24,535
25,511
26,496
27,495
28,494
29,494
30,539
31,536
32,574
33,494
34,494
35,494
36,495
37,494
38,530
39,523
40,524
41,494
42,492
43,492
44,495
45,495
46,533
47,521
48,522
49,496
50,495
51,497
52,493
53,494
54,534
55,523
56,518
57,494
58,495
59,494
60,494
61,492
62,538
63,528
64,520
65,495
66,495
67,494
68,491
69,496
70,541
71,522
72,514
73,496
74,495
75,495
76,494
77,492
78,542
79,519
80,511
81,496
82,495
83,494
84,493
85,499
86,581
87,548
88,555
89,521
90,528
91,533
92,519
93,558
94,522
95,518
96,493
97,495
98,494
99,494
