# trial, latency
0,1711
1,485
2,473
3,469
4,467
5,469
6,467
7,477
8,473
9,466
10,467
11,467
12,467
13,466
14,465
15,466
16,480
17,468
18,466
19,468
20,466
21,466
22,468
23,467
24,467
25,505
26,563
27,563
28,565
29,562
30,562
31,564
32,514
33,442
34,442
35,408
36,408
37,410
38,409
39,408
40,410
41,442
42,444
43,441
44,424
45,410
46,410
47,409
48,409
49,408
50,409
51,467
52,449
53,439
54,410
55,408
56,410
57,409
58,409
59,408
60,443
61,432
62,431
63,426
64,412
65,410
66,409
67,409
68,409
69,410
70,452
71,430
72,433
73,409
74,409
75,409
76,408
77,409
78,409
79,459
80,442
81,441
82,432
83,409
84,409
85,408
86,408
87,408
88,407
89,459
90,430
91,434
92,407
93,411
94,410
95,408
96,409
97,408
98,441
99,431
