# trial, latency
0,2018
1,285
2,272
3,270
4,265
5,266
6,266
7,265
8,265
9,281
10,267
11,269
12,268
13,268
14,266
15,268
16,267
17,267
18,267
19,266
20,268
21,267
22,265
23,264
24,277
25,265
26,265
27,263
28,262
29,262
30,263
31,262
32,263
33,263
34,262
35,263
36,262
37,262
38,262
39,275
40,267
41,265
42,266
43,279
44,247
45,246
46,246
47,247
48,262
49,258
50,256
51,255
52,257
53,256
54,272
55,265
56,263
57,263
58,272
59,253
60,242
61,243
62,242
63,247
64,262
65,256
66,257
67,257
68,258
69,258
70,291
71,269
72,265
73,266
74,265
75,245
76,246
77,246
78,245
79,245
80,244
81,246
82,245
83,245
84,244
85,247
86,280
87,261
88,262
89,262
90,258
91,243
92,244
93,243
94,245
95,246
96,246
97,246
98,246
99,247
