# trial, latency
0,1801
1,190
2,178
3,174
4,172
5,171
6,170
7,170
8,167
9,168
10,168
11,167
12,167
13,168
14,167
15,166
16,166
17,166
18,167
19,166
20,166
21,179
22,169
23,166
24,167
25,167
26,166
27,166
28,167
29,166
30,166
31,166
32,165
33,168
34,166
35,166
36,167
37,167
38,166
39,167
40,166
41,165
42,165
43,167
44,166
45,177
46,167
47,166
48,240
49,254
50,255
51,254
52,255
53,254
54,253
55,254
56,255
57,254
58,254
59,255
60,254
61,262
62,258
63,241
64,171
65,166
66,166
67,175
68,162
69,161
70,161
71,164
72,161
73,162
74,161
75,162
76,161
77,162
78,162
79,163
80,164
81,162
82,163
83,162
84,161
85,192
86,167
87,166
88,167
89,166
90,167
91,175
92,161
93,161
94,162
95,162
96,182
97,166
98,166
99,166
