# trial, latency (cycles)
0, 1090684
1, 795136
2, 791704
3, 830246
4, 879346
5, 791100
6, 790682
7, 790746
8, 790684
9, 790738
10, 790772
11, 790704
12, 790694
13, 790712
14, 790698
15, 790734
16, 822756
17, 790920
18, 790762
19, 790760
20, 790712
21, 790704
22, 790724
23, 790728
24, 851730
25, 844358
26, 849238
27, 790812
28, 790746
29, 651260
30, 239764
31, 239682
32, 239700
33, 239670
34, 239686
35, 239678
36, 239694
37, 239696
38, 239696
39, 279740
40, 213862
41, 213780
42, 213792
43, 213804
44, 213804
45, 213770
46, 213792
47, 213794
48, 213794
49, 213788
50, 213770
51, 213800
52, 213796
53, 213784
54, 213810
55, 213800
56, 213816
57, 213780
58, 213800
59, 213806
60, 213804
61, 213778
62, 213808
63, 213802
64, 213804
65, 213810
66, 213804
67, 213798
68, 213802
69, 213802
70, 213772
71, 213800
72, 277838
73, 239852
74, 239684
75, 239772
76, 239740
77, 239856
78, 239696
79, 239672
80, 239720
81, 239694
82, 239690
83, 291736
84, 213826
85, 213808
86, 213806
87, 213802
88, 213784
89, 213798
90, 213812
91, 213804
92, 213808
93, 213806
94, 213808
95, 213784
96, 213800
97, 213786
98, 213810
99, 213798
100, 213776
101, 213804
102, 213816
103, 213806
104, 213802
105, 213802
106, 213808
107, 213800
108, 213794
109, 213796
110, 213800
111, 213804
112, 213794
113, 213814
114, 213806
115, 213766
116, 220928
117, 281028
118, 239750
119, 239684
120, 239680
121, 239672
122, 239692
123, 239658
124, 239686
125, 239662
126, 239682
127, 264862
128, 246836
129, 213826
130, 213780
131, 213774
132, 213806
133, 213782
134, 213780
135, 213788
136, 213794
137, 213792
138, 213796
139, 213790
140, 213796
141, 213814
142, 213798
143, 213790
144, 213784
145, 213782
146, 213800
147, 213776
148, 213798
149, 213802
150, 213794
151, 213798
152, 213792
153, 213808
154, 213788
155, 213796
156, 213804
157, 213792
158, 213782
159, 213794
160, 213788
161, 275466
162, 232692
163, 232648
164, 232634
165, 232634
166, 232642
167, 232656
168, 232658
169, 232642
170, 232638
171, 232666
172, 260198
173, 213828
174, 213786
175, 213786
176, 213804
177, 213812
178, 213796
179, 213792
180, 213782
181, 213806
182, 213804
183, 213798
184, 213810
185, 213796
186, 213772
187, 213800
188, 213798
189, 213802
190, 213796
191, 213802
192, 213800
193, 213804
194, 213802
195, 213778
196, 213804
197, 213802
198, 213782
199, 213828
200, 213790
201, 213800
202, 213806
203, 213784
204, 213788
205, 213810
206, 274240
207, 232680
208, 232644
209, 232660
210, 232654
211, 232638
212, 232658
213, 232660
214, 232628
215, 232648
216, 232656
217, 259324
218, 213844
219, 213798
220, 213800
221, 213792
222, 213788
223, 213790
224, 213788
225, 213776
226, 213814
227, 213804
228, 213778
229, 213804
230, 213808
231, 213784
232, 213798
233, 213812
234, 213806
235, 213796
236, 213786
237, 213776
238, 213794
239, 213798
240, 213788
241, 213798
242, 213786
243, 213772
244, 213796
245, 213788
246, 213800
247, 213814
248, 213788
249, 213798
250, 213808
251, 282930
252, 232682
253, 232624
254, 232666
255, 232636
256, 232640
257, 232652
258, 232630
259, 232648
260, 232644
261, 232646
262, 259850
263, 213848
264, 213800
265, 213802
266, 213812
267, 213798
268, 213806
269, 213786
270, 213806
271, 213810
272, 213788
273, 213796
274, 213812
275, 213786
276, 213800
277, 213812
278, 213822
279, 213804
