PAE,kmain(),after recv(),after send()
32352,33052,84464,185814
24614,25330,60862,125114
23750,24440,58958,120866
23322,24048,58052,120722
23186,23874,56930,118368
23352,24052,57956,118324
23842,24560,57612,117886
18032,18586,43226,91418
17806,18348,43380,91616
16968,17540,42686,91182
17350,17862,42612,94368
17310,17880,43078,94716
16914,17426,42218,89852
17276,17838,42650,89516
17424,17954,42610,92670
17394,17934,42998,94964
17332,17880,42934,93460
17326,17872,42878,94400
17080,17610,42516,90618
15222,15712,37674,83098
15286,15758,37608,83582
15276,15784,38022,84384
15308,15776,37958,83466
15306,15788,38184,83820
15396,15880,37642,81220
15426,15926,37772,81482
15450,15950,38214,80020
15182,15678,37824,83096
15192,15684,37438,82422
15556,16050,37978,81170
15430,15900,38124,81620
15586,16084,38246,81406
15760,16232,38336,80912
14954,15448,37862,83482
15272,15740,37876,84584
15300,15796,37762,81274
14976,15438,37786,83768
15252,15762,38204,81536
15432,15902,37964,83866
16050,16540,38584,84366
15412,15892,37752,82374
15516,15996,38126,82588
15404,15866,38040,81428
15262,15776,37694,82360
15450,15922,37880,83482
15166,15670,37740,84376
15510,15978,38006,83448
15166,15666,37892,83222
15244,15726,37820,83386
15544,16028,38174,83926
15500,15994,38054,83260
15470,15952,38552,85160
15422,15906,37852,81292
15374,15864,37712,82922
15244,15718,37678,82752
15480,15978,38226,83006
15732,16188,38824,85278
15166,15672,37768,81176
15406,15890,37940,80950
15706,16202,38138,84634
15322,15792,37736,82888
15260,15764,37748,80938
15244,15712,37284,80656
15502,15992,38000,80068
15750,16242,38182,81336
15294,15792,37868,82996
14988,15448,38378,84104
15282,15770,38188,83656
15348,15812,37900,83832
15298,15808,37792,82590
15248,15738,37720,84076
15186,15692,37834,81782
15582,16056,37974,83116
15562,16054,38174,82286
15510,15980,37986,81444
15812,16310,38466,81934
15494,15970,38616,82334
15504,15980,38186,82134
15384,15870,38006,81098
15728,16224,38268,81506
15428,15920,38226,81460
15686,16160,39146,84024
15214,15706,37846,82668
15400,15890,38158,81254
15496,15966,37954,83276
15442,15946,37964,82082
15756,16232,38194,83228
15366,15862,37924,80858
15180,15658,37886,83238
15130,15634,37506,82262
15388,15860,37698,82362
15230,15718,38044,80868
15250,15744,38030,83240
15524,16016,37976,83324
15390,15884,37858,82528
15144,15622,37824,81890
15560,16048,39326,86250
15520,15996,38228,83752
15548,16032,38314,83540
15342,15830,38398,83978
15174,15660,37950,83384
15096,15582,38046,84378
15218,15686,37948,80144
15098,15606,37932,80472
15324,15800,37690,80108
15870,16370,38258,83046
15628,16096,38224,83872
15264,15746,37670,82574
15482,15944,37822,82596
15374,15854,37896,83264
15404,15876,38208,83968
15494,15984,38626,84130
15166,15652,37708,81874
15168,15636,37806,83832
15314,15790,37862,83020
15106,15610,37596,84130
15716,16186,38722,82862
15412,15894,37984,81138
15216,15714,37868,80966
15428,15926,38056,80972
15432,15906,38026,101142
15378,15878,38224,81154
15470,15942,38168,82768
14972,15464,37642,81542
15396,15870,38012,82434
15370,15852,38098,105280
15422,15892,38268,84164
15256,15764,37686,83208
15366,15848,37948,82708
15398,15884,38084,81396
33268,33740,55974,102226
15124,15626,37718,80396
15426,15886,38464,84234
15248,15752,37782,83216
15332,15800,37854,84074
16250,16770,40160,87138
15470,15934,38136,84556
15336,15850,37950,80670
15464,15936,38162,81998
15510,16014,38014,83286
15494,15960,37922,83560
15220,15700,37574,82952
15392,15866,37784,82732
15244,15736,37884,83498
15398,15880,38124,82592
15490,15996,38424,82452
15308,15800,38240,83702
15632,16128,38084,80590
15362,15830,38272,81298
15318,15824,37572,80744
15316,15788,37972,84156
15140,15628,38062,83368
15430,15926,38076,83916
15126,15620,37762,83750
15396,15856,37924,80836
15904,16394,39166,86458
15738,16200,38398,83474
15230,15716,37656,81742
15226,15708,37788,83576
15342,15838,38064,83202
15164,15626,37920,81324
15248,15734,37616,81274
15370,15842,37908,81384
15702,16206,38608,81310
15126,15624,37956,84048
15280,15756,38652,83506
15348,15816,37704,82664
15156,15654,37570,82396
15248,15724,38026,82844
15470,15958,38266,84002
15400,15866,38274,81572
15424,15942,38318,82872
16384,16856,39040,84238
15392,15890,38128,83406
15358,15834,38194,81970
15334,15816,38250,83992
15218,15694,37946,83076
15340,15854,38132,83296
15182,15652,37566,83412
15496,15990,38056,84872
15336,15820,37986,81140
15054,15558,38016,81044
15220,15710,37980,82312
15310,15802,37910,81778
15298,15770,37850,82390
15632,16134,38888,83202
15460,15930,38718,84106
15036,15526,37804,80368
15420,15916,38386,84240
15072,15554,37694,83068
15184,15672,37352,83868
15120,15604,38286,82532
15200,15674,37924,83126
15170,15668,37712,83312
15226,15708,37720,83118
15246,15740,38278,83662
15278,15766,37858,82640
15236,15712,37972,82932
15392,15862,38564,83392
15138,15628,37806,81104
15568,16048,39524,85692
15580,16078,38218,81722
15412,15870,38246,81600
15162,15680,37960,82958
15646,16108,38278,83378
15634,16150,38154,83808
15632,16096,38336,83810
15064,15534,37962,80570
15368,15826,37808,81308
15172,15666,37792,83600
15354,15824,37996,83318
15140,15642,37888,84220
15706,16192,38438,81104
15386,15878,38158,81672
15398,15868,38112,83702
15218,15698,38136,83338
15434,15916,38070,82950
15092,15590,37646,80572
15700,16196,38174,80998
15080,15600,37944,79886
15292,15782,38134,81690
15376,15868,38080,81546
15224,15696,37724,80486
15250,15748,37616,79978
15260,15712,37978,81454
15738,16256,39522,86276
15650,16126,38442,81762
15266,15746,38200,81168
15210,15682,37810,82908
15296,15812,38026,80610
15430,15922,38372,82288
15458,15964,38388,84434
15350,15830,37876,80946
15122,15622,37724,80344
15480,15950,37908,80936
15256,15742,37940,81452
15474,15940,37906,80242
15676,16166,38064,82712
15504,16002,38354,81070
14960,15460,37818,80624
15572,16046,39024,86290
15256,15746,38456,84358
15488,15972,38446,83256
15516,16044,38164,83630
15274,15744,37816,83880
15416,15914,38018,83314
15430,15906,37652,80034
15212,15726,37834,82010
15348,15812,38220,84240
15210,15700,37936,82918
15470,15934,38218,83390
15568,16062,37880,83386
15062,15540,37452,81154
15554,16054,38142,80814
15210,15706,37872,84570
15152,15648,37998,84740
15376,15856,37994,81046
15148,15672,37754,83484
15218,15694,37808,83326
15200,15720,37740,82302
15740,16218,38856,83840
15264,15744,37946,83388
15324,15822,38202,83192
15510,15994,38318,82814
15144,15636,37864,83694
15348,15840,37514,81908
15148,15622,37564,83056
15112,15604,38014,83238
15662,16138,38428,81234
15106,15600,37584,81536
15336,15796,38322,81170
15368,15844,38022,80378
15512,15994,38050,82684
15366,15874,38054,80518
15348,15840,38112,80424
15278,15770,38098,80468
15262,15752,38172,80418
15310,15810,37956,83264
15480,15960,37800,83652
15300,15784,38106,81278
56936,58354,137680,276198
49674,51102,122732,244092
49564,51004,121896,240830
49148,50540,119236,240492
50976,52394,120476,238030
48290,49704,117476,235368
15686,16194,39248,84202
15844,16328,39028,85880
15578,16098,38606,85112
15440,15930,38978,83144
15422,15940,38962,82684
15610,16092,38980,84652
15252,15766,38174,81546
15460,15958,38828,81912
15500,16002,38844,82662
15468,15950,38510,82916
15480,16000,38746,81046
15770,16238,38616,83138
15802,16320,38892,83764
15244,15734,37944,80838
15492,16008,38190,80922
15528,16014,38332,80896
15592,16104,38438,81378
15380,15868,38354,80786
15608,16144,38390,83124
15558,16034,38426,82812
15872,16394,38730,81574
15442,15932,38250,81084
15520,16046,38384,80382
16042,16546,38528,82084
15462,15972,38640,81674
57554,58976,137774,270834
49580,51002,122252,244504
48282,49702,119504,239754
47956,49390,117702,238324
48286,49700,117542,244854
48398,49824,116678,245144
15684,16174,38606,84764
