# trial, latency (cycles)
0, 995210
1, 787176
2, 819590
3, 682404
4, 650718
5, 647076
6, 633416
7, 643072
8, 473158
9, 417942
10, 654430
11, 673062
12, 643020
13, 644198
14, 623116
15, 628558
16, 651318
17, 551852
18, 475406
19, 439052
20, 445628
21, 459498
22, 452738
23, 463880
24, 474014
25, 449932
26, 456206
27, 459754
28, 450424
29, 467230
30, 454208
31, 462712
32, 462776
33, 449862
34, 452786
35, 469890
36, 448214
37, 456334
38, 462510
39, 539282
40, 453272
41, 449270
42, 448504
43, 356612
44, 361934
45, 356002
46, 356662
47, 360630
48, 349394
49, 364778
50, 355838
51, 362882
52, 361840
53, 364006
54, 379614
55, 360990
56, 365720
57, 359874
58, 362750
59, 364046
60, 381494
61, 578810
62, 547356
63, 540140
64, 578806
65, 607966
66, 591348
67, 559738
68, 554556
69, 549176
70, 590490
71, 554606
72, 541886
73, 542264
74, 552082
75, 591600
76, 567372
77, 553246
78, 550566
79, 554182
80, 549380
81, 570760
82, 601088
83, 578552
84, 461652
85, 427324
86, 405102
87, 424732
88, 410680
89, 431050
90, 419214
91, 400964
92, 423744
93, 436536
94, 418496
95, 419224
96, 404332
97, 413082
98, 403098
99, 412334
100, 405492
101, 409732
102, 412938
103, 443550
104, 432902
105, 418258
106, 444288
107, 608320
108, 558080
109, 461820
110, 458170
111, 420988
112, 430024
113, 426936
114, 453440
115, 427786
116, 436182
117, 421596
118, 423982
119, 480814
120, 448666
121, 438644
122, 445310
123, 454528
124, 457224
125, 436024
126, 441074
127, 438210
128, 445670
129, 463216
130, 438622
131, 434990
132, 444132
133, 469844
134, 711676
135, 583440
136, 567132
137, 569900
138, 661416
139, 565724
140, 552292
141, 557392
142, 569954
143, 788026
144, 597402
145, 575948
146, 569734
147, 612684
148, 624956
149, 580080
150, 585990
151, 570474
152, 597816
153, 554018
154, 569358
155, 555554
156, 859466
157, 880358
158, 608680
159, 601822
160, 557372
161, 580024
162, 586550
163, 565950
164, 588744
165, 550678
166, 507134
167, 505662
168, 502554
169, 518774
170, 520996
171, 506428
172, 516534
173, 513358
174, 494070
175, 835830
176, 609138
177, 569698
178, 569236
179, 672024
180, 592336
181, 579710
182, 600880
183, 744424
184, 632022
185, 582074
186, 599532
187, 578028
188, 830194
189, 604638
190, 584206
191, 584568
192, 601920
193, 563988
194, 559312
195, 577114
196, 578320
197, 580536
198, 559912
199, 607200
200, 642486
201, 549256
202, 534376
203, 522382
204, 513678
205, 519456
206, 549342
207, 495592
208, 498888
209, 497002
210, 519480
211, 829854
212, 601254
213, 564238
214, 562488
215, 581766
216, 1048630
217, 759294
218, 620202
219, 627280
220, 603650
221, 600608
222, 583678
223, 579006
224, 647308
225, 598022
226, 583730
227, 588606
228, 597372
229, 590520
230, 582116
231, 575020
232, 576730
233, 640566
234, 751036
235, 617464
236, 595114
237, 615610
238, 578804
239, 581278
240, 593476
241, 840776
242, 600032
243, 573402
244, 580168
245, 597802
246, 820908
247, 615650
248, 582226
249, 635714
250, 606372
251, 581022
252, 587692
253, 593082
254, 956836
255, 604204
256, 599720
257, 608158
258, 607520
259, 576818
260, 582670
261, 598398
262, 603426
263, 888994
264, 622500
265, 654436
266, 666232
267, 607880
268, 594228
269, 603784
270, 598732
271, 835708
272, 606260
273, 612636
274, 620260
275, 868764
276, 616244
277, 581484
278, 604860
279, 763008
280, 656516
281, 656248
282, 772136
283, 679724
284, 633868
285, 614928
286, 630940
287, 622616
288, 860584
289, 659636
290, 623688
291, 838916
292, 625272
293, 599124
294, 593960
295, 658380
296, 618480
297, 751084
298, 612744
299, 751116
300, 617308
301, 598024
302, 594728
303, 841004
304, 616072
305, 590264
306, 590960
307, 849592
308, 610384
309, 588952
310, 583576
311, 658972
312, 676060
313, 864844
314, 617752
315, 631300
316, 877564
317, 635664
318, 591796
319, 597464
320, 586156
321, 608444
322, 575332
323, 854748
324, 606968
325, 585060
326, 595732
327, 671712
328, 738332
329, 608640
330, 586808
331, 623156
332, 743264
333, 634340
334, 591584
