# trial, latency (cycles)
0, 218930
1, 106568
2, 86262
3, 85844
4, 84650
5, 81848
6, 109166
7, 84364
8, 82528
9, 82214
10, 81524
11, 81050
12, 84022
13, 82200
14, 81228
15, 103928
16, 80454
17, 79474
18, 80184
19, 151264
20, 96980
21, 99038
22, 97158
23, 116186
24, 97058
25, 99130
26, 97902
27, 104550
28, 98448
29, 96344
30, 95406
31, 120604
32, 92382
33, 102692
34, 103146
35, 103342
36, 91326
37, 91224
38, 111584
39, 104334
40, 91280
41, 92102
42, 90684
43, 100884
44, 93242
45, 91108
46, 119818
47, 118586
48, 90094
49, 137428
50, 115056
51, 121884
52, 95892
53, 97050
54, 95490
55, 111238
56, 96730
57, 97924
58, 97534
59, 118290
60, 97512
61, 100564
62, 98842
63, 124078
64, 98078
65, 118370
66, 97276
67, 120084
68, 99676
69, 102072
70, 99606
71, 139096
72, 94882
73, 112758
74, 104928
75, 123314
76, 101464
77, 96304
78, 95584
79, 118206
80, 96898
81, 107704
82, 95818
83, 120202
84, 99592
85, 97302
86, 100964
87, 118044
88, 98626
89, 97430
90, 94744
91, 119228
92, 96208
93, 95884
94, 120146
95, 126682
96, 107952
97, 253626
98, 258024
99, 144212
100, 105252
101, 105326
102, 98668
103, 118520
104, 100858
105, 98302
106, 95796
107, 118154
108, 100262
109, 97312
110, 94644
111, 127698
112, 96788
113, 96888
114, 97280
115, 118932
116, 96042
117, 97448
118, 98402
119, 121984
120, 130458
121, 258626
122, 111674
123, 121702
124, 96378
125, 96466
126, 96266
127, 133046
128, 92478
129, 105452
130, 95108
131, 116156
132, 96958
133, 97728
134, 95972
135, 116730
136, 100066
137, 97504
138, 96862
139, 121264
140, 100300
141, 122586
142, 113422
143, 134052
144, 152334
145, 105404
146, 93804
147, 96398
148, 95800
149, 97224
150, 114314
151, 96546
152, 108648
153, 94602
154, 97314
155, 112394
156, 96174
157, 95078
158, 102144
159, 120420
160, 91996
161, 102592
162, 96256
163, 120948
164, 91182
165, 90690
166, 93280
167, 106032
168, 94140
169, 136312
170, 100724
171, 127430
172, 104550
173, 104494
174, 97366
175, 123634
176, 103294
177, 99246
178, 97460
179, 120164
180, 95350
181, 92838
182, 97864
183, 120034
184, 94948
185, 96746
186, 99152
187, 120722
188, 98696
189, 106202
190, 97934
191, 126252
192, 97154
193, 263540
194, 256416
195, 149106
196, 100334
197, 96066
198, 103966
199, 117116
200, 97856
201, 95752
202, 102636
203, 125878
204, 114210
205, 97002
206, 115298
207, 118846
208, 98918
209, 98034
210, 95428
211, 121796
212, 96110
213, 95522
214, 96706
215, 119682
216, 129216
217, 100204
218, 101884
219, 129108
220, 94786
221, 95030
222, 95802
223, 120554
224, 95182
225, 103350
226, 98704
227, 116466
228, 95816
229, 97296
230, 95824
231, 116338
232, 97390
233, 98424
234, 114432
235, 131160
236, 97896
237, 102306
238, 98658
239, 96442
240, 115134
241, 166578
242, 117220
243, 132200
244, 99130
245, 98800
246, 102358
247, 110452
248, 101114
249, 101916
250, 112484
251, 115202
252, 117808
253, 70136
254, 74786
255, 93996
256, 69278
257, 76084
258, 69548
259, 90680
260, 84810
261, 69218
262, 82202
263, 90010
264, 69276
265, 82092
266, 68822
267, 89470
268, 69854
269, 75584
270, 80622
271, 92644
272, 79706
273, 78202
274, 75574
275, 87938
276, 78316
277, 78700
278, 80418
279, 89212
280, 82586
281, 83144
282, 78408
283, 94654
284, 80620
285, 78782
286, 78830
287, 95320
288, 75916
289, 80662
290, 74612
291, 89710
292, 78084
293, 71942
294, 75930
295, 86582
296, 78394
297, 77040
298, 78230
299, 89532
300, 77556
301, 78186
302, 78962
303, 91206
304, 75552
305, 86604
306, 76486
307, 92158
308, 79010
309, 79152
310, 79772
311, 92226
312, 78576
313, 77554
314, 77572
315, 88748
316, 77460
317, 79814
318, 90660
319, 97470
320, 71158
321, 78996
322, 78420
323, 92846
324, 80012
325, 79870
326, 80390
327, 100798
328, 77416
329, 79126
