# trial, latency (cycles)
0, 2588308
1, 1923442
2, 1845714
3, 1206884
4, 1214790
5, 1206130
6, 1290030
7, 1248854
8, 1242888
9, 1204108
10, 1230706
11, 1219042
12, 1229026
13, 1234584
14, 878748
15, 909210
16, 905494
17, 905344
18, 905512
19, 886946
20, 889680
21, 930486
22, 911914
23, 899488
24, 871058
25, 915788
26, 923664
27, 908880
28, 880380
29, 896724
30, 888862
31, 996022
32, 948968
33, 895376
34, 893704
35, 928860
36, 983412
37, 928050
38, 895070
39, 905008
40, 880050
41, 893436
42, 980538
43, 887490
44, 908478
45, 905242
46, 892856
47, 903376
48, 874194
49, 886060
50, 879440
51, 935780
52, 857498
53, 910388
54, 904206
55, 914812
56, 890054
57, 884534
58, 918252
59, 924480
60, 890680
61, 938474
62, 868620
63, 975914
64, 909704
65, 869974
66, 863648
67, 886742
68, 885224
69, 877400
70, 936442
71, 873444
72, 907450
73, 949936
74, 959904
75, 874974
76, 908214
77, 902836
78, 900296
79, 915822
80, 909048
81, 893764
82, 898280
83, 917562
84, 897288
85, 879126
86, 903064
87, 914928
88, 893972
89, 1431514
90, 904882
91, 883772
92, 870810
93, 867588
94, 880156
95, 892228
96, 889604
97, 865466
98, 893532
99, 864202
