# trial, latency (cycles)
# trial, latency (cycles)
0, 3414900
1, 78802
2, 62460
3, 61128
4, 61048
5, 61058
6, 61472
7, 61864
8, 61362
9, 61460
10, 61378
11, 61290
12, 61188
13, 61064
14, 60918
15, 61108
16, 60918
17, 61142
18, 60944
19, 60944
20, 61256
21, 61294
22, 60996
23, 61060
24, 60926
25, 61402
26, 60944
27, 61040
28, 61284
29, 61066
30, 60944
31, 61000
32, 61238
33, 60962
34, 60954
35, 61030
36, 60996
37, 61004
38, 60986
39, 60978
40, 61048
41, 61012
42, 61010
43, 60888
44, 60888
45, 60942
46, 60980
47, 60900
48, 60936
49, 61004
50, 61056
51, 61012
52, 61040
53, 61108
54, 61114
55, 60970
56, 61104
57, 60944
58, 60970
59, 60992
60, 60988
61, 60962
62, 60874
63, 86676
64, 76388
65, 61208
66, 61022
67, 61140
68, 61056
69, 60980
70, 61196
71, 61150
72, 61004
73, 61074
74, 61216
75, 61178
76, 61082
77, 61022
78, 60876
79, 60910
80, 60908
81, 61014
82, 61152
83, 61074
84, 61200
85, 61090
86, 61044
87, 60962
88, 61222
89, 61014
90, 60954
91, 61170
92, 60978
93, 61220
94, 60874
95, 61008
96, 61088
97, 60930
98, 60918
99, 60980
100, 61212
101, 60972
102, 60952
103, 61246
104, 61324
105, 61126
106, 61126
107, 61090
108, 60944
109, 60944
110, 61038
111, 61074
112, 61030
113, 60970
114, 61186
115, 61110
116, 60936
117, 60918
118, 60870
119, 61240
120, 61118
121, 60930
122, 60998
123, 61150
124, 61090
125, 61246
126, 61376
127, 63882
128, 62512
129, 61178
130, 61256
131, 61356
132, 61368
133, 61108
134, 61334
135, 61074
136, 61166
137, 60958
138, 61310
139, 60996
140, 60900
141, 61058
142, 60970
143, 60892
144, 61058
145, 60810
146, 60880
147, 60940
148, 61040
149, 61214
150, 61114
151, 61266
152, 61248
153, 61126
154, 60988
155, 60978
156, 61246
157, 61014
158, 84872
159, 61560
160, 61374
161, 61104
162, 60960
163, 60954
164, 61122
165, 61214
166, 61214
167, 60892
168, 60996
169, 61202
170, 61058
171, 60922
172, 60932
173, 60944
174, 60906
175, 61086
176, 60940
177, 60910
178, 60934
179, 61060
180, 60910
181, 60978
182, 61066
183, 60862
184, 60870
185, 60970
186, 60910
187, 60940
188, 60960
189, 61058
190, 60962
191, 62508
192, 61656
193, 61156
194, 60960
195, 61192
196, 60994
197, 61066
198, 60884
199, 60930
200, 60966
201, 61130
202, 61222
203, 61486
204, 60972
205, 60958
206, 60982
207, 60946
208, 60960
209, 61040
210, 61082
211, 61148
212, 61098
213, 61152
214, 60996
215, 61178
216, 61218
217, 61112
218, 60896
219, 61014
220, 60966
221, 60970
222, 60892
223, 60848
224, 61040
225, 60900
226, 61010
227, 61108
228, 60922
229, 60944
230, 60960
231, 61150
232, 60978
233, 61196
234, 60892
235, 61018
236, 60840
237, 60870
238, 60974
239, 60966
240, 60936
241, 61390
242, 60958
243, 61140
244, 60936
245, 60988
246, 60932
247, 61266
248, 60930
249, 61076
250, 60926
251, 61022
252, 61018
253, 60930
254, 61116
255, 62470
256, 61698
257, 61310
258, 60940
259, 61044
260, 60888
261, 60922
262, 61156
263, 60996
264, 60892
265, 61050
266, 61330
267, 61378
268, 61148
269, 61066
270, 60970
271, 60934
272, 60988
273, 60980
274, 60934
275, 60984
276, 60982
277, 60812
278, 60996
279, 60866
280, 61100
281, 61008
282, 61100
283, 60956
284, 60998
285, 60878
286, 60984
287, 61034
288, 60918
289, 61126
290, 60940
291, 60960
292, 61004
293, 60954
294, 61046
295, 60970
296, 60986
297, 61108
298, 61056
299, 60926
300, 60988
301, 60986
302, 61022
303, 60992
304, 60970
305, 60970
306, 61152
307, 61012
308, 60934
309, 60918
310, 61104
311, 60812
312, 60920
313, 60986
314, 60970
315, 61062
316, 61166
317, 61294
318, 61174
319, 82034
320, 62076
321, 60970
322, 60918
323, 61014
324, 61178
325, 61170
326, 61148
327, 85176
328, 61468
329, 61154
330, 61200
331, 59532
332, 18674
333, 18864
334, 18666
335, 19386
336, 18612
337, 18670
338, 18714
339, 18626
340, 18660
341, 18730
342, 18662
343, 18638
344, 18614
345, 18616
346, 18584
347, 18664
348, 18658
349, 18618
350, 18612
351, 18616
352, 18620
353, 18624
354, 18602
355, 18618
356, 18690
357, 18604
358, 18618
359, 18674
360, 18714
361, 18618
362, 18672
363, 18602
364, 18686
365, 18600
366, 18620
367, 18682
368, 18604
369, 18680
370, 18720
371, 18680
372, 18620
373, 18570
374, 18666
375, 18592
376, 18638
377, 18600
378, 18686
379, 18688
380, 18610
381, 18604
382, 18670
383, 19080
384, 18868
385, 18614
386, 18632
387, 18640
388, 18612
389, 18602
390, 18716
391, 18642
392, 18626
393, 18748
394, 18644
395, 18654
396, 18604
397, 18600
398, 18662
399, 18608
