# trial, latency (cycles)
# trial, latency (cycles)
0, 3429850
1, 52066
2, 36028
3, 34798
4, 35000
5, 34734
6, 34758
7, 34780
8, 34842
9, 34902
10, 34746
11, 35082
12, 34842
13, 34770
14, 34810
15, 34734
16, 34960
17, 34858
18, 35142
19, 35066
20, 34754
21, 34928
22, 34738
23, 34718
24, 34750
25, 34858
26, 34882
27, 34754
28, 34712
29, 34714
30, 34844
31, 34906
32, 34804
33, 34988
34, 34840
35, 34720
36, 34766
37, 34722
38, 34770
39, 34718
40, 34698
41, 34764
42, 34688
43, 34970
44, 34684
45, 34698
46, 34722
47, 34736
48, 34736
49, 34736
50, 34720
51, 34952
52, 34754
53, 34840
54, 34780
55, 34764
56, 34804
57, 34740
58, 34762
59, 34762
60, 34748
61, 34762
62, 34944
63, 35074
64, 48108
65, 35086
66, 34758
67, 34936
68, 34770
69, 34732
70, 34754
71, 34722
72, 34746
73, 34770
74, 34962
75, 34890
76, 34736
77, 34948
78, 34722
79, 34970
80, 34944
81, 34814
82, 34726
83, 34778
84, 34738
85, 34736
86, 34744
87, 34718
88, 34858
89, 34880
90, 88756
91, 36682
92, 35066
93, 35084
94, 15522
95, 15602
96, 15162
97, 15242
98, 15240
99, 15170
100, 15166
101, 15184
102, 15166
103, 15186
104, 15166
105, 15248
106, 15184
107, 15276
108, 15264
109, 15186
110, 15196
111, 15198
112, 15254
113, 15178
114, 15230
115, 15182
116, 15182
117, 15186
118, 15172
119, 15200
120, 15210
121, 15178
122, 15184
123, 15192
124, 15184
125, 15180
126, 15262
127, 15184
128, 15804
129, 15232
130, 15194
131, 15180
132, 15160
133, 15210
134, 15246
135, 15278
136, 15144
137, 15152
138, 15148
139, 15242
140, 15246
141, 15168
142, 15166
143, 15248
144, 15166
145, 15232
146, 15222
147, 15240
148, 15150
149, 15252
150, 15266
151, 15246
152, 15184
153, 15218
154, 15254
155, 15184
156, 15194
157, 15304
158, 15282
159, 15232
160, 15210
161, 15230
162, 15252
163, 15184
164, 15256
165, 15256
166, 15210
167, 15182
168, 15182
169, 15172
170, 15184
171, 15328
172, 15212
173, 15224
174, 15188
175, 15198
176, 15232
177, 15218
178, 15204
179, 15224
180, 15156
181, 15256
182, 15250
183, 15186
184, 15222
185, 15270
186, 15264
187, 15220
188, 15186
189, 15236
190, 15260
191, 15188
192, 15496
193, 15196
194, 15200
195, 15194
196, 15220
197, 15198
198, 15204
199, 15184
200, 15316
201, 15180
202, 15190
203, 15258
204, 15186
205, 15258
206, 15194
207, 15184
208, 15184
209, 15198
210, 15248
211, 15156
212, 15200
213, 15182
214, 15164
215, 15150
216, 15170
217, 15182
218, 15178
219, 15192
220, 15168
221, 15182
222, 15164
223, 15166
224, 15174
225, 15188
226, 15254
227, 15194
228, 15202
229, 15192
230, 15202
231, 15222
232, 15206
233, 15170
234, 15152
235, 15156
236, 15146
237, 15176
238, 15160
239, 15140
240, 15142
241, 15234
242, 15168
243, 15198
244, 15162
245, 15156
246, 15178
247, 15250
248, 15224
249, 15178
250, 15170
251, 15184
252, 15162
253, 15176
254, 15180
255, 15260
256, 15386
257, 15186
258, 15238
259, 15292
260, 15254
261, 15200
262, 15198
263, 15266
264, 15252
265, 15236
266, 15224
267, 15216
268, 15274
269, 15202
270, 15224
271, 15202
272, 15204
273, 15208
274, 15252
275, 15314
276, 15172
277, 15262
278, 15170
279, 15242
280, 15190
281, 15204
282, 15320
283, 15204
284, 15204
285, 15166
286, 15234
287, 15192
288, 15234
289, 15166
290, 15184
291, 15178
292, 15280
293, 15162
294, 15174
295, 15166
296, 15162
297, 15210
298, 15166
299, 15174
300, 15162
301, 15174
302, 15266
303, 15188
304, 15256
305, 15212
306, 15196
307, 15308
308, 15278
309, 15206
310, 15246
311, 15190
312, 15248
313, 15150
314, 15236
315, 15294
316, 15194
317, 15260
318, 15166
319, 15268
320, 15680
321, 15152
322, 15172
323, 15150
324, 15176
325, 15148
326, 15180
327, 15150
328, 15170
329, 15164
330, 15168
331, 15226
332, 15206
333, 15190
334, 15194
335, 15160
336, 15176
337, 15206
338, 15244
339, 15168
340, 15166
341, 15168
342, 15174
343, 15248
344, 15182
345, 15266
346, 15260
347, 15266
348, 15178
349, 15170
350, 15236
351, 15178
352, 15212
353, 15194
354, 15184
355, 15188
356, 15242
357, 15184
358, 15200
359, 15168
360, 15176
361, 15172
362, 15284
363, 15196
364, 15180
365, 15214
366, 15186
367, 15160
368, 15188
369, 15152
370, 15156
371, 15170
372, 15174
373, 15192
374, 15286
375, 15160
376, 15166
377, 15206
378, 15190
379, 15210
380, 15208
381, 15174
382, 15154
383, 15188
384, 15422
385, 15156
386, 15148
387, 15232
388, 15144
389, 15282
390, 15184
391, 15188
392, 15166
393, 15162
394, 15210
395, 15170
396, 15158
397, 15152
398, 15228
399, 15246
400, 15242
401, 15192
402, 15168
403, 15232
404, 15192
405, 15192
406, 15254
407, 15218
408, 15172
409, 15184
410, 15188
411, 15236
412, 15168
413, 15158
414, 15202
415, 15194
416, 15166
417, 15244
418, 15226
419, 15176
420, 15162
421, 15270
422, 15150
423, 15252
424, 15194
425, 15198
426, 15194
427, 15210
428, 15306
429, 15264
430, 15200
431, 15184
432, 15246
433, 15204
434, 15262
435, 15252
436, 15180
437, 15208
438, 15174
439, 15200
440, 15274
441, 15192
442, 15172
443, 15246
444, 15158
445, 15148
446, 15292
447, 15176
448, 15470
449, 15200
450, 15190
