# trial, latency (cycles)
0, 136322
1, 11932
2, 10698
3, 10690
4, 10560
5, 10580
6, 10550
7, 10526
8, 10572
9, 10550
10, 10570
11, 10574
12, 10588
13, 10544
14, 10520
15, 10548
16, 10556
17, 10538
18, 10538
19, 10554
20, 10570
21, 10576
22, 10556
23, 10564
24, 10578
25, 10550
26, 10542
27, 10550
28, 10564
29, 10574
30, 10546
31, 10546
32, 10708
33, 10558
34, 10556
35, 10540
36, 10538
37, 10546
38, 10542
39, 10548
40, 10572
41, 10544
42, 10554
43, 10538
44, 10548
45, 10540
46, 10566
47, 10564
48, 10568
49, 10540
50, 10540
51, 10554
52, 10568
53, 10560
54, 10572
55, 10554
56, 10562
57, 10558
58, 10558
59, 10550
60, 10570
61, 10544
62, 10548
63, 10556
64, 10554
65, 10546
66, 10538
67, 10550
68, 10562
69, 10542
70, 10542
71, 10580
72, 10588
73, 10558
74, 10576
75, 10592
76, 10572
77, 10582
78, 10572
79, 10568
80, 10574
81, 10560
82, 10550
83, 10582
84, 10562
85, 10552
86, 10576
87, 10578
88, 10584
89, 10570
90, 10548
91, 10540
92, 10554
93, 10546
94, 10552
95, 10546
96, 10538
97, 10554
98, 10558
99, 10552
100, 10552
101, 10566
102, 10558
103, 10562
104, 10554
105, 10562
106, 10562
107, 10540
108, 10574
109, 10578
110, 10566
111, 10552
112, 10540
113, 10562
114, 10562
115, 10538
116, 10542
117, 10552
118, 10544
119, 10570
120, 10558
121, 10554
122, 10574
123, 10570
124, 10564
125, 10568
126, 10564
127, 10868
128, 10278
129, 10238
130, 10230
131, 10330
132, 10246
133, 10278
134, 10262
135, 10250
136, 10260
137, 10252
138, 10274
139, 10262
140, 10268
141, 10270
142, 10268
143, 10266
144, 10258
145, 10284
146, 10248
147, 10248
148, 10266
149, 10282
150, 10274
151, 10278
152, 10256
153, 10260
154, 10244
155, 10276
156, 10270
157, 10274
158, 10278
159, 10256
160, 10266
161, 10258
162, 10258
163, 10308
164, 10258
165, 10278
166, 10266
167, 10264
168, 10258
169, 10258
170, 10266
171, 10260
172, 10268
173, 10248
174, 10246
175, 10238
176, 10242
177, 10268
178, 10242
179, 10270
180, 10266
181, 10264
182, 10260
183, 10296
184, 10266
185, 10270
186, 10246
187, 10260
188, 10262
189, 10264
190, 10264
191, 10252
192, 10270
193, 10268
194, 10260
195, 10264
196, 10268
197, 10278
198, 10260
199, 10262
200, 10270
201, 10272
202, 10288
203, 10264
204, 10250
205, 10318
206, 10240
207, 10266
208, 10310
209, 10266
210, 10272
211, 10256
212, 10288
213, 10246
214, 10246
215, 10252
216, 10266
217, 10246
218, 10252
219, 10246
220, 10254
221, 10264
222, 10262
223, 10268
224, 10274
