# trial, First Instruction, Load 32-bit GDT, Protected Mode Enable, Protected Transition, Paging identity mapping, Load 64-bit GDT, Jump to 64-bit
0, 88, 7244, 9072, 436, 125300, 9100, 492
1, 88, 384, 4960, 436, 47124, 1544, 1680
2, 88, 388, 4724, 436, 44088, 1548, 1684
3, 88, 388, 4676, 432, 43716, 1544, 1672
4, 88, 392, 4676, 436, 43664, 1544, 1676
5, 88, 388, 4688, 440, 43660, 1540, 1684
6, 88, 388, 4668, 436, 43776, 1540, 1672
7, 84, 388, 4676, 436, 43996, 1540, 1676
8, 88, 388, 4680, 436, 43892, 1540, 1672
9, 88, 388, 4680, 436, 43656, 1540, 1684
10, 88, 388, 4736, 440, 43540, 1540, 1680
11, 92, 384, 4672, 440, 43564, 1544, 1684
12, 88, 388, 4664, 436, 43588, 1544, 1688
13, 88, 388, 4672, 436, 43772, 1536, 1676
14, 88, 388, 4656, 440, 43572, 1540, 1672
15, 88, 392, 4668, 436, 43632, 1540, 1680
16, 88, 388, 4680, 432, 43684, 1544, 1676
17, 88, 388, 4672, 432, 43632, 1544, 1668
18, 88, 388, 4672, 440, 43812, 1540, 1672
19, 88, 388, 4672, 444, 43748, 1544, 1676
20, 88, 392, 4676, 432, 43764, 1544, 1676
21, 88, 392, 4660, 436, 43628, 1540, 1680
22, 88, 388, 4672, 436, 43608, 1540, 1680
23, 88, 392, 4668, 436, 43624, 1540, 1680
24, 88, 392, 4680, 432, 43812, 1544, 1668
25, 88, 388, 4660, 436, 43772, 1544, 1672
26, 88, 388, 4656, 440, 43808, 1540, 1676
27, 88, 388, 4664, 444, 43816, 1536, 1688
28, 92, 388, 4668, 436, 43632, 1536, 1676
29, 88, 388, 4680, 432, 43596, 1544, 1672
30, 88, 388, 4668, 432, 43788, 1536, 1680
31, 88, 388, 4664, 436, 43604, 1540, 1676
32, 88, 392, 4676, 436, 43628, 1544, 1672
33, 88, 388, 4680, 436, 43660, 1544, 1680
34, 88, 388, 4668, 436, 43612, 1536, 1680
35, 88, 388, 4664, 440, 43616, 1536, 1680
36, 84, 392, 4668, 436, 43584, 1540, 1676
37, 88, 388, 4660, 436, 43620, 1540, 1692
38, 88, 384, 5044, 436, 43776, 1540, 1684
39, 88, 388, 4652, 440, 43748, 1540, 1688
40, 88, 388, 4652, 436, 43592, 1540, 1696
41, 88, 392, 4668, 436, 43568, 1540, 1684
42, 88, 392, 4648, 436, 43608, 1540, 1692
43, 88, 392, 4664, 436, 43768, 1540, 1688
44, 88, 388, 4668, 436, 43716, 1540, 1688
45, 88, 388, 4660, 436, 43700, 1540, 1688
46, 88, 388, 4660, 436, 43456, 1540, 1680
47, 84, 388, 4664, 428, 43404, 1540, 1684
48, 88, 388, 4656, 432, 43508, 1540, 1688
49, 84, 388, 4660, 432, 43524, 1536, 1688
50, 88, 392, 4660, 436, 43876, 1540, 1688
51, 88, 388, 4660, 436, 43712, 1548, 1680
52, 88, 388, 4660, 432, 43736, 1544, 1680
53, 88, 388, 4664, 436, 43484, 1540, 1680
54, 88, 388, 4648, 432, 43412, 1544, 1688
55, 88, 392, 4652, 436, 43620, 1540, 1688
56, 88, 392, 4664, 432, 43432, 1536, 1688
57, 88, 388, 4652, 436, 43536, 1540, 1696
58, 84, 388, 4652, 436, 43852, 1540, 1696
59, 92, 384, 4644, 440, 43768, 1540, 1692
60, 88, 388, 4652, 440, 43704, 1536, 1684
61, 92, 384, 4668, 436, 43572, 1544, 1684
62, 88, 388, 4656, 436, 43624, 1540, 1692
63, 88, 388, 4648, 436, 43584, 1536, 1688
64, 88, 384, 4652, 436, 43496, 1536, 1688
65, 88, 388, 4644, 436, 43508, 1536, 1684
66, 88, 388, 4668, 436, 43580, 1540, 1692
67, 88, 388, 4660, 432, 43584, 1544, 1684
68, 88, 388, 4648, 436, 43628, 1544, 1688
69, 88, 388, 4652, 440, 43620, 1548, 1684
70, 88, 388, 4672, 432, 43416, 1544, 1688
71, 88, 388, 4660, 432, 43492, 1540, 1684
72, 92, 384, 4660, 436, 43852, 1540, 1688
73, 88, 388, 4660, 432, 43704, 1544, 1684
74, 88, 388, 4668, 436, 43836, 1536, 1692
75, 88, 388, 4652, 432, 43576, 1540, 1680
76, 88, 388, 4656, 436, 43648, 1536, 1688
77, 88, 388, 4660, 436, 43832, 1544, 1688
78, 92, 384, 4652, 432, 43840, 1540, 1688
79, 88, 388, 4656, 436, 43616, 1544, 1688
80, 88, 384, 4664, 428, 43660, 1548, 1680
81, 92, 384, 4664, 436, 43708, 1540, 1684
82, 88, 392, 4672, 436, 43532, 1544, 1688
83, 88, 392, 4664, 436, 43552, 1540, 1680
84, 88, 392, 4660, 432, 43612, 1540, 1680
85, 88, 392, 4652, 432, 43540, 1540, 1688
86, 88, 392, 4664, 436, 43508, 1540, 1688
87, 88, 392, 4664, 436, 43588, 1540, 1684
88, 88, 392, 4648, 436, 43720, 1536, 1696
89, 88, 388, 4660, 436, 43600, 1540, 1696
90, 88, 388, 4656, 440, 43796, 1540, 1696
91, 88, 392, 4652, 436, 43516, 1536, 1688
92, 88, 392, 4648, 440, 43472, 1540, 1692
93, 88, 388, 4648, 444, 43700, 1540, 1692
94, 88, 388, 4660, 432, 43600, 1536, 1696
95, 88, 388, 4944, 432, 44656, 1540, 1684
96, 88, 388, 4660, 436, 43648, 1536, 1684
97, 88, 388, 4656, 436, 43568, 1532, 1692
98, 88, 388, 4656, 436, 43592, 1544, 1680
99, 92, 384, 4656, 436, 43544, 1536, 1684
100, 88, 388, 4656, 436, 43588, 1544, 1692
101, 88, 388, 4648, 440, 43532, 1536, 1688
102, 88, 392, 4652, 436, 43624, 1540, 1692
103, 88, 388, 4656, 432, 43372, 1536, 1692
104, 88, 388, 4648, 436, 43696, 1544, 1688
105, 88, 388, 4652, 436, 43788, 1540, 1684
106, 88, 392, 4644, 436, 43532, 1540, 1684
107, 88, 384, 4664, 432, 43620, 1540, 1692
108, 88, 388, 4660, 436, 43668, 1540, 1692
109, 88, 388, 4664, 432, 43516, 1540, 1684
110, 88, 388, 4648, 444, 43540, 1536, 1692
111, 88, 392, 4644, 436, 43684, 1540, 1696
112, 88, 388, 4656, 436, 43752, 1540, 1684
113, 88, 388, 4656, 440, 43816, 1544, 1692
114, 88, 388, 4664, 436, 43688, 1548, 1680
115, 88, 388, 4656, 436, 43560, 1540, 1692
116, 88, 388, 4664, 432, 43612, 1536, 1696
117, 88, 388, 4664, 436, 43724, 1540, 1688
118, 88, 388, 4668, 440, 43484, 1536, 1684
119, 88, 388, 4664, 440, 43472, 1540, 1692
120, 88, 388, 4680, 436, 43640, 1548, 1684
121, 88, 388, 4660, 436, 43568, 1536, 1692
122, 88, 392, 4652, 436, 43628, 1540, 1696
123, 88, 388, 4660, 432, 43868, 1548, 1684
124, 88, 388, 4656, 440, 43784, 1536, 1692
125, 88, 384, 5128, 440, 44600, 1540, 1684
126, 88, 388, 4668, 436, 43636, 1544, 1676
127, 88, 392, 4660, 436, 43764, 1544, 1680
128, 88, 388, 4660, 436, 43740, 1548, 1688
129, 84, 388, 4672, 436, 43772, 1540, 1684
130, 88, 392, 4660, 436, 43536, 1536, 1680
131, 92, 384, 4668, 436, 43620, 1544, 1672
132, 88, 388, 4668, 440, 43524, 1540, 1676
133, 88, 392, 4664, 432, 43576, 1540, 1676
134, 88, 388, 4660, 440, 43576, 1536, 1684
135, 88, 388, 4664, 436, 43808, 1540, 1688
136, 88, 388, 4660, 436, 57592, 618, 678
137, 34, 154, 1838, 172, 17162, 620, 680
138, 36, 152, 1836, 174, 17138, 620, 674
139, 36, 152, 1840, 172, 17270, 624, 682
140, 36, 152, 1838, 172, 17134, 620, 682
141, 34, 154, 1836, 172, 17170, 626, 676
142, 36, 152, 1840, 170, 17118, 622, 674
143, 34, 154, 1836, 172, 17254, 624, 674
144, 36, 152, 1840, 170, 17278, 624, 678
145, 34, 156, 1836, 172, 17262, 620, 674
146, 36, 152, 1836, 172, 17262, 620, 680
147, 34, 152, 1842, 170, 17174, 620, 676
148, 34, 154, 1838, 170, 17196, 622, 676
149, 36, 152, 1838, 174, 17194, 624, 676
150, 34, 154, 1836, 172, 17166, 622, 672
151, 34, 152, 1838, 172, 17202, 622, 678
152, 36, 152, 1832, 176, 17160, 620, 680
153, 36, 152, 1834, 172, 17238, 622, 680
154, 34, 156, 1834, 172, 17148, 624, 674
155, 34, 152, 1842, 172, 17248, 620, 678
156, 36, 152, 1836, 170, 17210, 622, 678
157, 34, 154, 1836, 172, 17148, 622, 672
158, 36, 152, 1840, 172, 17176, 624, 676
159, 34, 154, 1836, 170, 17148, 622, 678
160, 34, 156, 1836, 172, 17168, 626, 676
161, 34, 154, 1838, 176, 17160, 620, 680
162, 36, 152, 1836, 172, 17154, 620, 680
163, 36, 152, 1836, 172, 17236, 620, 674
164, 36, 152, 1838, 174, 48622, 586, 636
165, 32, 144, 1730, 164, 16252, 588, 638
166, 32, 144, 1734, 162, 16272, 594, 644
167, 32, 144, 1730, 162, 16166, 590, 636
168, 34, 144, 1730, 162, 16206, 590, 636
169, 32, 144, 1736, 162, 16204, 592, 642
170, 32, 144, 1732, 162, 16158, 590, 640
171, 32, 144, 1730, 162, 16172, 586, 638
172, 34, 144, 1732, 162, 16160, 588, 636
173, 32, 144, 1732, 162, 16284, 586, 638
174, 32, 144, 1732, 162, 16290, 590, 642
175, 32, 144, 1736, 162, 16236, 586, 640
176, 34, 144, 1736, 162, 16224, 588, 638
177, 34, 144, 1732, 162, 16274, 588, 642
178, 34, 144, 1734, 162, 16260, 588, 640
179, 32, 144, 1736, 162, 16184, 590, 638
180, 32, 144, 1734, 160, 16122, 588, 638
181, 34, 144, 1734, 160, 16164, 586, 640
182, 34, 144, 1730, 162, 16184, 586, 636
183, 32, 144, 1734, 160, 16142, 590, 640
184, 32, 144, 1732, 162, 16240, 586, 640
185, 32, 144, 1732, 162, 16184, 590, 636
186, 32, 144, 1734, 162, 16212, 586, 636
187, 32, 144, 1734, 162, 16236, 590, 636
188, 34, 144, 1728, 164, 16242, 590, 638
189, 34, 144, 1760, 162, 16164, 588, 638
190, 34, 144, 1734, 160, 16168, 588, 636
191, 34, 144, 1730, 162, 16138, 588, 638
192, 32, 144, 1740, 162, 16164, 588, 638
193, 32, 144, 1832, 162, 16320, 586, 636
194, 32, 144, 1730, 164, 16146, 588, 640
195, 32, 146, 1730, 162, 16208, 586, 636
196, 32, 146, 1730, 160, 16158, 586, 638
197, 32, 144, 1732, 164, 16154, 592, 638
198, 32, 144, 1730, 162, 16170, 588, 640
199, 32, 144, 1730, 162, 16284, 588, 642
200, 32, 146, 1730, 160, 16246, 590, 640
201, 32, 144, 1730, 162, 16176, 588, 636
202, 34, 144, 1738, 160, 16124, 592, 636
203, 34, 144, 1728, 162, 16184, 586, 638
204, 34, 144, 1728, 162, 16188, 586, 636
205, 34, 144, 1734, 160, 16126, 590, 638
206, 32, 146, 1736, 162, 16186, 586, 638
207, 34, 144, 1736, 162, 16186, 588, 646
208, 32, 146, 1730, 162, 16146, 588, 638
209, 34, 144, 1730, 162, 16168, 586, 638
210, 32, 142, 1732, 162, 16210, 588, 642
211, 32, 146, 1732, 162, 16196, 588, 636
212, 34, 144, 1728, 162, 16176, 590, 636
213, 34, 144, 1760, 162, 16252, 588, 644
214, 32, 146, 1726, 162, 16180, 590, 634
215, 32, 144, 1730, 164, 16158, 590, 638
216, 32, 144, 1728, 162, 16138, 588, 640
217, 32, 144, 1736, 162, 16208, 590, 644
218, 32, 144, 1734, 164, 16264, 588, 640
219, 32, 144, 1730, 162, 16168, 588, 640
220, 34, 144, 1734, 162, 16114, 588, 636
221, 34, 144, 1728, 164, 16144, 588, 640
222, 34, 144, 1724, 162, 16150, 586, 636
223, 32, 144, 1734, 162, 16270, 592, 642
224, 32, 146, 1736, 162, 16174, 590, 638
225, 32, 144, 1734, 162, 16252, 586, 638
226, 32, 144, 1732, 162, 16154, 590, 646
227, 32, 146, 1732, 162, 16160, 586, 638
228, 32, 144, 1730, 162, 16160, 586, 638
229, 32, 144, 1736, 162, 16198, 588, 644
230, 34, 144, 1728, 164, 16184, 586, 640
231, 34, 144, 1730, 162, 16172, 586, 638
232, 32, 144, 1732, 160, 16112, 592, 644
233, 34, 144, 1734, 162, 16152, 588, 640
234, 32, 144, 1734, 162, 16188, 586, 638
235, 34, 144, 1736, 160, 16186, 592, 642
236, 34, 144, 1734, 162, 16186, 590, 638
237, 34, 144, 1728, 164, 16166, 586, 638
238, 32, 144, 1730, 162, 16258, 590, 636
239, 32, 144, 1758, 162, 16138, 588, 636
240, 32, 144, 1728, 164, 16156, 588, 636
241, 32, 144, 1734, 162, 16154, 586, 638
242, 32, 144, 1734, 162, 16184, 588, 646
243, 32, 144, 1732, 162, 16162, 588, 640
244, 34, 144, 1732, 162, 16170, 590, 636
245, 32, 144, 1734, 162, 16136, 586, 636
246, 32, 144, 1734, 162, 16146, 588, 638
247, 34, 144, 1736, 162, 16166, 590, 642
248, 34, 144, 1732, 162, 16134, 586, 638
249, 32, 144, 1732, 162, 16160, 586, 636
250, 34, 146, 1732, 162, 16116, 590, 642
251, 34, 144, 1730, 164, 16142, 586, 638
252, 32, 144, 1734, 160, 16178, 594, 642
253, 32, 146, 1734, 162, 16228, 590, 642
254, 32, 144, 1730, 162, 16170, 586, 640
255, 32, 144, 1734, 162, 16154, 590, 636
256, 32, 144, 1736, 162, 16182, 586, 638
257, 32, 144, 1736, 162, 16250, 592, 644
258, 32, 146, 1734, 162, 16208, 586, 638
259, 34, 144, 1754, 164, 16260, 586, 638
260, 32, 144, 1736, 162, 16292, 590, 648
261, 32, 146, 1734, 162, 16250, 588, 640
262, 32, 144, 1730, 162, 16164, 588, 638
263, 32, 144, 1732, 162, 16134, 588, 636
264, 34, 144, 1728, 164, 16182, 592, 638
265, 34, 144, 1732, 162, 16164, 588, 636
266, 34, 144, 1730, 160, 16232, 588, 640
267, 32, 146, 1734, 162, 16236, 590, 638
268, 34, 144, 1730, 162, 16230, 590, 636
269, 32, 144, 1732, 162, 16188, 590, 644
270, 34, 144, 1734, 164, 16156, 586, 640
271, 32, 144, 1732, 160, 16202, 588, 636
272, 32, 144, 1760, 162, 16238, 590, 634
273, 32, 144, 1730, 164, 16154, 588, 638
274, 32, 144, 1730, 162, 16240, 590, 636
275, 32, 146, 1730, 162, 16168, 592, 638
276, 34, 144, 1734, 162, 16186, 588, 638
277, 32, 144, 1732, 162, 16166, 592, 644
278, 34, 144, 1730, 164, 16236, 590, 640
279, 32, 144, 1732, 162, 16184, 586, 638
280, 32, 146, 1730, 162, 16136, 588, 640
281, 32, 144, 1730, 164, 16152, 590, 640
282, 32, 144, 1732, 162, 16262, 588, 642
283, 34, 144, 1736, 162, 16248, 588, 638
284, 32, 144, 1734, 160, 16248, 594, 642
285, 34, 146, 1730, 162, 16238, 590, 638
286, 32, 144, 1732, 164, 16238, 588, 638
287, 34, 144, 1728, 162, 16252, 590, 644
288, 34, 144, 1728, 164, 16250, 586, 640
289, 32, 144, 1730, 162, 16182, 588, 640
290, 32, 146, 1734, 162, 16128, 588, 636
291, 32, 144, 1734, 162, 16154, 588, 640
292, 32, 144, 1736, 162, 16288, 588, 638
293, 34, 144, 1818, 164, 16354, 590, 642
294, 32, 142, 1736, 162, 16186, 588, 642
295, 32, 146, 1732, 162, 16234, 590, 640
296, 32, 144, 1734, 162, 16174, 586, 642
297, 32, 144, 1738, 160, 16130, 588, 636
298, 32, 144, 1730, 164, 16242, 588, 640
299, 34, 144, 1730, 162, 16190, 588, 638
300, 32, 146, 1730, 162, 16148, 588, 638
301, 32, 144, 1734, 162, 16274, 588, 636
302, 34, 144, 1732, 160, 16234, 594, 642
303, 32, 146, 1734, 162, 16220, 588, 640
304, 34, 142, 1730, 162, 16156, 588, 638
305, 32, 144, 1730, 162, 16130, 588, 636
306, 32, 144, 1736, 162, 16172, 588, 638
307, 32, 144, 1732, 162, 16198, 586, 644
308, 32, 146, 1732, 162, 16140, 588, 636
