# trial, bytes, microseconds
0, 32, 21637.271484
1, 32, 2313.843994
2, 32, 28550.199219
3, 32, 656.968994
4, 32, 1755.677979
5, 32, 2198.325928
6, 32, 1443.223999
7, 32, 1590.713989
8, 32, 1416.957031
9, 32, 2005.145996
0, 64, 2123.424072
1, 64, 1737.727051
2, 64, 41747.406250
3, 64, 1269.390015
4, 64, 2483.456055
5, 64, 1281.829956
6, 64, 41871.847656
7, 64, 2626.331055
8, 64, 2553.123047
9, 64, 29894.916016
0, 128, 1976.647949
1, 128, 28691.048828
2, 128, 2573.437012
3, 128, 38725.812500
4, 128, 28514.796875
5, 128, 1947.801025
6, 128, 1851.266968
7, 128, 2665.940918
8, 128, 31697.816406
9, 128, 34309.703125
0, 256, 2261.025879
1, 256, 28660.718750
2, 256, 1940.050049
3, 256, 1790.326050
4, 256, 1729.546021
5, 256, 937.590027
6, 256, 1664.751953
7, 256, 19065.943359
8, 256, 28587.050781
9, 256, 36131.656250
0, 512, 2518.604004
1, 512, 41312.136719
2, 512, 1066.056030
3, 512, 2267.510986
4, 512, 24689.441406
5, 512, 23570.619141
6, 512, 27815.720703
7, 512, 1837.264038
8, 512, 28693.115234
9, 512, 1292.192017
0, 1024, 1851.165039
1, 1024, 2454.251953
2, 1024, 2559.729004
3, 1024, 2584.542969
4, 1024, 26445.693359
5, 1024, 1387.464966
6, 1024, 27913.736328
7, 1024, 1677.842041
8, 1024, 27942.013672
9, 1024, 1764.348022
0, 2048, 569.836975
1, 2048, 1979.767944
2, 2048, 22247.234375
3, 2048, 1823.266968
4, 2048, 1443.961060
5, 2048, 1412.618042
6, 2048, 25251.181641
7, 2048, 2693.525879
8, 2048, 17666.507812
9, 2048, 2228.816895
0, 4096, 1725.579956
1, 4096, 15351.531250
2, 4096, 1444.161987
3, 4096, 2297.717041
4, 4096, 15322.798828
5, 4096, 1858.328003
6, 4096, 1575.241943
7, 4096, 2468.321045
8, 4096, 1898.738037
9, 4096, 2651.927002
0, 8192, 2303.933105
1, 8192, 2587.977051
2, 8192, 1922.413940
3, 8192, 1356.449951
4, 8192, 2118.579102
5, 8192, 43279.304688
6, 8192, 28335.175781
7, 8192, 25405.808594
8, 8192, 2108.581055
9, 8192, 1838.142944
0, 16384, 1810.144043
1, 16384, 26354.308594
2, 16384, 2673.739990
3, 16384, 1634.636963
4, 16384, 1498.996948
5, 16384, 1491.113037
6, 16384, 2639.666016
7, 16384, 2578.435059
8, 16384, 28727.917969
9, 16384, 2600.279053
0, 32768, 2578.587891
1, 32768, 2644.224121
2, 32768, 2201.736084
3, 32768, 885.992004
4, 32768, 1384.979004
5, 32768, 28028.091797
6, 32768, 2654.238037
7, 32768, 27565.576172
8, 32768, 15320.758789
9, 32768, 1970.176025
0, 65536, 25791.023438
1, 65536, 2674.523926
2, 65536, 2109.000977
3, 65536, 28795.296875
4, 65536, 2117.718018
5, 65536, 1947.489990
6, 65536, 1321.526978
7, 65536, 2023.110962
8, 65536, 28002.230469
9, 65536, 4150.139160
0, 131072, 27703.804688
1, 131072, 28874.822266
2, 131072, 2781.339111
3, 131072, 27847.431641
4, 131072, 2665.552979
5, 131072, 2093.991943
6, 131072, 1484.833984
7, 131072, 22110.769531
8, 131072, 1871.738037
9, 131072, 2687.032959
0, 262144, 2664.680908
1, 262144, 2157.822021
2, 262144, 2186.802979
3, 262144, 2386.103027
4, 262144, 28837.384766
5, 262144, 1918.829956
6, 262144, 2335.143066
7, 262144, 2604.895020
8, 262144, 30804.822266
9, 262144, 2209.291992
0, 524288, 3385.635986
1, 524288, 3079.040039
2, 524288, 2338.684082
3, 524288, 29216.199219
4, 524288, 22793.552734
5, 524288, 3017.058105
6, 524288, 26247.753906
7, 524288, 1920.360962
8, 524288, 3113.198975
9, 524288, 1966.883057
0, 1048576, 2425.375000
1, 1048576, 3738.538086
2, 1048576, 2615.086914
3, 1048576, 2261.023926
4, 1048576, 29965.308594
5, 1048576, 2865.698975
6, 1048576, 3992.440918
7, 1048576, 2811.813965
8, 1048576, 2896.420898
9, 1048576, 30169.167969
0, 2097152, 3544.327881
1, 2097152, 2920.881104
2, 2097152, 3798.325928
3, 2097152, 5302.201172
4, 2097152, 5198.193848
5, 2097152, 5097.503906
6, 2097152, 28927.453125
7, 2097152, 5701.171875
8, 2097152, 5355.949219
9, 2097152, 33609.199219
0, 4194304, 7460.662109
1, 4194304, 4178.573242
2, 4194304, 4037.507080
3, 4194304, 5063.124023
4, 4194304, 7367.724121
5, 4194304, 41907.824219
6, 4194304, 47132.507812
7, 4194304, 45975.164062
8, 4194304, 7108.345215
9, 4194304, 45825.671875
0, 8388608, 10916.814453
1, 8388608, 39036.781250
2, 8388608, 9615.659180
3, 8388608, 31167.748047
4, 8388608, 8052.342773
5, 8388608, 22383.339844
6, 8388608, 8405.164062
7, 8388608, 37480.910156
8, 8388608, 38580.535156
9, 8388608, 8438.267578
0, 16777216, 29873.962891
1, 16777216, 8509.375977
2, 16777216, 35112.453125
3, 16777216, 26456.945312
4, 16777216, 12589.099609
5, 16777216, 34774.125000
6, 16777216, 48732.968750
7, 16777216, 74901.117188
8, 16777216, 50024.175781
9, 16777216, 47361.359375
