# trial, microseconds
0, 90
1, 86
2, 90
3, 85
4, 85
5, 85
6, 42
7, 37
8, 38
9, 38
10, 38
11, 36
12, 37
13, 61
14, 40
15, 68
16, 78
17, 69
18, 83
19, 81
20, 40
21, 38
22, 38
23, 37
24, 37
25, 37
26, 37
27, 37
28, 37
29, 37
30, 37
31, 36
32, 37
33, 37
34, 37
35, 37
36, 37
37, 37
38, 38
39, 37
40, 36
41, 36
42, 37
43, 36
44, 38
45, 36
46, 37
47, 36
48, 37
49, 36
50, 37
51, 36
52, 37
53, 37
54, 43
55, 38
56, 37
57, 37
58, 36
59, 37
60, 37
61, 38
62, 37
63, 37
64, 36
65, 37
66, 36
67, 38
68, 36
69, 37
70, 37
71, 37
72, 37
73, 37
74, 37
75, 37
76, 37
77, 37
78, 36
79, 38
80, 37
81, 37
82, 37
83, 38
84, 37
85, 37
86, 37
87, 37
88, 37
89, 37
90, 37
91, 38
92, 37
93, 37
94, 37
95, 37
96, 37
97, 37
98, 37
99, 37
100, 37
101, 38
102, 36
103, 38
104, 37
105, 37
106, 37
107, 36
108, 38
109, 36
110, 37
111, 37
112, 36
113, 37
114, 37
115, 37
116, 37
117, 36
118, 36
119, 37
120, 36
121, 37
122, 37
123, 37
124, 37
125, 37
126, 36
127, 37
128, 37
129, 37
130, 36
131, 37
132, 36
133, 37
134, 38
135, 37
136, 36
137, 37
138, 36
139, 38
140, 37
141, 37
142, 36
143, 37
144, 36
145, 36
146, 37
147, 41
148, 37
149, 36
150, 37
151, 37
152, 37
153, 37
154, 36
155, 37
156, 37
157, 37
158, 37
159, 37
160, 37
161, 37
162, 37
163, 36
164, 38
165, 37
166, 37
167, 38
168, 37
169, 36
170, 37
171, 37
172, 37
173, 37
174, 37
175, 37
176, 37
177, 37
178, 37
179, 37
180, 36
181, 37
182, 37
183, 37
184, 37
185, 37
186, 36
187, 37
188, 37
189, 36
190, 37
191, 37
192, 37
193, 37
194, 41
195, 39
196, 37
197, 37
198, 37
199, 38
200, 37
201, 37
202, 38
203, 37
204, 37
205, 37
206, 37
207, 37
208, 37
209, 37
210, 38
211, 36
212, 36
213, 36
214, 37
215, 37
216, 38
217, 37
218, 37
219, 37
220, 37
221, 36
222, 37
223, 37
224, 37
225, 37
226, 37
227, 36
228, 37
229, 36
230, 37
231, 37
232, 37
233, 37
234, 38
235, 36
236, 36
237, 37
238, 37
239, 36
240, 37
241, 38
242, 37
243, 37
244, 36
245, 37
246, 37
247, 37
248, 36
249, 38
250, 37
251, 37
252, 36
253, 37
254, 37
255, 37
256, 37
257, 37
258, 38
259, 37
260, 37
261, 37
262, 37
