# trial, us for 1000 calls
0, 77630
1, 69755
2, 70129
3, 69814
4, 69555
5, 69737
6, 70983
7, 69707
8, 69300
9, 69633
10, 69341
11, 68960
12, 70556
13, 70461
14, 70749
15, 71063
16, 70546
17, 71814
18, 71791
19, 72235
20, 70803
21, 69228
22, 68955
23, 72366
24, 71819
25, 72363
26, 70891
27, 70632
28, 71256
29, 72418
30, 71711
31, 71485
32, 72278
33, 71648
34, 71884
35, 72491
36, 71724
37, 71295
38, 70416
39, 71203
40, 71669
41, 70764
42, 70748
43, 70186
44, 70659
45, 71162
46, 72905
47, 71473
48, 71480
49, 70915
50, 71862
51, 72173
52, 71905
53, 70996
54, 71859
55, 71225
56, 71387
57, 72399
58, 71725
59, 71992
60, 70962
61, 71917
62, 71161
63, 72902
64, 71066
65, 70780
66, 70796
67, 71552
68, 70281
69, 72630
70, 72226
71, 72117
72, 72287
73, 71807
74, 71746
75, 71862
76, 71443
77, 71343
78, 71625
79, 71969
80, 72295
81, 71497
82, 71412
83, 71383
84, 70825
85, 70623
86, 72441
87, 71601
88, 71480
89, 70944
90, 70986
91, 72103
92, 72490
93, 71875
94, 71302
95, 71295
96, 71810
97, 71850
98, 72062
99, 72064
