# trial, microseconds
0, 72
1, 73
2, 75
3, 79
4, 75
5, 74
6, 23
7, 22
8, 23
9, 22
10, 23
11, 22
12, 22
13, 25
14, 23
15, 24
16, 23
17, 21
18, 23
19, 23
20, 22
21, 23
22, 22
23, 23
24, 22
25, 22
26, 22
27, 24
28, 22
29, 22
30, 23
31, 23
32, 24
33, 22
34, 23
35, 24
36, 22
37, 24
38, 23
39, 23
40, 22
41, 23
42, 23
43, 23
44, 22
45, 23
46, 23
47, 23
48, 23
49, 23
50, 23
51, 22
52, 23
53, 23
54, 23
55, 22
56, 23
57, 24
58, 23
59, 23
60, 23
61, 22
62, 24
63, 24
64, 23
65, 23
66, 22
67, 22
68, 22
69, 23
70, 22
71, 22
72, 23
73, 24
74, 23
75, 23
76, 21
77, 23
78, 23
79, 22
80, 23
81, 24
82, 24
83, 22
84, 24
85, 22
86, 23
87, 22
88, 23
89, 22
90, 23
91, 24
92, 23
93, 24
94, 23
95, 24
96, 23
97, 22
98, 23
99, 25
100, 23
101, 23
102, 22
103, 23
104, 23
105, 24
106, 23
107, 22
108, 22
109, 22
110, 22
111, 22
112, 23
113, 23
114, 22
115, 22
116, 22
117, 24
118, 22
119, 22
120, 24
121, 23
122, 22
123, 23
124, 24
125, 22
126, 22
127, 24
128, 23
129, 23
130, 22
131, 22
132, 23
133, 22
134, 24
135, 22
136, 23
137, 23
138, 23
139, 23
140, 23
141, 23
142, 23
143, 23
144, 23
145, 22
146, 20
147, 23
148, 23
149, 24
150, 22
151, 23
152, 22
153, 23
154, 22
155, 24
156, 22
157, 22
158, 24
159, 23
160, 23
161, 23
162, 24
163, 22
164, 22
165, 22
166, 22
167, 23
168, 23
169, 24
170, 21
171, 41
172, 23
173, 22
174, 22
175, 22
176, 22
177, 22
178, 21
179, 32
180, 23
181, 23
182, 22
183, 22
184, 22
185, 22
186, 22
187, 22
188, 22
189, 22
190, 23
191, 22
192, 22
193, 22
194, 21
195, 22
196, 22
197, 22
198, 22
199, 21
200, 22
201, 23
202, 22
203, 22
204, 21
205, 22
206, 23
207, 22
208, 22
209, 21
210, 22
211, 22
212, 21
213, 21
214, 21
